,DVb,CMb,CMf,RRF,DVf
竹東,63.371428571428574,85.96478652954102,66.391162109375,0.7723,48.9418
新竹,65.5125,74.9900749206543,63.283415985107425,0.8439,55.286
頭份,58.625,75.46677513122559,61.93768424987793,0.8207,48.1135
苗栗,49.974999999999994,76.43123016357421,64.07648315429688,0.8384,41.899
三義,71.3875,79.68024597167968,61.55113563537598,0.7725,55.1468
豐原,70.43333333333334,86.85015487670898,67.76333236694336,0.7802,54.9521
沙鹿,69.71428571428571,72.02474441528321,63.73226318359375,0.8849,61.6902
大里,72.15,83.54326248168945,61.89598770141602,0.7409,53.4559
忠明,66.9875,75.78009185791015,60.90292816162109,0.8037,53.8379
西屯,69.1,75.20017700195312,61.54213523864746,0.8184,56.5514
彰化,65.8625,71.86817779541016,60.16800193786621,0.8372,55.1401
線西,77.48750000000001,68.83149795532226,63.02156372070313,0.9156,70.9476
二林,59.712500000000006,70.50379104614258,63.83691940307617,0.9054,54.0637
南投,55.725,87.06472702026367,65.15326538085938,0.7483,41.699
斗六,77.3125,81.23215255737304,66.14904327392578,0.8143,62.9556
崙背,73.8125,71.59938507080078,64.93752975463867,0.907,66.9479
新港,65.7125,74.75120544433594,67.29865264892578,0.9003,59.161
朴子,70.875,73.47704315185547,66.92430534362794,0.9108,64.553
台西,75.25,64.85382766723633,60.354150009155276,0.9306,70.0276
嘉義,69.425,80.73857040405274,67.10153007507324,0.8311,57.6991
竹山,76.825,91.14637069702148,68.72158279418946,0.754,57.926
埔里,80.3125,91.63975067138672,69.83409004211425,0.7621,61.2062
