,DVb,CMb,CMf,RRF,DVf
竹東,82.8,98.34312515258789,73.61483917236328,0.7486,61.9841
新竹,92.9,83.4633399963379,69.88151016235352,0.8373,77.7852
頭份,80.2,83.18661956787109,68.4896255493164,0.8233,66.0287
苗栗,72.0,83.4321662902832,71.07323417663574,0.8519,61.3368
三義,92.9,89.1977638244629,70.53258743286133,0.7907,73.456
豐原,92.3,95.44230194091797,71.70423240661621,0.7513,69.345
沙鹿,92.7,78.18192901611329,70.15679473876953,0.8974,83.189
大里,95.8,92.84436721801758,68.86868400573731,0.7418,71.0644
忠明,88.6,83.8396987915039,65.99000282287598,0.7871,69.7371
西屯,90.4,83.13113861083984,67.26065864562989,0.8091,73.1426
彰化,83.9,79.08022384643554,66.638676071167,0.8427,70.7025
線西,96.8,74.35429458618164,68.38130416870118,0.9197,89.027
二林,77.5,77.3324348449707,69.22998580932617,0.8952,69.378
南投,72.0,98.00962982177734,70.28521194458008,0.7171,51.6312
斗六,98.5,90.60389404296875,71.85377578735351,0.7931,78.1204
崙背,90.5,77.62936706542969,70.79067840576172,0.9119,82.527
新港,83.0,80.97705001831055,70.83058090209961,0.8747,72.6001
朴子,85.8,78.72293701171876,71.60206298828125,0.9095,78.0351
台西,92.8,71.66900024414062,67.27255210876464,0.9387,87.1114
嘉義,83.8,89.50016937255859,72.93678855895996,0.8149,68.2886
竹山,106.4,101.59809036254883,75.74761352539062,0.7456,79.3318
埔里,107.2,99.7984832763672,73.78426742553711,0.7393,79.253
