,DVb,CMb,CMf,RRF,DVf
竹東,69.04166666666667,38.61510467529297,37.60020446777344,0.9737,67.2259
新竹,86.25,40.688358306884766,39.7104606628418,0.976,84.18
頭份,92.29166666666667,43.55936813354492,42.121742248535156,0.967,89.246
苗栗,97.66666666666667,44.14527130126953,43.267250061035156,0.9801,95.7231
三義,68.47826086956522,44.742855072021484,43.7656135559082,0.9782,66.9854
豐原,70.875,44.95802307128906,43.995201110839844,0.9786,69.3583
沙鹿,89.79166666666667,45.079673767089844,44.78763198852539,0.9935,89.208
大里,92.375,54.7364616394043,52.636451721191406,0.9616,88.8278
忠明,75.08695652173913,56.776947021484375,55.36476516723633,0.9751,73.2173
西屯,90.0,53.41704559326172,52.29661178588867,0.979,88.11
彰化,82.125,53.01959228515625,52.25453567504883,0.9856,80.9424
線西,94.66666666666667,45.488563537597656,45.41891098022461,0.9985,94.5247
二林,106.58333333333333,48.35930633544922,49.07651138305664,1.0148,108.1608
南投,110.625,53.874977111816406,53.85508346557617,0.9996,110.5808
斗六,108.16666666666667,50.40617370605469,51.62233352661133,1.0241,110.7735
崙背,93.5,48.48501968383789,50.594940185546875,1.0435,97.5673
新港,112.5,48.232967376708984,49.26726150512695,1.0214,114.9075
朴子,94.3913043478261,45.12273406982422,46.17628860473633,1.0233,96.5906
台西,80.625,43.260398864746094,43.96669006347656,1.0163,81.9392
嘉義,99.625,50.062469482421875,50.266319274902344,1.0041,100.0335
竹山,112.04166666666667,45.854637145996094,46.373435974121094,1.0113,113.3077
埔里,70.41666666666667,37.2857551574707,36.43156814575195,0.9771,68.8041
