,DVb,CMb,CMf,RRF,DVf
竹東,5.7,2.8225424766540526,2.6252148032188414,0.9301,5.3016
新竹,4.6,4.498918080329895,4.1349592208862305,0.9191,4.2279
頭份,9.8,5.276694917678833,4.630807638168335,0.8776,8.6005
苗栗,8.4,4.941522264480591,4.539162111282349,0.9186,7.7162
三義,6.7,4.712563252449035,4.161455750465393,0.8831,5.9168
豐原,7.6,4.968063306808472,4.151640510559082,0.8357,6.3513
沙鹿,12.2,12.656503868103027,10.656280660629273,0.842,10.2724
大里,8.1,5.969813537597656,5.024502897262574,0.8417,6.8178
忠明,8.9,7.1650965213775635,5.985868525505066,0.8354,7.4351
西屯,7.6,7.28961877822876,6.032653141021728,0.8276,6.2898
彰化,13.5,9.965339136123657,8.337234687805175,0.8366,11.2941
線西,11.5,14.161643791198731,10.612927055358886,0.7494,8.6181
二林,17.3,7.585539293289185,6.391294527053833,0.8426,14.577
南投,15.8,4.993344855308533,4.108470034599304,0.8228,13.0002
斗六,9.7,4.717987036705017,3.9333790063858034,0.8337,8.0869
崙背,11.7,6.614349460601806,5.628626084327697,0.851,9.9567
新港,18.4,6.010521984100341,5.1823750019073485,0.8622,15.8645
朴子,13.1,6.18171968460083,5.739048862457276,0.9284,12.162
台西,22.9,12.553716707229615,12.400196313858032,0.9878,22.6206
嘉義,21.1,4.842352676391601,4.129402589797974,0.8528,17.9941
竹山,7.6,3.667673444747925,3.007140779495239,0.8199,6.2312
埔里,5.4,2.5011482357978823,2.211021161079407,0.884,4.7736
