,DVb,CMb,CMf,RRF,DVf
基隆,39.9,23.75887451171875,24.03650817871094,1.0117,40.3668
汐止,60.9,28.571105003356934,24.877773666381835,0.8707,53.0256
萬里,24.0,16.785635471343994,14.475998783111573,0.8624,20.6976
新店,52.1,43.08284339904785,34.187787246704104,0.7935,41.3414
土城,47.5,45.0584903717041,39.674876022338864,0.8805,41.8237
板橋,59.3,51.29000701904297,42.31460018157959,0.825,48.9225
新莊,56.9,48.41676635742188,35.97030048370361,0.7429,42.271
菜寮,75.4,52.820176696777345,46.96946678161621,0.8892,67.0457
林口,38.1,26.41909408569336,21.355098056793214,0.8083,30.7962
淡水,41.1,27.818015480041502,23.047834968566896,0.8285,34.0514
士林,52.0,28.54338893890381,21.816269302368163,0.7643,39.7436
中山,76.0,46.13534851074219,38.967715454101565,0.8446,64.1896
萬華,72.2,50.038530349731445,42.922811889648436,0.8578,61.9332
古亭,60.5,45.70577964782715,39.20602035522461,0.8578,51.8969
松山,63.4,39.364155006408694,31.216696548461915,0.793,50.2762
桃園,49.4,41.2786060333252,32.301041984558104,0.7825,38.6555
大園,53.8,40.113065528869626,30.64226245880127,0.7639,41.0978
觀音,41.3,24.91304702758789,17.56554956436157,0.7051,29.1206
平鎮,44.4,41.55846462249756,30.894649314880372,0.7434,33.007
龍潭,42.3,20.681654071807863,16.294401931762696,0.7879,33.3282
湖口,42.6,31.016922569274904,19.54372091293335,0.6301,26.8423
竹東,34.0,24.789005851745607,18.23150396347046,0.7355,25.007
新竹,46.4,37.19559745788574,23.415546798706053,0.6295,29.2088
頭份,41.9,47.76841354370117,36.876512908935545,0.772,32.3468
苗栗,42.0,35.90358180999756,22.934814643859863,0.6388,26.8296
三義,38.3,33.70800018310547,31.226422119140626,0.9264,35.4811
豐原,35.0,20.29808177947998,19.314166736602782,0.9515,33.3025
陽明,13.2,10.461708259582519,12.098996210098267,1.1565,15.2658
宜蘭,28.3,16.278120136260988,10.028747749328613,0.6161,17.4356
冬山,33.4,18.15901117324829,13.161050415039062,0.7248,24.2083
富貴角,30.6,15.995795345306396,14.15084104537964,0.8847,27.0718
