,DVb,CMb,CMf,RRF,DVf
基隆,69.775,70.12756652832032,59.8736068725586,0.8538,59.5739
汐止,63.137499999999996,76.70509262084961,60.32080574035645,0.7864,49.6513
萬里,73.98750000000001,72.82717742919922,63.66053695678711,0.8741,64.6725
新店,66.1,80.91620635986328,60.830478286743165,0.7518,49.694
土城,67.875,80.12651062011719,58.98118438720703,0.7361,49.9628
板橋,59.2875,80.53964691162109,58.68534851074219,0.7287,43.2028
新莊,63.575,76.3823974609375,57.880429077148435,0.7578,48.1771
菜寮,63.962500000000006,75.4887908935547,56.4615291595459,0.7479,47.8376
林口,68.0,72.18183555603028,60.205549240112305,0.8341,56.7188
淡水,73.28750000000001,69.84532623291015,64.0628490447998,0.9172,67.2193
士林,73.67142857142858,77.98599166870117,60.135091400146486,0.7711,56.808
中山,58.0125,77.71824989318847,58.1179256439209,0.7478,43.3817
萬華,56.3125,78.2036033630371,57.41434440612793,0.7342,41.3446
古亭,66.5625,79.26414031982422,59.020377731323244,0.7446,49.5624
松山,62.48750000000001,79.20888023376465,60.36232299804688,0.7621,47.6217
桃園,50.1,71.60384750366211,60.20351142883301,0.8408,42.1241
大園,66.525,67.76786193847656,61.577729034423825,0.9087,60.4513
觀音,63.8875,67.589554977417,63.111388778686525,0.9337,59.6518
平鎮,63.150000000000006,75.16315689086915,59.008375549316405,0.7851,49.5791
龍潭,66.7,79.86682815551758,62.67255744934082,0.7847,52.3395
湖口,72.475,73.98000869750976,63.54304237365723,0.8589,62.2488
竹東,63.371428571428574,85.96478652954102,66.391162109375,0.7723,48.9418
新竹,65.5125,74.9900749206543,63.283415985107425,0.8439,55.286
頭份,58.625,75.46677513122559,61.93768424987793,0.8207,48.1135
苗栗,49.974999999999994,76.43123016357421,64.07648315429688,0.8384,41.899
三義,71.3875,79.68024597167968,61.55113563537598,0.7725,55.1468
豐原,70.43333333333334,86.85015487670898,67.76333236694336,0.7802,54.9521
陽明,67.2,73.45491333007813,62.882521057128905,0.8561,57.5299
宜蘭,66.575,65.49308967590332,60.914960861206055,0.9301,61.9214
冬山,63.025,63.27157478332519,59.35403747558594,0.9381,59.1238
富貴角,71.22857142857143,69.69002990722656,66.02765274047852,0.9474,67.4819
