,DVb,CMb,CMf,RRF,DVf
基隆,81.7,80.82599563598633,66.86205520629883,0.8272,67.5822
汐止,84.6,88.6390380859375,69.49156532287597,0.784,66.3264
萬里,101.2,81.96768951416016,69.19332504272461,0.8442,85.433
新店,96.0,95.38548202514649,68.90105972290038,0.7223,69.3408
土城,96.9,95.79615936279296,69.55233993530274,0.726,70.3494
板橋,90.0,95.01777267456055,69.11788978576661,0.7274,65.466
新莊,88.5,89.39264755249023,66.30480117797852,0.7417,65.6404
菜寮,92.8,89.55323638916016,65.87739372253418,0.7356,68.2637
林口,87.8,82.94450378417969,68.16009254455567,0.8218,72.154
淡水,82.1,76.3031219482422,69.00313301086426,0.9043,74.243
士林,91.9,91.40012054443359,67.46065139770508,0.7381,67.8314
中山,84.1,90.05337448120117,67.1828800201416,0.746,62.7386
萬華,84.5,92.96238632202149,66.63576850891113,0.7168,60.5696
古亭,104.4,93.66043319702149,67.24589614868164,0.718,74.9592
松山,96.5,92.20036544799805,69.03505439758301,0.7488,72.2592
桃園,66.3,83.4018768310547,64.77658348083496,0.7767,51.4952
大園,91.2,76.20794143676758,68.30840492248535,0.8963,81.7426
觀音,78.9,74.1293846130371,69.29179420471192,0.9347,73.7478
平鎮,83.7,87.8298713684082,67.15383758544922,0.7646,63.997
龍潭,91.0,95.38779373168946,71.36169395446777,0.7481,68.0771
湖口,97.4,82.25967025756836,70.24850158691406,0.854,83.1796
竹東,82.8,98.34312515258789,73.61483917236328,0.7486,61.9841
新竹,92.9,83.4633399963379,69.88151016235352,0.8373,77.7852
頭份,80.2,83.18661956787109,68.4896255493164,0.8233,66.0287
苗栗,72.0,83.4321662902832,71.07323417663574,0.8519,61.3368
三義,92.9,89.1977638244629,70.53258743286133,0.7907,73.456
豐原,92.3,95.44230194091797,71.70423240661621,0.7513,69.345
陽明,100.7,81.93925094604492,65.98225250244141,0.8053,81.0937
宜蘭,80.7,71.31063308715821,61.890232467651366,0.8679,70.0395
冬山,72.6,69.30378875732421,62.58258285522461,0.903,65.5578
富貴角,76.4,75.47139129638671,71.15628013610839,0.9428,72.0299
