,DVb,CMb,CMf,RRF,DVf
基隆,76.04166666666667,39.07535934448242,38.24348068237305,0.9787,74.422
汐止,80.375,40.19821548461914,38.701515197753906,0.9628,77.385
萬里,104.66666666666667,37.79139709472656,37.273162841796875,0.9863,103.2327
新店,53.25,42.137046813964844,40.12028503417969,0.9521,50.6993
土城,70.69565217391305,46.074729919433594,43.66366958618164,0.9477,66.9983
板橋,72.33333333333333,49.335960388183594,46.7378044128418,0.9473,68.5214
新莊,72.79166666666667,46.15062713623047,44.149234771728516,0.9566,69.6325
菜寮,70.25,51.171756744384766,48.828529357910156,0.9542,67.0326
林口,65.33333333333333,41.10990524291992,40.09544372558594,0.9753,63.7196
淡水,62.458333333333336,37.4675407409668,36.796051025390625,0.9821,61.3403
士林,71.875,38.84586715698242,37.808258056640625,0.9733,69.9559
中山,81.29166666666667,46.3701171875,44.373207092285156,0.9569,77.788
萬華,77.20833333333333,50.679996490478516,48.20537185668945,0.9512,73.4406
古亭,74.70833333333333,48.26418685913086,45.96432113647461,0.9523,71.1447
松山,80.375,43.22419738769531,41.350162506103516,0.9566,76.8867
桃園,78.375,42.91943359375,41.56592559814453,0.9685,75.9062
大園,85.20833333333333,39.80018997192383,39.172264099121094,0.9842,83.862
觀音,94.5,39.87443161010742,39.53132247924805,0.9914,93.6873
平鎮,80.25,43.06775665283203,41.929893493652344,0.9736,78.1314
龍潭,92.47826086956522,39.0628547668457,38.28026580810547,0.98,90.6287
湖口,92.91666666666667,36.9211540222168,36.232383728027344,0.9813,91.1791
竹東,69.04166666666667,38.61510467529297,37.60020446777344,0.9737,67.2259
新竹,86.25,40.688358306884766,39.7104606628418,0.976,84.18
頭份,92.29166666666667,43.55936813354492,42.121742248535156,0.967,89.246
苗栗,97.66666666666667,44.14527130126953,43.267250061035156,0.9801,95.7231
三義,68.47826086956522,44.742855072021484,43.7656135559082,0.9782,66.9854
豐原,70.875,44.95802307128906,43.995201110839844,0.9786,69.3583
陽明,44.625,35.81519317626953,35.2397346496582,0.9839,43.9065
宜蘭,47.95652173913044,26.278247833251953,25.746292114257812,0.9798,46.9878
冬山,50.208333333333336,28.601043701171875,28.114315032958984,0.983,49.3548
富貴角,90.04166666666667,38.763397216796875,38.21692657470703,0.9859,88.7721
