,DVb,CMb,CMf,RRF,DVf
基隆,7.4,9.379782772064209,6.420908522605896,0.6845,5.0653
汐止,27.8,7.125006675720215,4.183704733848572,0.5872,16.3242
萬里,10.5,7.499295377731324,5.58048300743103,0.7441,7.813
新店,12.2,4.767087411880493,3.414640688896179,0.7163,8.7389
土城,7.8,4.488486909866333,3.412363386154175,0.7602,5.9296
板橋,8.3,4.265186142921448,3.761124777793884,0.8818,7.3189
新莊,21.2,4.461138343811035,3.9112003803253175,0.8767,18.586
菜寮,12.7,3.946676015853882,3.7131338119506836,0.9408,11.9482
林口,8.1,4.168470168113709,3.7514447450637816,0.9,7.29
淡水,5.8,5.876922559738159,5.602870059013367,0.9534,5.5297
士林,8.3,3.8389842748641967,3.5433658599853515,0.923,7.6609
中山,13.5,4.050360655784607,3.6183380365371702,0.8933,12.0596
萬華,10.6,3.8472491979598997,3.526094079017639,0.9165,9.7149
古亭,13.2,4.193085241317749,3.5173709630966186,0.8389,11.0735
松山,20.4,5.187392711639404,3.519835126399994,0.6785,13.8414
桃園,18.6,4.803512740135193,4.071412587165833,0.8476,15.7654
大園,13.4,6.420364713668823,5.8365706443786625,0.9091,12.1819
觀音,21.5,5.090514659881592,4.63345239162445,0.9102,19.5693
平鎮,6.2,4.179880380630493,3.8147881031036377,0.9127,5.6587
龍潭,5.6,3.042292284965515,2.7308929204940795,0.8976,5.0266
湖口,6.4,4.541439247131348,4.0602940082550045,0.8941,5.7222
竹東,5.7,2.8225424766540526,2.6252148032188414,0.9301,5.3016
新竹,4.6,4.498918080329895,4.1349592208862305,0.9191,4.2279
頭份,9.8,5.276694917678833,4.630807638168335,0.8776,8.6005
苗栗,8.4,4.941522264480591,4.539162111282349,0.9186,7.7162
三義,6.7,4.712563252449035,4.161455750465393,0.8831,5.9168
豐原,7.6,4.968063306808472,4.151640510559082,0.8357,6.3513
陽明,6.9,2.9914705991744994,2.6590731739997864,0.8889,6.1334
宜蘭,4.6,1.3988719701766967,1.1652280271053315,0.833,3.8318
冬山,9.3,3.008870244026184,2.5928988099098205,0.8618,8.0147
富貴角,7.2,4.000976800918579,3.700017881393433,0.9248,6.6586
