,DVb,CMb,CMf,RRF,DVf
朴子,33.5,14.160107803344726,12.62919569015503,0.8919,29.8786
嘉義,47.0,30.240624809265135,17.918607902526855,0.5925,27.8475
新營,35.3,24.76162109375,15.998259162902832,0.6461,22.8073
善化,30.4,18.944739055633544,15.154490184783935,0.7999,24.317
安南,57.3,28.000346374511718,18.380098724365233,0.6564,37.6117
台南,49.4,32.72420654296875,22.25148410797119,0.68,33.592
美濃,20.5,14.811497116088868,17.79284429550171,1.2013,24.6267
橋頭,39.7,30.605765724182127,25.49452648162842,0.833,33.0701
仁武,40.5,39.61037273406983,31.280711555480956,0.7897,31.9828
大寮,48.2,40.238924217224124,39.349652481079104,0.9779,47.1348
林園,46.6,47.650416946411134,46.700845336914064,0.9801,45.6727
楠梓,41.9,33.136460876464845,27.3240234375,0.8246,34.5507
左營,44.4,37.08072452545166,30.122851753234862,0.8124,36.0706
前金,56.7,42.26867866516113,34.894613647460936,0.8255,46.8058
前鎮,55.8,51.145738220214845,41.69977722167969,0.8153,45.4937
小港,58.0,65.38201522827148,61.45346183776856,0.9399,54.5142
屏東,36.2,27.284676551818848,21.29273862838745,0.7804,28.2505
潮州,34.9,22.0744478225708,22.64010019302368,1.0256,35.7934
恆春,14.6,6.2417566776275635,6.592108428478241,1.0561,15.4191
