,DVb,CMb,CMf,RRF,DVf
朴子,70.875,73.47704315185547,66.92430534362794,0.9108,64.553
嘉義,69.425,80.73857040405274,67.10153007507324,0.8311,57.6991
新營,57.7375,76.58500442504882,65.92375831604004,0.8608,49.7004
善化,72.14285714285714,78.48871231079102,65.05231399536133,0.8288,59.792
安南,79.125,76.21196670532227,64.89219436645507,0.8515,67.3749
台南,74.875,74.71185913085938,63.667798614501955,0.8522,63.8085
美濃,70.5625,79.987060546875,64.39019470214843,0.805,56.8028
橋頭,82.575,77.3991798400879,62.42354164123535,0.8065,66.5967
仁武,77.7625,73.9671417236328,58.65472412109375,0.793,61.6657
大寮,73.8,70.26811447143555,52.467343139648435,0.7467,55.1065
林園,85.71249999999999,72.483447265625,59.4505729675293,0.8202,70.3014
楠梓,76.2,76.2457389831543,60.22769775390625,0.7899,60.1904
左營,83.6,74.27707138061524,61.11879348754883,0.8228,68.7861
前金,79.92499999999998,72.68954162597656,59.4251594543457,0.8175,65.3387
前鎮,71.0375,68.77049407958984,54.69296035766602,0.7953,56.4961
小港,70.8125,56.037688446044925,45.26693878173828,0.8078,57.2023
屏東,85.75,79.84757003784179,59.60838851928711,0.7465,64.0124
潮州,77.8375,78.04848556518554,57.769891357421876,0.7402,57.6153
恆春,69.05000000000001,58.60349388122559,56.15245132446289,0.9582,66.1637
