,DVb,CMb,CMf,RRF,DVf
朴子,85.8,78.72293701171876,71.60206298828125,0.9095,78.0351
嘉義,83.8,89.50016937255859,72.93678855895996,0.8149,68.2886
新營,67.4,83.01387786865234,71.02228584289551,0.8555,57.6607
善化,96.0,88.83334045410156,72.62449150085449,0.8175,78.48
安南,92.9,85.566748046875,72.2491470336914,0.8444,78.4448
台南,89.4,83.43242950439453,71.000931930542,0.851,76.0794
美濃,103.5,96.70264205932617,72.6273292541504,0.751,77.7285
橋頭,105.8,90.14322662353516,68.01223258972168,0.7545,79.8261
仁武,101.6,86.06053466796875,64.21334762573242,0.7461,75.8038
大寮,94.6,82.12381210327149,58.92028160095215,0.7175,67.8755
林園,117.6,84.37183837890625,66.04849014282226,0.7828,92.0573
楠梓,95.6,89.12197647094726,66.37455863952637,0.7448,71.2029
左營,102.6,84.43362197875976,65.77171401977539,0.779,79.9254
前金,109.3,82.47907028198242,64.59060020446778,0.7831,85.5928
前鎮,96.8,80.19025650024415,61.34072723388672,0.7649,74.0423
小港,84.5,69.07935256958008,53.12815551757812,0.7691,64.989
屏東,115.4,94.64465560913087,66.51213798522949,0.7028,81.1031
潮州,104.9,91.14727478027343,64.38475952148437,0.7064,74.1014
恆春,75.9,64.78542404174804,59.432743072509766,0.9174,69.6307
