,DVb,CMb,CMf,RRF,DVf
朴子,13.1,6.18171968460083,5.739048862457276,0.9284,12.162
嘉義,21.1,4.842352676391601,4.129402589797974,0.8528,17.9941
新營,7.3,5.121858024597168,4.447615909576416,0.8684,6.3393
善化,10.7,5.027754545211792,4.566333961486817,0.9082,9.7177
安南,7.9,4.925763368606567,4.6908759593963625,0.9523,7.5232
台南,8.7,4.821779012680054,4.653459095954895,0.9651,8.3964
美濃,7.2,6.039569473266601,5.591798782348633,0.9259,6.6665
橋頭,8.8,8.386793899536134,7.773385620117187,0.9269,8.1567
仁武,12.9,10.379166889190675,9.691053438186646,0.9337,12.0447
大寮,26.8,22.121591663360597,19.724949264526366,0.8917,23.8976
林園,12.7,19.16829357147217,17.553274631500244,0.9157,11.6294
楠梓,7.9,9.68915410041809,9.008016347885132,0.9297,7.3446
左營,9.0,10.625861358642577,10.140247917175293,0.9543,8.5887
前金,13.5,14.192681980133056,13.66880006790161,0.9631,13.0018
前鎮,10.4,15.575998210906983,14.56284761428833,0.935,9.724
小港,23.6,56.658837509155276,48.99117774963379,0.8647,20.4069
屏東,11.2,9.82681851387024,8.91100788116455,0.9068,10.1562
潮州,12.7,7.244330358505249,6.680445051193237,0.9222,11.7119
恆春,4.2,2.4773558020591735,2.373966556787491,0.9583,4.0249
