,DVb,CMb,CMf,RRF,DVf
彰化,53.6,49.93753623962402,38.85392818450928,0.7781,41.7062
線西,46.3,31.18812427520752,24.450967693328856,0.784,36.2992
二林,30.0,20.04394998550415,15.581275749206544,0.7774,23.322
南投,43.3,39.751881980895995,27.138352394104004,0.6827,29.5609
斗六,40.6,25.50345115661621,16.518042659759523,0.6477,26.2966
崙背,28.0,15.690995025634766,11.46045799255371,0.7304,20.4512
新港,28.6,15.786404895782471,11.611868524551392,0.7356,21.0382
朴子,33.5,14.160107803344726,12.62919569015503,0.8919,29.8786
台西,56.2,32.60110244750977,30.905794143676758,0.948,53.2776
嘉義,47.0,30.240624809265135,17.918607902526855,0.5925,27.8475
新營,35.3,24.76162109375,15.998259162902832,0.6461,22.8073
善化,30.4,18.944739055633544,15.154490184783935,0.7999,24.317
安南,57.3,28.000346374511718,18.380098724365233,0.6564,37.6117
台南,49.4,32.72420654296875,22.25148410797119,0.68,33.592
美濃,20.5,14.811497116088868,17.79284429550171,1.2013,24.6267
竹山,35.8,23.919230270385743,17.803646564483643,0.7443,26.6459
埔里,31.4,18.644237327575684,11.961195945739746,0.6415,20.1431
麥寮,31.2,15.553025150299073,14.094078922271729,0.9062,28.2734
