,DVb,CMb,CMf,RRF,DVf
彰化,65.8625,71.86817779541016,60.16800193786621,0.8372,55.1401
線西,77.48750000000001,68.83149795532226,63.02156372070313,0.9156,70.9476
二林,59.712500000000006,70.50379104614258,63.83691940307617,0.9054,54.0637
南投,55.725,87.06472702026367,65.15326538085938,0.7483,41.699
斗六,77.3125,81.23215255737304,66.14904327392578,0.8143,62.9556
崙背,73.8125,71.59938507080078,64.93752975463867,0.907,66.9479
新港,65.7125,74.75120544433594,67.29865264892578,0.9003,59.161
朴子,70.875,73.47704315185547,66.92430534362794,0.9108,64.553
台西,75.25,64.85382766723633,60.354150009155276,0.9306,70.0276
嘉義,69.425,80.73857040405274,67.10153007507324,0.8311,57.6991
新營,57.7375,76.58500442504882,65.92375831604004,0.8608,49.7004
善化,72.14285714285714,78.48871231079102,65.05231399536133,0.8288,59.792
安南,79.125,76.21196670532227,64.89219436645507,0.8515,67.3749
台南,74.875,74.71185913085938,63.667798614501955,0.8522,63.8085
美濃,70.5625,79.987060546875,64.39019470214843,0.805,56.8028
竹山,76.825,91.14637069702148,68.72158279418946,0.754,57.926
埔里,80.3125,91.63975067138672,69.83409004211425,0.7621,61.2062
麥寮,63.237500000000004,69.71767807006836,65.4442138671875,0.9387,59.361
