,DVb,CMb,CMf,RRF,DVf
彰化,83.9,79.08022384643554,66.638676071167,0.8427,70.7025
線西,96.8,74.35429458618164,68.38130416870118,0.9197,89.027
二林,77.5,77.3324348449707,69.22998580932617,0.8952,69.378
南投,72.0,98.00962982177734,70.28521194458008,0.7171,51.6312
斗六,98.5,90.60389404296875,71.85377578735351,0.7931,78.1204
崙背,90.5,77.62936706542969,70.79067840576172,0.9119,82.527
新港,83.0,80.97705001831055,70.83058090209961,0.8747,72.6001
朴子,85.8,78.72293701171876,71.60206298828125,0.9095,78.0351
台西,92.8,71.66900024414062,67.27255210876464,0.9387,87.1114
嘉義,83.8,89.50016937255859,72.93678855895996,0.8149,68.2886
新營,67.4,83.01387786865234,71.02228584289551,0.8555,57.6607
善化,96.0,88.83334045410156,72.62449150085449,0.8175,78.48
安南,92.9,85.566748046875,72.2491470336914,0.8444,78.4448
台南,89.4,83.43242950439453,71.000931930542,0.851,76.0794
美濃,103.5,96.70264205932617,72.6273292541504,0.751,77.7285
竹山,106.4,101.59809036254883,75.74761352539062,0.7456,79.3318
埔里,107.2,99.7984832763672,73.78426742553711,0.7393,79.253
麥寮,78.6,74.90004806518554,70.20978126525878,0.9374,73.6796
