,DVb,CMb,CMf,RRF,DVf
彰化,82.125,53.01959228515625,52.25453567504883,0.9856,80.9424
線西,94.66666666666667,45.488563537597656,45.41891098022461,0.9985,94.5247
二林,106.58333333333333,48.35930633544922,49.07651138305664,1.0148,108.1608
南投,110.625,53.874977111816406,53.85508346557617,0.9996,110.5808
斗六,108.16666666666667,50.40617370605469,51.62233352661133,1.0241,110.7735
崙背,93.5,48.48501968383789,50.594940185546875,1.0435,97.5673
新港,112.5,48.232967376708984,49.26726150512695,1.0214,114.9075
朴子,94.3913043478261,45.12273406982422,46.17628860473633,1.0233,96.5906
台西,80.625,43.260398864746094,43.96669006347656,1.0163,81.9392
嘉義,99.625,50.062469482421875,50.266319274902344,1.0041,100.0335
新營,89.375,50.1126708984375,50.80072784423828,1.0137,90.5994
善化,101.33333333333333,49.56639862060547,49.9849853515625,1.0084,102.1845
安南,96.33333333333333,51.2369499206543,51.47685623168945,1.0047,96.7861
台南,89.6086956521739,52.95258712768555,53.0114631652832,1.0011,89.7073
美濃,70.33333333333333,40.61924743652344,40.69412612915039,1.0018,70.4599
竹山,112.04166666666667,45.854637145996094,46.373435974121094,1.0113,113.3077
埔里,70.41666666666667,37.2857551574707,36.43156814575195,0.9771,68.8041
麥寮,93.29166666666667,45.04712677001953,46.27498245239258,1.0273,95.8385
