,DVb,CMb,CMf,RRF,DVf
彰化,13.5,9.965339136123657,8.337234687805175,0.8366,11.2941
線西,11.5,14.161643791198731,10.612927055358886,0.7494,8.6181
二林,17.3,7.585539293289185,6.391294527053833,0.8426,14.577
南投,15.8,4.993344855308533,4.108470034599304,0.8228,13.0002
斗六,9.7,4.717987036705017,3.9333790063858034,0.8337,8.0869
崙背,11.7,6.614349460601806,5.628626084327697,0.851,9.9567
新港,18.4,6.010521984100341,5.1823750019073485,0.8622,15.8645
朴子,13.1,6.18171968460083,5.739048862457276,0.9284,12.162
台西,22.9,12.553716707229615,12.400196313858032,0.9878,22.6206
嘉義,21.1,4.842352676391601,4.129402589797974,0.8528,17.9941
新營,7.3,5.121858024597168,4.447615909576416,0.8684,6.3393
善化,10.7,5.027754545211792,4.566333961486817,0.9082,9.7177
安南,7.9,4.925763368606567,4.6908759593963625,0.9523,7.5232
台南,8.7,4.821779012680054,4.653459095954895,0.9651,8.3964
美濃,7.2,6.039569473266601,5.591798782348633,0.9259,6.6665
竹山,7.6,3.667673444747925,3.007140779495239,0.8199,6.2312
埔里,5.4,2.5011482357978823,2.211021161079407,0.884,4.7736
麥寮,8.7,6.3733643054962155,6.223436689376831,0.9765,8.4956
