縣市,經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
台北市,121.55676,25.00576,0.00019693375,5.5,5.5
新北市,121.370544,24.895866,0.0011544228,3.77,3.77
桃園市,121.18524,24.84159,0.0035734177,5.15,5.15
台中市,120.659485,24.397911,0.05045986,8.97,9.02
台南市,120.44122,23.421196,0.012177467,10.83,10.84
高雄市,120.43973,23.002419,0.007165432,5.42,5.43
基隆市,121.71207,25.087868,6.2942505e-05,5.02,5.02
新竹市,120.90753,24.759735,0.017531395,7.39,7.41
嘉義市,120.44141,23.477036,0.012802124,10.73,10.75
新竹縣,120.93811,24.731613,0.013970375,11.07,11.08
苗栗縣,120.87637,24.70404,1.0007553,9.71,10.71
彰化縣,120.6272,24.09079,0.030380249,12.03,12.06
南投縣,120.62677,24.006989,0.027925491,11.7,11.73
雲林縣,120.53421,23.811844,0.019716263,8.48,8.5
嘉義縣,120.47241,23.61657,0.015424728,10.78,10.8
屏東縣,120.46942,22.834854,0.0055236816,5.03,5.04
宜蘭縣,121.429535,24.671791,0.00022512674,0.46,0.46
花蓮縣,121.2052,23.751991,0.00022147596,0.24,0.24
台東縣,120.95743,23.279114,2.014637e-05,0.11,0.11
基隆,121.7601,25.12917,3.7431717e-05,3.08,3.08
汐止,121.6408,25.06567,9.346008e-05,5.26,5.26
萬里,121.6899,25.17967,1.4305115e-05,2.25,2.25
新店,121.5378,24.97722,0.00030231476,7.1,7.1
土城,121.4519,24.98253,0.00039958954,9.66,9.66
板橋,121.4587,25.01297,0.00030326843,10.35,10.35
新莊,121.4325,25.03797,0.00027370453,8.83,8.83
菜寮,121.481,25.06895,0.000166893,9.86,9.86
林口,121.3657,25.07857,0.00031137466,4.63,4.63
淡水,121.4492,25.1645,9.083748e-05,2.82,2.82
