縣市,經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
台北市,121.55676,25.00576,0.03153705596923828,10.87,10.91
新北市,121.370544,24.895866,0.1282954216003418,7.44,7.57
桃園市,121.032745,25.01036,0.7088413238525391,25.21,25.92
台中市,120.62894,24.425957,0.3139076232910156,14.88,15.19
台南市,120.31943,23.393593,0.09708309173583984,15.72,15.82
高雄市,120.40921,22.946686,0.05684471130371094,18.16,18.22
基隆市,121.71207,25.087868,0.009944915771484375,12.98,12.99
新竹市,120.90753,24.759735,1.2227630615234375,14.15,15.37
嘉義市,120.41098,23.477135,0.0938425064086914,15.69,15.79
新竹縣,120.93829,24.759537,0.938237190246582,10.33,11.27
苗栗縣,120.87637,24.70404,6.209098815917969,10.99,17.2
彰化縣,120.44385,24.147316,0.1769733428955078,23.52,23.69
南投縣,120.68793,24.006714,0.14004135131835938,20.98,21.12
雲林縣,120.35104,23.812393,0.1445293426513672,19.81,19.96
嘉義縣,120.319885,23.561127,0.11424541473388672,15.47,15.58
屏東縣,120.43872,22.72329,0.05300331115722656,16.99,17.04
宜蘭縣,121.739716,24.864021,0.05037498474121094,3.78,3.83
花蓮縣,121.2052,23.751991,0.0037639737129211426,0.53,0.53
台東縣,121.41492,23.415009,0.0011327266693115234,1.74,1.74
基隆,121.7601,25.12917,0.00946044921875,17.4,17.41
汐止,121.6408,25.06567,0.011515617370605469,13.51,13.52
萬里,121.6899,25.17967,0.0034322738647460938,8.38,8.39
新店,121.5378,24.97722,0.047145843505859375,10.54,10.59
土城,121.4519,24.98253,0.03911304473876953,14.96,14.99
板橋,121.4587,25.01297,0.03239727020263672,10.8,10.83
新莊,121.4325,25.03797,0.034969329833984375,13.92,13.95
菜寮,121.481,25.06895,0.024810791015625,18.63,18.65
林口,121.3657,25.07857,0.05702018737792969,16.72,16.78
淡水,121.4492,25.1645,0.028278350830078125,17.55,17.58
