縣市,經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
台北市,121.526306,25.034027,0.02931976318359375,65.38,65.41
新北市,121.37024,24.867912,0.08524322509765625,79.28,79.36
桃園市,121.36835,24.700302,0.1874847412109375,61.71,61.9
台中市,120.903595,24.229012,0.228057861328125,55.77,56.0
台南市,120.53119,23.113777,0.06531524658203125,65.0,65.07
高雄市,120.530945,23.057945,0.064117431640625,68.46,68.52
基隆市,121.71207,25.087868,0.02062225341796875,95.62,95.64
新竹市,120.93875,24.815414,0.019245147705078125,51.34,51.36
嘉義市,120.44141,23.477036,0.03090667724609375,53.59,53.62
新竹縣,121.183044,24.618103,0.2513389587402344,62.63,62.88
苗栗縣,120.93768,24.67575,0.4552736282348633,8.99,9.44
彰化縣,120.6575,24.034775,0.0467529296875,64.29,64.34
南投縣,120.93317,24.089157,0.19848251342773438,54.98,55.18
雲林縣,120.65527,23.615852,0.07080841064453125,70.26,70.33
嘉義縣,120.65512,23.587929,0.0690155029296875,68.62,68.69
屏東縣,120.559265,22.611252,0.0567474365234375,90.81,90.87
宜蘭縣,121.429535,24.671791,0.054599761962890625,54.52,54.57
花蓮縣,121.2052,23.751991,0.032501220703125,56.68,56.71
台東縣,120.8031,22.917137,0.030391693115234375,51.19,51.22
基隆,121.7601,25.12917,0.01346588134765625,68.59,68.6
汐止,121.6408,25.06567,0.01009368896484375,91.89,91.9
萬里,121.6899,25.17967,0.01448822021484375,73.46,73.47
新店,121.5378,24.97722,0.0193939208984375,59.84,59.86
土城,121.4519,24.98253,0.04229736328125,76.98,77.02
板橋,121.4587,25.01297,0.0405120849609375,77.97,78.01
新莊,121.4325,25.03797,0.037261962890625,79.43,79.47
菜寮,121.481,25.06895,0.0295562744140625,70.7,70.73
林口,121.3657,25.07857,0.03023529052734375,70.47,70.5
淡水,121.4492,25.1645,0.01605224609375,65.67,65.69
