縣市,經度,緯度,年平均值差值(ug/m3),背景模擬濃度(ug/m3),增量後模擬濃度(ug/m3)
台北市,121.55893,25.17337,0.0022621155,17.45,17.46
新北市,121.37024,24.867912,0.006772995,17.83,17.83
桃園市,121.30777,24.784668,0.012264252,16.67,16.68
台中市,120.62808,24.258354,0.05838585,28.99,29.05
台南市,120.47156,23.393188,0.043842316,42.1,42.14
高雄市,120.40839,22.69548,0.03705597,44.4,44.44
基隆市,121.71207,25.087868,0.0011329651,24.55,24.55
新竹市,120.90753,24.759735,0.019544601,25.06,25.08
嘉義市,120.44141,23.477036,0.042564392,40.19,40.23
新竹縣,120.999146,24.675339,0.02094078,22.23,22.25
苗栗縣,120.87637,24.70404,0.75345993,26.31,27.06
彰化縣,120.59622,24.007103,0.056762695,37.96,38.02
南投縣,120.84042,23.95005,0.06820297,40.88,40.95
雲林縣,120.62549,23.755638,0.05145645,42.88,42.93
嘉義縣,120.50278,23.588547,0.044963837,40.02,40.07
屏東縣,120.438934,22.779121,0.036312103,43.37,43.41
宜蘭縣,121.39783,24.58828,0.0031166077,11.87,11.88
花蓮縣,121.23602,23.779678,0.005604744,15.11,15.12
台東縣,120.80328,22.945023,0.005223274,14.02,14.02
基隆,121.7601,25.12917,0.0006828308,24.02,24.02
汐止,121.6408,25.06567,0.0010757446,22.62,22.62
萬里,121.6899,25.17967,0.0007953644,21.55,21.55
新店,121.5378,24.97722,0.0026435852,24.57,24.57
土城,121.4519,24.98253,0.0032730103,26.8,26.8
板橋,121.4587,25.01297,0.002439499,29.04,29.05
新莊,121.4325,25.03797,0.002796173,26.83,26.84
菜寮,121.481,25.06895,0.0023002625,29.05,29.05
林口,121.3657,25.07857,0.0030002594,24.48,24.48
淡水,121.4492,25.1645,0.0013771057,21.84,21.84
