縣市,經度,緯度,日平均值差值(ug/m3),背景模擬濃度(ug/m3),增量後模擬濃度(ug/m3)
台北市,121.52664,25.061958,0.019739151000976562,24.89,24.91
新北市,121.37024,24.867912,0.0618438720703125,9.66,9.73
桃園市,121.30777,24.784668,0.16112136840820312,10.34,10.5
台中市,120.659,24.314102,0.13031768798828125,16.39,16.52
台南市,120.410706,23.393356,0.07697677612304688,47.66,47.74
高雄市,120.6221,23.085503,0.08731460571289062,22.51,22.6
基隆市,121.71286,25.143723,0.013372421264648438,5.19,5.2
新竹市,120.90753,24.759735,0.1647491455078125,31.28,31.44
嘉義市,120.44141,23.477036,0.07714080810546875,49.1,49.18
新竹縣,120.999146,24.675339,0.18446922302246094,24.95,25.13
苗栗縣,120.87637,24.70404,1.5138435363769531,26.01,27.53
彰化縣,120.596344,24.03505,0.13332557678222656,22.01,22.14
南投縣,120.84042,23.95005,0.13121795654296875,25.84,25.97
雲林縣,120.53421,23.811844,0.09505081176757812,42.81,42.91
嘉義縣,120.4722,23.560722,0.07794189453125,49.72,49.8
屏東縣,120.52832,22.443954,0.05990409851074219,31.14,31.2
宜蘭縣,121.64621,24.781296,0.024832725524902344,5.81,5.83
花蓮縣,121.57312,23.888168,0.028553009033203125,7.88,7.91
台東縣,120.80328,22.945023,0.010150909423828125,23.25,23.26
基隆,121.7601,25.12917,0.0060272216796875,7.84,7.84
汐止,121.6408,25.06567,0.010677337646484375,19.78,19.79
萬里,121.6899,25.17967,0.005358695983886719,15.03,15.04
新店,121.5378,24.97722,0.019166946411132812,22.85,22.87
土城,121.4519,24.98253,0.022703170776367188,30.24,30.27
板橋,121.4587,25.01297,0.020206451416015625,29.17,29.19
新莊,121.4325,25.03797,0.022203445434570312,26.35,26.37
菜寮,121.481,25.06895,0.020259857177734375,28.96,28.98
林口,121.3657,25.07857,0.028112411499023438,23.84,23.87
淡水,121.4492,25.1645,0.010324478149414062,26.9,26.91
