經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.29419,21.801613,3.6150217e-05,0.29,0.29
119.32422,21.80175,3.8802624e-05,0.3,0.3
119.35428,21.801888,4.324317e-05,0.31,0.31
119.38431,21.802032,4.8220158e-05,0.33,0.33
119.41434,21.802147,5.4091215e-05,0.35,0.35
119.44437,21.802246,5.981326e-05,0.37,0.37
119.474396,21.802383,6.708503e-05,0.4,0.4
119.504456,21.80249,7.531047e-05,0.42,0.42
119.534485,21.80259,8.496642e-05,0.45,0.45
119.564514,21.802681,9.7215176e-05,0.48,0.48
119.59454,21.802765,0.00011330843,0.51,0.51
119.62457,21.802849,0.00013023615,0.53,0.53
119.6546,21.802917,0.00014954805,0.56,0.56
119.68463,21.802986,0.00016999245,0.59,0.59
119.71466,21.803055,0.00019317865,0.62,0.62
119.74469,21.803108,0.00022178888,0.65,0.65
119.77475,21.803162,0.00025838614,0.68,0.68
119.80478,21.8032,0.00030642748,0.71,0.71
119.83481,21.803246,0.0003530383,0.74,0.74
119.86484,21.80326,0.0004017353,0.77,0.77
119.89487,21.803284,0.00045758486,0.81,0.81
119.92493,21.803314,0.0005143881,0.84,0.85
119.954956,21.803314,0.00056636333,0.89,0.89
119.984985,21.803314,0.00061649084,0.94,0.94
120.015015,21.803314,0.00065523386,0.99,1.0
120.045044,21.803314,0.0006901026,1.05,1.05
120.07507,21.803314,0.0007094145,1.11,1.11
120.1051,21.803284,0.0007138252,1.14,1.14
120.13513,21.80326,0.00071299076,1.15,1.15
120.16519,21.803246,0.00069236755,1.14,1.14
120.19522,21.8032,0.0006532669,1.12,1.12
120.22525,21.803162,0.0005940199,1.08,1.08
120.25528,21.803108,0.0005493164,1.04,1.04
120.28531,21.803055,0.00051116943,0.98,0.98
120.31537,21.802986,0.00047540665,0.9,0.9
120.3454,21.802917,0.0004120469,0.83,0.83
120.37543,21.802849,0.0003144741,0.71,0.71
120.40546,21.802765,0.00020712614,0.58,0.58
120.435486,21.802681,0.00013053417,0.49,0.49
120.465515,21.80259,9.3758106e-05,0.42,0.42
120.495544,21.80249,6.350875e-05,0.37,0.37
120.52557,21.802383,4.0620565e-05,0.33,0.33
120.5556,21.802246,2.2649765e-05,0.3,0.3
120.58566,21.802147,1.0460615e-05,0.28,0.28
120.61569,21.802032,4.9471855e-06,0.26,0.26
120.64572,21.801888,2.7269125e-06,0.24,0.24
120.67575,21.80175,1.0877848e-06,0.23,0.23
120.70578,21.801613,6.7055225e-07,0.22,0.22
120.73584,21.80146,6.7055225e-07,0.22,0.22
120.76587,21.801308,7.003546e-07,0.21,0.21
120.7959,21.80114,4.917383e-07,0.21,0.21
120.82593,21.800964,5.2154064e-07,0.22,0.22
120.85596,21.800804,3.874302e-07,0.22,0.22
120.88599,21.800606,4.7683716e-07,0.22,0.22
120.916016,21.800446,3.7252903e-07,0.22,0.22
120.946045,21.800224,4.3213367e-07,0.22,0.22
120.976074,21.800041,4.3213367e-07,0.22,0.22
121.0061,21.799812,4.3213367e-07,0.22,0.22
121.03613,21.799606,1.937151e-07,0.22,0.22
121.06616,21.7994,2.682209e-07,0.22,0.22
121.09622,21.799164,4.3213367e-07,0.22,0.22
121.12625,21.798943,1.937151e-07,0.22,0.22
121.15628,21.798698,1.3411045e-07,0.22,0.22
121.18631,21.798454,2.682209e-07,0.22,0.22
121.21634,21.798225,1.4901161e-07,0.22,0.22
121.24637,21.79795,1.4901161e-07,0.22,0.22
121.2764,21.797684,1.7881393e-07,0.22,0.22
121.30643,21.797424,1.1920929e-07,0.23,0.23
121.33646,21.797142,1.3411045e-07,0.23,0.23
121.366486,21.79686,2.9802322e-08,0.23,0.23
121.396515,21.796585,1.3411045e-07,0.24,0.24
121.426575,21.796288,8.940697e-08,0.24,0.24
121.456604,21.795975,5.9604645e-08,0.23,0.23
121.48663,21.795677,0.0,0.23,0.23
121.51666,21.795364,5.9604645e-08,0.23,0.23
121.54669,21.795044,5.9604645e-08,0.23,0.23
121.57672,21.794716,1.4901161e-08,0.23,0.23
121.60675,21.794395,1.4901161e-08,0.24,0.24
121.63678,21.794044,-1.4901161e-08,0.24,0.24
121.66681,21.793701,0.0,0.24,0.24
