經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.29419,21.801613,0.0009987354278564453,0.56,0.56
119.32422,21.80175,0.0011730194091796875,0.59,0.59
119.35428,21.801888,0.0016221404075622559,0.66,0.67
119.38431,21.802032,0.002005934715270996,0.76,0.76
119.41434,21.802147,0.0022299885749816895,0.84,0.84
119.44437,21.802246,0.002226531505584717,0.93,0.93
119.474396,21.802383,0.0021021366119384766,1.01,1.01
119.504456,21.80249,0.002027750015258789,0.54,0.55
119.534485,21.80259,0.0022093653678894043,0.59,0.59
119.564514,21.802681,0.0026944875717163086,1.65,1.65
119.59454,21.802765,0.0033987760543823242,1.75,1.76
119.62457,21.802849,0.003824591636657715,1.86,1.86
119.6546,21.802917,0.004569530487060547,1.14,1.14
119.68463,21.802986,0.00585484504699707,1.45,1.45
119.71466,21.803055,0.007128596305847168,1.79,1.8
119.74469,21.803108,0.008419513702392578,2.21,2.22
119.77475,21.803162,0.009393692016601562,2.75,2.76
119.80478,21.8032,0.010191917419433594,3.42,3.43
119.83481,21.803246,0.012563467025756836,3.5,3.51
119.86484,21.80326,0.014163017272949219,3.48,3.49
119.89487,21.803284,0.015318870544433594,3.52,3.53
119.92493,21.803314,0.016436100006103516,4.72,4.74
119.954956,21.803314,0.01759624481201172,5.51,5.52
119.984985,21.803314,0.020142078399658203,6.62,6.64
120.015015,21.803314,0.023378372192382812,8.87,8.89
120.045044,21.803314,0.02600574493408203,11.18,11.21
120.07507,21.803314,0.026208877563476562,12.06,12.08
120.1051,21.803284,0.024091720581054688,10.83,10.85
120.13513,21.80326,0.02400493621826172,11.95,11.98
120.16519,21.803246,0.02198505401611328,12.74,12.76
120.19522,21.8032,0.020143508911132812,12.73,12.75
120.22525,21.803162,0.020196914672851562,8.66,8.68
120.25528,21.803108,0.01997661590576172,8.77,8.79
120.28531,21.803055,0.01806163787841797,8.14,8.16
120.31537,21.802986,0.018011093139648438,5.37,5.39
120.3454,21.802917,0.017754554748535156,7.46,7.48
120.37543,21.802849,0.012857913970947266,5.16,5.17
120.40546,21.802765,0.009061813354492188,3.98,3.99
120.435486,21.802681,0.008719205856323242,2.99,3.0
120.465515,21.80259,0.008541345596313477,2.48,2.49
120.495544,21.80249,0.007615804672241211,2.15,2.16
120.52557,21.802383,0.00592648983001709,1.72,1.72
120.5556,21.802246,0.003292083740234375,1.16,1.16
120.58566,21.802147,0.0019443035125732422,1.01,1.01
120.61569,21.802032,0.001080632209777832,0.58,0.58
120.64572,21.801888,0.00046882033348083496,0.34,0.34
120.67575,21.80175,0.0001341402530670166,0.23,0.23
120.70578,21.801613,3.8176774978637695e-05,0.31,0.31
120.73584,21.80146,4.32133674621582e-05,0.35,0.35
120.76587,21.801308,3.948807716369629e-05,0.38,0.38
120.7959,21.80114,3.9249658584594727e-05,0.39,0.39
120.82593,21.800964,3.662705421447754e-05,0.41,0.41
120.85596,21.800804,3.3408403396606445e-05,0.33,0.33
120.88599,21.800606,3.221631050109863e-05,0.29,0.29
120.916016,21.800446,3.522634506225586e-05,0.32,0.32
120.946045,21.800224,3.483891487121582e-05,0.33,0.33
120.976074,21.800041,3.3468008041381836e-05,0.33,0.33
121.0061,21.799812,2.753734588623047e-05,0.33,0.33
121.03613,21.799606,1.7821788787841797e-05,0.31,0.31
121.06616,21.7994,1.4394521713256836e-05,0.31,0.31
121.09622,21.799164,1.446157693862915e-05,0.12,0.12
121.12625,21.798943,1.6883015632629395e-05,0.12,0.12
121.15628,21.798698,1.8708407878875732e-05,0.12,0.12
121.18631,21.798454,1.808255910873413e-05,0.12,0.12
121.21634,21.798225,1.4647841453552246e-05,0.12,0.12
121.24637,21.79795,1.5467405319213867e-05,0.12,0.12
121.2764,21.797684,1.4044344425201416e-05,0.12,0.12
121.30643,21.797424,1.093745231628418e-05,0.13,0.13
121.33646,21.797142,6.973743438720703e-06,0.13,0.13
121.366486,21.79686,4.664063453674316e-06,0.13,0.13
121.396515,21.796585,3.3229589462280273e-06,0.13,0.13
121.426575,21.796288,2.592802047729492e-06,0.13,0.13
121.456604,21.795975,2.2649765014648438e-06,1.33,1.33
121.48663,21.795677,2.5033950805664062e-06,1.39,1.39
121.51666,21.795364,2.2649765014648438e-06,1.32,1.32
121.54669,21.795044,1.4454126358032227e-06,0.19,0.19
121.57672,21.794716,1.385807991027832e-06,0.2,0.2
121.60675,21.794395,1.5497207641601562e-06,1.24,1.24
121.63678,21.794044,1.2516975402832031e-06,0.99,0.99
121.66681,21.793701,1.430511474609375e-06,1.06,1.06
121.69684,21.79335,1.1920928955078125e-06,1.1,1.1
121.72687,21.793,1.0728836059570312e-06,1.55,1.55
121.7569,21.792648,1.0728836059570312e-06,1.64,1.64
121.78693,21.79226,9.5367431640625e-07,1.43,1.43
121.816956,21.791893,7.152557373046875e-07,1.27,1.27
121.846985,21.791512,9.5367431640625e-07,1.26,1.26
121.877014,21.791122,4.76837158203125e-07,1.21,1.21
121.90704,21.790741,5.960464477539062e-07,1.76,1.76
121.93707,21.790329,5.960464477539062e-07,1.14,1.14
121.96707,21.78991,5.662441253662109e-07,0.16,0.16
121.9971,21.789505,1.0281801223754883e-06,0.17,0.17
122.02713,21.789085,9.834766387939453e-07,0.19,0.19
119.29404,21.829483,0.0009573698043823242,0.54,0.54
119.3241,21.829636,0.0011083483695983887,0.57,0.57
119.354126,21.82978,0.0014993548393249512,0.63,0.63
119.384155,21.829918,0.0020562410354614258,0.72,0.72
119.414215,21.83004,0.00248873233795166,0.81,0.82
119.444244,21.830132,0.002665579319000244,0.89,0.89
119.474304,21.830269,0.0026298165321350098,0.97,0.97
119.50433,21.830376,0.0025315284729003906,1.03,1.03
119.53436,21.830467,0.0023241043090820312,1.11,1.11
119.56439,21.830559,0.0023029446601867676,0.59,0.59
119.59445,21.830643,0.0031578540802001953,1.7,1.7
119.62448,21.830727,0.0037840604782104492,1.78,1.79
119.65454,21.830818,0.004083156585693359,1.91,1.91
119.68457,21.830894,0.005413651466369629,1.15,1.15
119.7146,21.830925,0.007037162780761719,1.48,1.49
119.74466,21.830986,0.008213400840759277,1.84,1.84
119.77469,21.83104,0.009862422943115234,2.3,2.31
119.80475,21.831085,0.010470867156982422,2.87,2.88
119.83478,21.831123,0.012015819549560547,3.56,3.57
119.86481,21.831146,0.014026641845703125,3.61,3.62
119.89484,21.831177,0.01572132110595703,3.63,3.65
119.9249,21.831207,0.016746997833251953,3.86,3.88
119.954926,21.831223,0.017523765563964844,5.25,5.27
119.984985,21.831223,0.01863241195678711,5.89,5.91
120.015015,21.831223,0.022514820098876953,7.89,7.91
120.045044,21.831223,0.02644062042236328,10.79,10.82
120.0751,21.831207,0.027984619140625,12.51,12.54
120.10513,21.831177,0.02674388885498047,12.49,12.51
120.13519,21.831146,0.026259422302246094,12.66,12.69
120.16522,21.831123,0.02514934539794922,12.79,12.82
120.19525,21.831085,0.023199081420898438,13.79,13.81
120.22531,21.83104,0.021230220794677734,7.71,7.73
120.25534,21.830986,0.020364761352539062,8.89,8.91
120.2854,21.830925,0.019397735595703125,8.57,8.59
120.31543,21.830894,0.01874685287475586,6.26,6.28
120.34546,21.830818,0.01907062530517578,7.81,7.82
120.37549,21.830727,0.015093803405761719,6.41,6.43
120.40555,21.830643,0.010035037994384766,4.22,4.23
120.43558,21.830559,0.008994102478027344,3.3,3.31
120.46564,21.830467,0.00854182243347168,2.52,2.53
120.49567,21.830376,0.008052349090576172,2.26,2.27
120.525696,21.830269,0.006757140159606934,1.88,1.89
120.555756,21.830132,0.004235625267028809,1.3,1.3
