經度,緯度,八小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.29419,21.801613,0.00536346435546875,58.32,58.32
119.32422,21.80175,0.00533294677734375,58.64,58.64
119.35428,21.801888,0.00527191162109375,58.91,58.91
119.38431,21.802032,0.005199432373046875,59.06,59.07
119.41434,21.802147,0.00531005859375,38.02,38.02
119.44437,21.802246,0.005214691162109375,51.21,51.21
119.474396,21.802383,0.0050811767578125,64.9,64.9
119.504456,21.80249,0.0055694580078125,65.6,65.61
119.534485,21.80259,0.006664276123046875,50.33,50.34
119.564514,21.802681,0.00799560546875,51.18,51.19
119.59454,21.802765,0.0081939697265625,41.04,41.04
119.62457,21.802849,0.00913238525390625,69.16,69.17
119.6546,21.802917,0.01035308837890625,69.94,69.95
119.68463,21.802986,0.01128387451171875,70.53,70.54
119.71466,21.803055,0.01200103759765625,70.91,70.93
119.74469,21.803108,0.01267242431640625,71.98,72.0
119.77475,21.803162,0.01299285888671875,72.32,72.33
119.80478,21.8032,0.012939453125,72.4,72.42
119.83481,21.803246,0.0124664306640625,72.23,72.25
119.86484,21.80326,0.01163482666015625,71.65,71.67
119.89487,21.803284,0.013355255126953125,49.95,49.96
119.92493,21.803314,0.01354217529296875,64.33,64.34
119.954956,21.803314,0.012847900390625,63.3,63.32
119.984985,21.803314,0.012142181396484375,62.04,62.05
120.015015,21.803314,0.012149810791015625,58.54,58.55
120.045044,21.803314,0.012760162353515625,58.8,58.81
120.07507,21.803314,0.01383209228515625,71.55,71.57
120.1051,21.803284,0.014739990234375,72.36,72.37
120.13513,21.80326,0.01502227783203125,72.43,72.45
120.16519,21.803246,0.014949798583984375,57.13,57.14
120.19522,21.8032,0.01506805419921875,56.04,56.06
120.22525,21.803162,0.015438079833984375,61.17,61.19
120.25528,21.803108,0.012477874755859375,52.11,52.12
120.28531,21.803055,0.0104217529296875,50.17,50.18
120.31537,21.802986,0.00963592529296875,67.27,67.28
120.3454,21.802917,0.00949859619140625,68.07,68.08
120.37543,21.802849,0.008647918701171875,46.97,46.98
120.40546,21.802765,0.007633209228515625,46.46,46.47
120.435486,21.802681,0.006595611572265625,54.31,54.32
120.465515,21.80259,0.00630950927734375,53.49,53.5
120.495544,21.80249,0.005901336669921875,52.49,52.49
120.52557,21.802383,0.005466461181640625,55.9,55.91
120.5556,21.802246,0.00354766845703125,51.73,51.73
120.58566,21.802147,0.0032196044921875,59.17,59.18
120.61569,21.802032,0.0030975341796875,58.86,58.86
120.64572,21.801888,0.002536773681640625,45.48,45.48
120.67575,21.80175,0.001560211181640625,60.21,60.21
120.70578,21.801613,0.000823974609375,55.27,55.27
120.73584,21.80146,0.0007171630859375,55.02,55.02
120.76587,21.801308,0.000621795654296875,54.79,54.79
120.7959,21.80114,0.000545501708984375,54.55,54.55
120.82593,21.800964,0.000499725341796875,54.33,54.33
120.85596,21.800804,0.00052642822265625,54.13,54.13
120.88599,21.800606,0.000579833984375,53.96,53.96
120.916016,21.800446,0.000606536865234375,53.71,53.71
120.946045,21.800224,0.0005645751953125,53.4,53.4
120.976074,21.800041,0.000518798828125,53.17,53.17
121.0061,21.799812,0.000457763671875,52.84,52.84
121.03613,21.799606,0.00037384033203125,52.53,52.53
121.06616,21.7994,0.000331878662109375,52.37,52.37
121.09622,21.799164,0.00032806396484375,52.3,52.3
121.12625,21.798943,0.000286102294921875,48.17,48.17
121.15628,21.798698,0.00016021728515625,47.94,47.94
121.18631,21.798454,0.000186920166015625,48.03,48.03
121.21634,21.798225,0.0001983642578125,48.22,48.22
121.24637,21.79795,0.0001983642578125,51.71,51.71
121.2764,21.797684,0.000164031982421875,51.55,51.55
121.30643,21.797424,0.00011444091796875,51.47,51.47
121.33646,21.797142,9.5367431640625e-05,51.37,51.37
121.366486,21.79686,8.0108642578125e-05,51.31,51.31
121.396515,21.796585,7.62939453125e-05,50.39,50.39
121.426575,21.796288,6.4849853515625e-05,51.43,51.43
121.456604,21.795975,5.7220458984375e-05,43.09,43.09
121.48663,21.795677,5.340576171875e-05,43.22,43.22
121.51666,21.795364,4.9591064453125e-05,43.14,43.14
121.54669,21.795044,5.340576171875e-05,39.78,39.78
121.57672,21.794716,4.1961669921875e-05,39.84,39.84
121.60675,21.794395,3.814697265625e-05,50.32,50.32
121.63678,21.794044,3.4332275390625e-05,50.12,50.12
121.66681,21.793701,2.6702880859375e-05,49.88,49.88
121.69684,21.79335,1.9073486328125e-05,40.14,40.14
121.72687,21.793,1.9073486328125e-05,49.43,49.43
121.7569,21.792648,1.1444091796875e-05,48.23,48.23
121.78693,21.79226,1.1444091796875e-05,42.7,42.7
121.816956,21.791893,7.62939453125e-06,40.05,40.05
121.846985,21.791512,7.62939453125e-06,42.45,42.45
121.877014,21.791122,7.62939453125e-06,39.46,39.46
121.90704,21.790741,7.62939453125e-06,44.05,44.05
121.93707,21.790329,7.62939453125e-06,43.2,43.2
121.96707,21.78991,7.62939453125e-06,44.62,44.62
121.9971,21.789505,7.62939453125e-06,51.8,51.8
122.02713,21.789085,7.62939453125e-06,40.16,40.16
119.29404,21.829483,0.00551605224609375,58.02,58.03
119.3241,21.829636,0.00554656982421875,58.44,58.44
119.354126,21.82978,0.005523681640625,58.82,58.82
119.384155,21.829918,0.005458831787109375,59.07,59.08
119.414215,21.83004,0.0053863525390625,59.18,59.19
119.444244,21.830132,0.00525665283203125,59.26,59.27
119.474304,21.830269,0.00569915771484375,37.75,37.76
119.50433,21.830376,0.005218505859375,59.61,59.62
119.53436,21.830467,0.005664825439453125,49.69,49.69
119.56439,21.830559,0.0068817138671875,50.53,50.53
119.59445,21.830643,0.00753021240234375,40.68,40.69
119.62448,21.830727,0.00811004638671875,53.1,53.11
119.65454,21.830818,0.00916290283203125,53.23,53.24
119.68457,21.830894,0.0102081298828125,69.9,69.91
119.7146,21.830925,0.0111846923828125,70.46,70.47
119.74466,21.830986,0.01222991943359375,71.56,71.57
119.77469,21.83104,0.013092041015625,72.12,72.13
119.80475,21.831085,0.0134124755859375,72.36,72.37
119.83478,21.831123,0.01329803466796875,72.39,72.4
119.86481,21.831146,0.01305389404296875,72.17,72.18
119.89484,21.831177,0.0121307373046875,72.44,72.45
119.9249,21.831207,0.013423919677734375,50.24,50.26
119.954926,21.831223,0.013702392578125,64.86,64.87
119.984985,21.831223,0.01303863525390625,63.88,63.89
120.015015,21.831223,0.012298583984375,62.59,62.6
120.045044,21.831223,0.012409210205078125,58.76,58.78
120.0751,21.831207,0.0131378173828125,70.85,70.86
120.10513,21.831177,0.01409912109375,71.73,71.74
120.13519,21.831146,0.01468658447265625,72.13,72.15
120.16522,21.831123,0.014362335205078125,58.9,58.91
120.19525,21.831085,0.014736175537109375,56.67,56.69
120.22531,21.83104,0.015533447265625,72.2,72.21
120.25534,21.830986,0.015560150146484375,61.03,61.05
120.2854,21.830925,0.01261138916015625,58.2,58.21
120.31543,21.830894,0.00966644287109375,48.92,48.93
120.34546,21.830818,0.010101318359375,68.27,68.28
120.37549,21.830727,0.009410858154296875,60.15,60.16
120.40555,21.830643,0.008846282958984375,46.81,46.82
120.43558,21.830559,0.00725555419921875,46.08,46.09
120.46564,21.830467,0.0066070556640625,54.01,54.02
120.49567,21.830376,0.006195068359375,53.01,53.02
120.525696,21.830269,0.00592803955078125,52.34,52.34
120.555756,21.830132,0.004993438720703125,54.76,54.76
120.585785,21.83004,0.003398895263671875,59.93,59.94
120.615845,21.829918,0.003269195556640625,59.54,59.54
120.645874,21.82978,0.00333404541015625,45.93,45.94
120.6759,21.829636,0.001636505126953125,60.5,60.5
120.70593,21.829483,0.0010223388671875,42.09,42.09
120.73599,21.829353,0.000614166259765625,54.69,54.7
120.76602,21.8292,0.000514984130859375,54.47,54.47
120.79608,21.829018,0.000438690185546875,54.28,54.28
