經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.29419,21.801613,0.0360870361328125,62.07,62.1
119.32422,21.80175,0.035060882568359375,62.32,62.36
119.35428,21.801888,0.0326080322265625,62.38,62.41
119.38431,21.802032,0.0260772705078125,62.17,62.2
119.41434,21.802147,0.021282196044921875,61.21,61.23
119.44437,21.802246,0.02005767822265625,61.66,61.68
119.474396,21.802383,0.0206146240234375,61.81,61.83
119.504456,21.80249,0.02108001708984375,61.92,61.94
119.534485,21.80259,0.021312713623046875,62.1,62.12
119.564514,21.802681,0.0215301513671875,62.52,62.54
119.59454,21.802765,0.02194976806640625,62.2,62.23
119.62457,21.802849,0.0224151611328125,63.29,63.31
119.6546,21.802917,0.02292633056640625,64.82,64.84
119.68463,21.802986,0.0236053466796875,66.64,66.67
119.71466,21.803055,0.024078369140625,68.47,68.49
119.74469,21.803108,0.024200439453125,70.09,70.12
119.77475,21.803162,0.02475738525390625,72.07,72.1
119.80478,21.8032,0.02521514892578125,73.72,73.75
119.83481,21.803246,0.0254669189453125,75.3,75.33
119.86484,21.80326,0.0254669189453125,76.81,76.84
119.89487,21.803284,0.02483367919921875,78.13,78.16
119.92493,21.803314,0.0241546630859375,67.01,67.03
119.954956,21.803314,0.0274200439453125,55.54,55.57
119.984985,21.803314,0.031528472900390625,57.64,57.67
120.015015,21.803314,0.033252716064453125,60.11,60.14
120.045044,21.803314,0.03151702880859375,65.68,65.71
120.07507,21.803314,0.032318115234375,68.95,68.98
120.1051,21.803284,0.0323638916015625,70.2,70.23
120.13513,21.80326,0.033477783203125,71.95,71.98
120.16519,21.803246,0.036376953125,75.96,76.0
120.19522,21.8032,0.0382080078125,82.99,83.03
120.22525,21.803162,0.0320892333984375,85.49,85.52
120.25528,21.803108,0.03023529052734375,88.33,88.36
120.28531,21.803055,0.031681060791015625,62.49,62.52
120.31537,21.802986,0.033458709716796875,57.66,57.69
120.3454,21.802917,0.0296630859375,52.72,52.75
120.37543,21.802849,0.03682708740234375,58.54,58.58
120.40546,21.802765,0.033428192138671875,53.56,53.59
120.435486,21.802681,0.025264739990234375,53.44,53.46
120.465515,21.80259,0.024272918701171875,59.57,59.6
120.495544,21.80249,0.02721405029296875,59.1,59.12
120.52557,21.802383,0.0272674560546875,59.1,59.13
120.5556,21.802246,0.024471282958984375,59.51,59.54
120.58566,21.802147,0.01898193359375,58.7,58.71
120.61569,21.802032,0.011867523193359375,55.64,55.65
120.64572,21.801888,0.008197784423828125,49.83,49.83
120.67575,21.80175,0.00559234619140625,45.98,45.99
120.70578,21.801613,0.003482818603515625,62.4,62.4
120.73584,21.80146,0.0023651123046875,73.04,73.04
120.76587,21.801308,0.0022430419921875,63.42,63.42
120.7959,21.80114,0.0022430419921875,78.62,78.62
120.82593,21.800964,0.00225830078125,79.2,79.2
120.85596,21.800804,0.00220489501953125,78.95,78.95
