經度,緯度,年平均值差值(ug/m3),背景模擬濃度(ug/m3),增量後模擬濃度(ug/m3)
119.29419,21.801613,0.0018482208,26.97,26.97
119.32422,21.80175,0.0019493103,26.73,26.73
119.35428,21.801888,0.002155304,26.54,26.54
119.38431,21.802032,0.0022201538,26.55,26.55
119.41434,21.802147,0.002275467,26.67,26.68
119.44437,21.802246,0.002363205,26.77,26.77
119.474396,21.802383,0.0025196075,26.84,26.84
119.504456,21.80249,0.0028839111,26.89,26.89
119.534485,21.80259,0.0031738281,26.96,26.97
119.564514,21.802681,0.0036067963,26.97,26.97
119.59454,21.802765,0.0038642883,26.89,26.89
119.62457,21.802849,0.0045280457,26.86,26.87
119.6546,21.802917,0.0049591064,26.8,26.8
119.68463,21.802986,0.0052452087,26.73,26.73
119.71466,21.803055,0.0056762695,26.6,26.6
119.74469,21.803108,0.006292343,26.49,26.5
119.77475,21.803162,0.006793976,26.37,26.38
119.80478,21.8032,0.007429123,26.3,26.31
119.83481,21.803246,0.0081214905,26.26,26.27
119.86484,21.80326,0.00866127,26.23,26.24
119.89487,21.803284,0.009660721,26.21,26.22
119.92493,21.803314,0.009918213,26.13,26.14
119.954956,21.803314,0.010097504,25.97,25.98
119.984985,21.803314,0.011314392,25.68,25.69
120.015015,21.803314,0.010547638,25.34,25.35
120.045044,21.803314,0.010229111,24.94,24.95
120.07507,21.803314,0.009716034,24.47,24.48
120.1051,21.803284,0.010240555,23.84,23.85
120.13513,21.80326,0.010826111,23.19,23.2
120.16519,21.803246,0.009408951,22.46,22.47
120.19522,21.8032,0.008823395,21.52,21.53
120.22525,21.803162,0.008371353,20.51,20.52
120.25528,21.803108,0.0068206787,19.59,19.6
120.28531,21.803055,0.0065689087,18.8,18.8
120.31537,21.802986,0.0054187775,18.04,18.04
120.3454,21.802917,0.004972458,17.36,17.37
120.37543,21.802849,0.0046520233,16.68,16.69
120.40546,21.802765,0.00333786,16.05,16.05
120.435486,21.802681,0.0025701523,15.48,15.49
120.465515,21.80259,0.002357483,15.07,15.07
120.495544,21.80249,0.0017929077,14.74,14.75
120.52557,21.802383,0.0013475418,14.53,14.53
120.5556,21.802246,0.0010223389,14.42,14.42
120.58566,21.802147,0.00063323975,14.36,14.36
120.61569,21.802032,0.0004081726,14.38,14.38
120.64572,21.801888,0.00025463104,14.52,14.52
120.67575,21.80175,0.0001707077,14.72,14.72
120.70578,21.801613,0.00015830994,14.99,14.99
120.73584,21.80146,0.00016117096,15.36,15.36
120.76587,21.801308,0.00015163422,15.81,15.81
120.7959,21.80114,0.0001335144,16.28,16.28
120.82593,21.800964,0.00012588501,16.65,16.65
120.85596,21.800804,0.0001373291,16.81,16.81
120.88599,21.800606,0.00012588501,16.82,16.82
120.916016,21.800446,0.00012397766,16.9,16.9
120.946045,21.800224,0.00013160706,17.01,17.01
120.976074,21.800041,9.346008e-05,17.06,17.06
121.0061,21.799812,6.484985e-05,17.1,17.1
121.03613,21.799606,5.531311e-05,17.05,17.05
121.06616,21.7994,4.5776367e-05,17.0,17.0
121.09622,21.799164,2.670288e-05,17.01,17.01
