經度,緯度,日平均值差值(ug/m3),背景模擬濃度(ug/m3),增量後模擬濃度(ug/m3)
119.29419,21.801613,0.0055084228515625,8.8,8.8
119.32422,21.80175,0.00482940673828125,16.12,16.13
119.35428,21.801888,0.005732536315917969,9.13,9.13
119.38431,21.802032,0.0077991485595703125,9.25,9.25
119.41434,21.802147,0.0074310302734375,9.36,9.37
119.44437,21.802246,0.00481414794921875,9.54,9.54
119.474396,21.802383,0.004859447479248047,6.32,6.32
119.504456,21.80249,0.007167816162109375,10.04,10.04
119.534485,21.80259,0.0067996978759765625,6.72,6.73
119.564514,21.802681,0.008230209350585938,6.86,6.87
119.59454,21.802765,0.009695053100585938,26.35,26.36
119.62457,21.802849,0.011301994323730469,11.75,11.77
119.6546,21.802917,0.0134429931640625,28.62,28.63
119.68463,21.802986,0.016241073608398438,29.84,29.86
119.71466,21.803055,0.01801300048828125,31.57,31.59
119.74469,21.803108,0.01995849609375,33.19,33.21
119.77475,21.803162,0.0221099853515625,34.14,34.16
119.80478,21.8032,0.021149635314941406,12.51,12.53
119.83481,21.803246,0.02233123779296875,13.67,13.69
119.86484,21.80326,0.02521514892578125,46.79,46.82
119.89487,21.803284,0.02835845947265625,49.04,49.07
119.92493,21.803314,0.03143310546875,17.74,17.77
119.954956,21.803314,0.0307769775390625,51.21,51.24
119.984985,21.803314,0.03560066223144531,19.01,19.05
120.015015,21.803314,0.029628753662109375,46.96,46.99
120.045044,21.803314,0.026859283447265625,42.22,42.25
120.07507,21.803314,0.026035308837890625,16.75,16.78
120.1051,21.803284,0.03290748596191406,11.21,11.24
120.13513,21.80326,0.028913497924804688,20.57,20.6
120.16519,21.803246,0.03258514404296875,18.0,18.03
120.19522,21.8032,0.03173828125,17.41,17.44
120.22525,21.803162,0.02459716796875,12.14,12.17
120.25528,21.803108,0.02145862579345703,14.99,15.01
120.28531,21.803055,0.019323348999023438,21.35,21.37
120.31537,21.802986,0.019124984741210938,20.9,20.92
120.3454,21.802917,0.018014907836914062,20.66,20.67
120.37543,21.802849,0.017259597778320312,19.74,19.76
120.40546,21.802765,0.014753341674804688,17.5,17.51
120.435486,21.802681,0.012331008911132812,14.81,14.83
120.465515,21.80259,0.010324478149414062,13.12,13.13
120.495544,21.80249,0.009070396423339844,11.66,11.67
120.52557,21.802383,0.00868988037109375,8.1,8.11
120.5556,21.802246,0.0068874359130859375,9.4,9.41
120.58566,21.802147,0.004981040954589844,8.12,8.13
120.61569,21.802032,0.0029540061950683594,6.79,6.79
120.64572,21.801888,0.00151824951171875,9.09,9.09
120.67575,21.80175,0.0014667510986328125,9.33,9.33
120.70578,21.801613,0.0015621185302734375,9.59,9.59
120.73584,21.80146,0.0017833709716796875,9.82,9.82
120.76587,21.801308,0.0018463134765625,10.16,10.16
120.7959,21.80114,0.0017862319946289062,10.61,10.61
120.82593,21.800964,0.001796722412109375,11.27,11.27
120.85596,21.800804,0.0016756057739257812,12.03,12.03
120.88599,21.800606,0.0013780593872070312,12.49,12.49
120.916016,21.800446,0.001453399658203125,13.09,13.09
120.946045,21.800224,0.0011911392211914062,13.04,13.05
120.976074,21.800041,0.000720977783203125,11.91,11.91
121.0061,21.799812,0.0004425048828125,11.02,11.02
121.03613,21.799606,0.00023651123046875,10.64,10.64
121.06616,21.7994,0.000179290771484375,10.49,10.49
121.09622,21.799164,0.00013256072998046875,15.68,15.68
121.12625,21.798943,0.000110626220703125,15.34,15.34
121.15628,21.798698,9.441375732421875e-05,15.05,15.05
121.18631,21.798454,7.915496826171875e-05,14.72,14.72
121.21634,21.798225,7.82012939453125e-05,11.44,11.44
121.24637,21.79795,0.000102996826171875,4.4,4.4
121.2764,21.797684,4.38690185546875e-05,13.92,13.92
121.30643,21.797424,4.38690185546875e-05,11.79,11.79
121.33646,21.797142,4.38690185546875e-05,12.46,12.46
121.366486,21.79686,5.245208740234375e-05,12.83,12.83
121.396515,21.796585,4.6253204345703125e-05,7.28,7.28
121.426575,21.796288,3.62396240234375e-05,12.87,12.87
121.456604,21.795975,9.250640869140625e-05,11.28,11.28
121.48663,21.795677,6.687641143798828e-05,1.25,1.25
121.51666,21.795364,2.86102294921875e-05,5.76,5.76
121.54669,21.795044,1.9073486328125e-05,12.95,12.95
121.57672,21.794716,8.0108642578125e-05,9.62,9.62
121.60675,21.794395,5.14984130859375e-05,11.83,11.83
121.63678,21.794044,0.00014102458953857422,1.1,1.1
121.66681,21.793701,9.775161743164062e-06,1.08,1.08
121.69684,21.79335,7.62939453125e-06,11.66,11.66
121.72687,21.793,1.430511474609375e-05,11.66,11.66
121.7569,21.792648,1.5854835510253906e-05,0.99,0.99
121.78693,21.79226,1.621246337890625e-05,5.83,5.83
121.816956,21.791893,7.62939453125e-06,11.53,11.53
121.846985,21.791512,3.337860107421875e-06,1.0,1.0
121.877014,21.791122,3.814697265625e-06,12.17,12.17
121.90704,21.790741,3.814697265625e-06,12.04,12.04
121.93707,21.790329,9.5367431640625e-07,11.96,11.96
121.96707,21.78991,2.86102294921875e-06,11.92,11.92
121.9971,21.789505,1.9073486328125e-06,12.67,12.67
122.02713,21.789085,9.5367431640625e-07,11.74,11.74
119.29404,21.829483,0.006351470947265625,18.37,18.37
119.3241,21.829636,0.0060825347900390625,17.51,17.51
119.354126,21.82978,0.00603485107421875,17.16,17.17
119.384155,21.829918,0.008207321166992188,9.4,9.41
119.414215,21.83004,0.008550643920898438,9.55,9.56
119.444244,21.830132,0.006653785705566406,9.7,9.71
119.474304,21.830269,0.004596710205078125,9.88,9.88
119.50433,21.830376,0.004628181457519531,6.56,6.57
119.53436,21.830467,0.007435798645019531,10.39,10.39
119.56439,21.830559,0.009202957153320312,10.81,10.82
119.59445,21.830643,0.008812904357910156,7.11,7.12
119.62448,21.830727,0.009378433227539062,11.72,11.73
119.65454,21.830818,0.011682510375976562,8.72,8.73
119.68457,21.830894,0.013929367065429688,28.62,28.64
119.7146,21.830925,0.016246795654296875,29.87,29.89
119.74466,21.830986,0.018262863159179688,31.55,31.57
119.77469,21.83104,0.02042388916015625,33.28,33.3
119.80475,21.831085,0.021877288818359375,34.09,34.12
119.83478,21.831123,0.02211761474609375,34.49,34.52
119.86481,21.831146,0.0236358642578125,45.7,45.73
119.89484,21.831177,0.02642822265625,48.18,48.21
119.9249,21.831207,0.029998779296875,50.39,50.42
119.954926,21.831223,0.03106689453125,52.0,52.04
119.984985,21.831223,0.031646728515625,51.97,52.0
120.015015,21.831223,0.031215667724609375,50.19,50.22
120.045044,21.831223,0.0299072265625,45.79,45.82
120.0751,21.831207,0.026599884033203125,41.09,41.12
120.10513,21.831177,0.0319976806640625,11.09,11.12
120.13519,21.831146,0.029605865478515625,20.68,20.71
120.16522,21.831123,0.03856849670410156,18.65,18.69
120.19525,21.831085,0.03755378723144531,18.36,18.4
120.22531,21.83104,0.02566814422607422,15.87,15.89
120.25534,21.830986,0.030338287353515625,15.92,15.95
120.2854,21.830925,0.024873733520507812,14.74,14.77
120.31543,21.830894,0.01999664306640625,11.3,11.32
120.34546,21.830818,0.019086837768554688,10.6,10.62
120.37549,21.830727,0.017917633056640625,20.44,20.46
120.40555,21.830643,0.016704559326171875,18.69,18.71
120.43558,21.830559,0.01401519775390625,16.05,16.06
120.46564,21.830467,0.011209487915039062,14.13,14.14
120.49567,21.830376,0.009926795959472656,12.56,12.57
120.525696,21.830269,0.008517265319824219,11.14,11.15
120.555756,21.830132,0.00777435302734375,10.04,10.04
120.585785,21.83004,0.006562232971191406,8.83,8.84
120.615845,21.829918,0.0039005279541015625,7.38,7.39
120.645874,21.82978,0.0018401145935058594,6.07,6.07
120.6759,21.829636,0.001575469970703125,9.28,9.28
120.70593,21.829483,0.001880645751953125,9.46,9.46
120.73599,21.829353,0.0021257400512695312,9.78,9.79
120.76602,21.8292,0.0021953582763671875,10.26,10.26
120.79608,21.829018,0.0022220611572265625,10.6,10.6
120.82611,21.828857,0.00191497802734375,11.09,11.09
120.85614,21.828682,0.0016450881958007812,11.84,11.84
120.88617,21.828499,0.0019102096557617188,12.41,12.42
120.91623,21.8283,0.0017032623291015625,12.96,12.96
120.94626,21.828125,0.0013685226440429688,12.8,12.8
120.97632,21.827919,0.0006971359252929688,11.81,11.81
121.00635,21.827705,0.000438690185546875,10.83,10.83
121.03638,21.827492,0.00027370452880859375,10.51,10.51
121.06641,21.827286,0.00021076202392578125,10.34,10.34
121.096466,21.82705,0.000164031982421875,16.19,16.19
121.126495,21.826813,0.0001544952392578125,15.96,15.96
121.156525,21.826591,0.0001373291015625,15.71,15.71
121.186584,21.826332,0.00012493133544921875,15.42,15.42
121.21661,21.826103,0.0001068115234375,15.07,15.07
121.24664,21.825844,8.0108642578125e-05,14.7,14.7
121.27667,21.825562,6.29425048828125e-05,14.38,14.38
121.30673,21.825302,4.76837158203125e-05,14.08,14.08
121.33676,21.825027,5.14984130859375e-05,12.47,12.47
121.36679,21.824745,4.1961669921875e-05,12.91,12.91
121.39685,21.824463,4.673004150390625e-05,7.47,7.47
121.42688,21.824165,4.38690185546875e-05,7.39,7.39
121.45691,21.823868,3.0040740966796875e-05,7.26,7.26
121.48694,21.823578,2.6702880859375e-05,7.23,7.23
121.517,21.82325,0.00018596649169921875,10.53,10.53
121.54703,21.822922,1.71661376953125e-05,7.78,7.78
121.57706,21.822594,0.0001239776611328125,9.9,9.9
121.60712,21.82228,9.250640869140625e-05,1.06,1.06
121.637146,21.821938,5.91278076171875e-05,8.63,8.63
121.667175,21.821594,1.5020370483398438e-05,0.98,0.98
121.697205,21.82125,9.5367431640625e-06,27.65,27.65
121.727234,21.820892,2.956390380859375e-05,11.75,11.75
121.75726,21.820526,3.814697265625e-06,12.48,12.48
121.78732,21.820137,9.5367431640625e-06,11.74,11.74
121.81735,21.819778,3.814697265625e-06,12.34,12.34
121.84738,21.819397,7.62939453125e-06,12.32,12.32
121.87741,21.819,6.67572021484375e-06,12.24,12.24
121.90747,21.818604,4.76837158203125e-06,12.12,12.12
121.9375,21.81823,7.62939453125e-06,12.04,12.04
121.96753,21.81781,4.76837158203125e-06,11.99,11.99
121.99756,21.817406,4.76837158203125e-06,11.89,11.89
122.02759,21.816978,2.86102294921875e-06,11.76,11.76
119.293884,21.857368,0.009613037109375,21.3,21.31
119.323944,21.857529,0.009441375732421875,20.54,20.55
119.35397,21.857674,0.00887298583984375,19.51,19.52
119.38403,21.857796,0.008550643920898438,18.92,18.93
119.41406,21.857918,0.008912086486816406,9.73,9.74
119.44412,21.858025,0.009227752685546875,9.88,9.89
