經度,緯度,年平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.29419,21.801613,2.6375055e-05,0.26,0.26
119.32422,21.80175,2.8312206e-05,0.26,0.26
119.35428,21.801888,3.0517578e-05,0.28,0.28
119.38431,21.802032,3.1799078e-05,0.29,0.29
119.41434,21.802147,3.46303e-05,0.31,0.31
119.44437,21.802246,3.787875e-05,0.33,0.33
119.474396,21.802383,4.1037798e-05,0.35,0.35
119.504456,21.80249,4.4316053e-05,0.37,0.37
119.534485,21.80259,4.8458576e-05,0.39,0.39
119.564514,21.802681,5.286932e-05,0.42,0.42
119.59454,21.802765,5.8799982e-05,0.44,0.44
119.62457,21.802849,6.467104e-05,0.46,0.46
119.6546,21.802917,7.161498e-05,0.48,0.48
119.68463,21.802986,7.981062e-05,0.49,0.49
119.71466,21.803055,8.749962e-05,0.51,0.51
119.74469,21.803108,9.2208385e-05,0.52,0.52
119.77475,21.803162,9.8884106e-05,0.53,0.53
119.80478,21.8032,0.00010710955,0.54,0.55
119.83481,21.803246,0.00011140108,0.56,0.56
119.86484,21.80326,0.00011134148,0.58,0.58
119.89487,21.803284,0.00011360645,0.6,0.6
119.92493,21.803314,0.00011211634,0.61,0.61
119.954956,21.803314,0.00011116266,0.63,0.63
119.984985,21.803314,0.00010442734,0.64,0.64
120.015015,21.803314,0.00010919571,0.65,0.65
120.045044,21.803314,0.000113368034,0.65,0.65
120.07507,21.803314,0.00010609627,0.65,0.66
120.1051,21.803284,0.00010371208,0.65,0.65
120.13513,21.80326,0.00010192394,0.65,0.65
120.16519,21.803246,9.125471e-05,0.63,0.63
120.19522,21.8032,8.922815e-05,0.61,0.61
120.22525,21.803162,7.4625015e-05,0.59,0.59
120.25528,21.803108,6.622076e-05,0.56,0.56
120.28531,21.803055,5.567074e-05,0.52,0.52
120.31537,21.802986,5.0753355e-05,0.47,0.47
120.3454,21.802917,4.6551228e-05,0.42,0.42
120.37543,21.802849,3.9607286e-05,0.36,0.36
120.40546,21.802765,3.376603e-05,0.31,0.31
120.435486,21.802681,2.8938055e-05,0.27,0.27
120.465515,21.80259,2.1889806e-05,0.24,0.24
120.495544,21.80249,1.6704202e-05,0.21,0.21
120.52557,21.802383,1.3232231e-05,0.18,0.18
