經度,緯度,最大小時平均值差值(ppb),背景模擬濃度(ppb),增量後模擬濃度(ppb)
119.29419,21.801613,0.0009490847587585449,0.76,0.76
119.32422,21.80175,0.0010060667991638184,0.73,0.73
119.35428,21.801888,0.000838935375213623,0.87,0.87
119.38431,21.802032,0.0005900263786315918,0.85,0.85
119.41434,21.802147,0.0005234479904174805,0.81,0.81
119.44437,21.802246,0.0004642307758331299,0.15,0.15
119.474396,21.802383,0.00048166513442993164,0.8,0.8
119.504456,21.80249,0.0005669593811035156,0.82,0.82
119.534485,21.80259,0.0006425380706787109,1.13,1.13
119.564514,21.802681,0.0007849931716918945,1.1,1.1
119.59454,21.802765,0.0008146762847900391,1.09,1.09
119.62457,21.802849,0.0007886886596679688,0.97,0.98
119.6546,21.802917,0.000714421272277832,1.09,1.09
119.68463,21.802986,0.0008604526519775391,0.6,0.6
119.71466,21.803055,0.0008140802383422852,0.45,0.45
119.74469,21.803108,0.000864759087562561,0.19,0.19
119.77475,21.803162,0.0011702999472618103,0.12,0.13
119.80478,21.8032,0.0012021511793136597,0.08,0.08
119.83481,21.803246,0.000964045524597168,1.04,1.04
119.86484,21.80326,0.001155078411102295,0.84,0.85
119.89487,21.803284,0.0015219449996948242,0.84,0.84
119.92493,21.803314,0.0020319223403930664,0.79,0.79
119.954956,21.803314,0.0016698241233825684,0.82,0.82
119.984985,21.803314,0.00234338641166687,0.43,0.44
120.015015,21.803314,0.0018732547760009766,1.11,1.12
120.045044,21.803314,0.0024143457412719727,0.92,0.93
120.07507,21.803314,0.0022801756858825684,0.84,0.84
120.1051,21.803284,0.0019446313381195068,0.41,0.41
120.13513,21.80326,0.002141714096069336,2.22,2.23
120.16519,21.803246,0.002078637480735779,0.22,0.22
120.19522,21.8032,0.0023273825645446777,0.26,0.26
120.22525,21.803162,0.0011702179908752441,0.83,0.83
120.25528,21.803108,0.001554250717163086,0.43,0.43
120.28531,21.803055,0.0011509507894515991,0.22,0.22
120.31537,21.802986,0.001395106315612793,0.89,0.89
120.3454,21.802917,0.0009405612945556641,2.35,2.35
120.37543,21.802849,0.000965118408203125,1.63,1.63
120.40546,21.802765,0.0008732080459594727,1.2,1.2
120.435486,21.802681,0.002399623394012451,0.84,0.85
120.465515,21.80259,0.0007297992706298828,2.01,2.01
120.495544,21.80249,0.0006511211395263672,1.8,1.8
120.52557,21.802383,0.0006264448165893555,1.51,1.51
120.5556,21.802246,0.0005574226379394531,1.12,1.12
120.58566,21.802147,0.00045609474182128906,0.72,0.72
120.61569,21.802032,0.0003291964530944824,0.45,0.45
120.64572,21.801888,0.0001828521490097046,0.25,0.25
120.67575,21.80175,0.00023031234741210938,2.0,2.0
120.70578,21.801613,0.00020885467529296875,2.11,2.11
120.73584,21.80146,0.00020623207092285156,1.84,1.84
120.76587,21.801308,0.0002086162567138672,1.9,1.9
120.7959,21.80114,0.00021839141845703125,1.58,1.58
120.82593,21.800964,0.00022411346435546875,1.46,1.46
120.85596,21.800804,0.00022101402282714844,1.36,1.36
120.88599,21.800606,0.00021958351135253906,1.28,1.28
120.916016,21.800446,0.00022149085998535156,1.21,1.21
120.946045,21.800224,0.0002046823501586914,0.81,0.81
120.976074,21.800041,0.00015014410018920898,0.92,0.92
121.0061,21.799812,0.00012922286987304688,0.57,0.57
121.03613,21.799606,0.00010114908218383789,0.28,0.28
121.06616,21.7994,7.811188697814941e-05,0.17,0.17
121.09622,21.799164,2.72504985332489e-05,0.06,0.06
121.12625,21.798943,1.8656253814697266e-05,0.53,0.53
121.15628,21.798698,2.1338462829589844e-05,0.16,0.16
121.18631,21.798454,2.4162232875823975e-05,0.1,0.1
121.21634,21.798225,2.008676528930664e-05,0.51,0.51
121.24637,21.79795,3.249943256378174e-05,0.22,0.22
121.2764,21.797684,1.5914440155029297e-05,0.63,0.63
121.30643,21.797424,3.318488597869873e-05,0.14,0.14
121.33646,21.797142,2.3946166038513184e-05,0.19,0.19
121.366486,21.79686,2.279132604598999e-05,0.1,0.1
121.396515,21.796585,1.8656253814697266e-05,0.03,0.03
121.426575,21.796288,1.2869015336036682e-05,0.02,0.02
121.456604,21.795975,1.0192394256591797e-05,0.28,0.28
121.48663,21.795677,8.314847946166992e-06,0.27,0.27
121.51666,21.795364,4.723668098449707e-06,0.07,0.07
121.54669,21.795044,5.424022674560547e-06,0.13,0.13
121.57672,21.794716,2.909451723098755e-06,0.06,0.06
121.60675,21.794395,4.7229230403900146e-05,0.11,0.11
121.63678,21.794044,4.413723945617676e-05,0.09,0.09
121.66681,21.793701,4.194676876068115e-06,0.08,0.08
121.69684,21.79335,1.8812716007232666e-06,0.02,0.02
121.72687,21.793,1.4647841453552246e-05,0.13,0.13
121.7569,21.792648,1.1011958122253418e-05,0.13,0.13
121.78693,21.79226,6.105750799179077e-06,0.03,0.03
121.816956,21.791893,3.632158041000366e-06,0.04,0.04
121.846985,21.791512,1.9669532775878906e-06,0.26,0.26
121.877014,21.791122,3.162771463394165e-06,0.05,0.05
121.90704,21.790741,5.695968866348267e-06,0.03,0.03
121.93707,21.790329,4.02890145778656e-06,0.03,0.03
121.96707,21.78991,1.646578311920166e-06,0.03,0.03
121.9971,21.789505,5.122274160385132e-06,0.04,0.04
122.02713,21.789085,1.6260892152786255e-06,0.02,0.02
119.29404,21.829483,0.0008932948112487793,0.97,0.97
119.3241,21.829636,0.001070559024810791,0.86,0.86
119.354126,21.82978,0.0011710524559020996,0.85,0.85
119.384155,21.829918,0.0007158517837524414,1.05,1.05
119.414215,21.83004,0.0006582736968994141,1.05,1.05
119.444244,21.830132,0.0005757808685302734,1.0,1.0
119.474304,21.830269,0.0004699230194091797,0.87,0.87
119.50433,21.830376,0.000553131103515625,0.81,0.81
119.53436,21.830467,0.0006275773048400879,0.83,0.83
119.56439,21.830559,0.0006913542747497559,0.85,0.85
119.59445,21.830643,0.0007796883583068848,0.87,0.87
119.62448,21.830727,0.0008376836776733398,0.93,0.93
119.65454,21.830818,0.0007941722869873047,1.04,1.04
119.68457,21.830894,0.0006899833679199219,1.17,1.17
119.7146,21.830925,0.0007727742195129395,0.65,0.65
119.74466,21.830986,0.0008306503295898438,0.56,0.56
119.77469,21.83104,0.0011766552925109863,0.15,0.15
119.80475,21.831085,0.0014168396592140198,0.1,0.1
119.83478,21.831123,0.0009864531457424164,0.06,0.06
119.86481,21.831146,0.0011678040027618408,0.28,0.28
119.89484,21.831177,0.0014435648918151855,0.82,0.82
119.9249,21.831207,0.0020257234573364258,0.79,0.8
119.954926,21.831223,0.0020714402198791504,0.78,0.78
119.984985,21.831223,0.001666724681854248,0.4,0.4
120.015015,21.831223,0.0016382932662963867,1.46,1.46
120.045044,21.831223,0.0030869245529174805,1.24,1.24
120.0751,21.831207,0.002852410078048706,0.31,0.31
120.10513,21.831177,0.0018213391304016113,0.41,0.41
120.13519,21.831146,0.0016447603702545166,0.3,0.3
120.16522,21.831123,0.0029084384441375732,0.3,0.3
120.19525,21.831085,0.00321391224861145,0.29,0.29
120.22531,21.83104,0.0020944178104400635,0.43,0.43
120.25534,21.830986,0.0016930103302001953,0.54,0.54
120.2854,21.830925,0.0012566149234771729,0.11,0.11
120.31543,21.830894,0.0009739398956298828,2.13,2.13
120.34546,21.830818,0.0009546279907226562,2.57,2.57
120.37549,21.830727,0.0010500848293304443,0.3,0.31
120.40555,21.830643,0.0008426904678344727,1.94,1.94
120.43558,21.830559,0.004633545875549316,1.01,1.01
120.46564,21.830467,0.0007886886596679688,2.26,2.26
120.49567,21.830376,0.0007340908050537109,1.99,1.99
120.525696,21.830269,0.0006692409515380859,1.62,1.62
120.555756,21.830132,0.0006098747253417969,1.21,1.21
120.585785,21.83004,0.0005145072937011719,0.83,0.83
120.615845,21.829918,0.00037914514541625977,0.51,0.51
120.645874,21.82978,0.0002333521842956543,0.29,0.29
120.6759,21.829636,0.0002269744873046875,1.83,1.83
120.70593,21.829483,0.00024080276489257812,2.23,2.23
120.73599,21.829353,0.00021386146545410156,2.1,2.1
120.76602,21.8292,0.00022149085998535156,1.7,1.7
120.79608,21.829018,0.00022649765014648438,1.66,1.66
120.82611,21.828857,0.00022411346435546875,1.45,1.45
120.85614,21.828682,0.00021636486053466797,1.52,1.52
120.88617,21.828499,0.0002307891845703125,1.46,1.46
120.91623,21.8283,0.00022721290588378906,1.19,1.19
120.94626,21.828125,0.0002270340919494629,0.74,0.74
120.97632,21.827919,0.00015038251876831055,0.96,0.96
121.00635,21.827705,0.00012254714965820312,0.6,0.6
121.03638,21.827492,0.00010451674461364746,0.32,0.32
121.06641,21.827286,8.153915405273438e-05,0.18,0.18
121.096466,21.82705,3.902614116668701e-05,0.07,0.07
121.126495,21.826813,2.0444393157958984e-05,0.67,0.67
121.156525,21.826591,1.9788742065429688e-05,0.5,0.5
121.186584,21.826332,2.1666288375854492e-05,0.15,0.15
121.21661,21.826103,2.413243055343628e-05,0.08,0.08
121.24664,21.825844,2.244114875793457e-05,0.22,0.22
121.27667,21.825562,2.975761890411377e-05,0.22,0.22
121.30673,21.825302,1.868605613708496e-05,0.06,0.06
121.33676,21.825027,1.7162412405014038e-05,0.04,0.04
121.36679,21.824745,1.9747763872146606e-05,0.04,0.04
121.39685,21.824463,2.057105302810669e-05,0.04,0.04
121.42688,21.824165,1.757591962814331e-05,0.03,0.03
121.45691,21.823868,1.0710209608078003e-05,0.04,0.04
121.48694,21.823578,9.894371032714844e-06,0.29,0.29
121.517,21.82325,6.973743438720703e-06,0.27,0.27
121.54703,21.822922,4.567205905914307e-06,0.03,0.03
121.57706,21.822594,1.1026859283447266e-05,0.14,0.14
121.60712,21.82228,2.1070241928100586e-05,0.14,0.14
121.637146,21.821938,8.77678394317627e-05,0.11,0.11
121.667175,21.821594,2.8036534786224365e-05,0.09,0.09
121.697205,21.82125,1.2516975402832031e-06,0.26,0.26
121.727234,21.820892,7.241964340209961e-06,0.13,0.13
121.75726,21.820526,1.4856457710266113e-05,0.14,0.14
121.78732,21.820137,1.0108575224876404e-05,0.02,0.02
121.81735,21.819778,8.627772331237793e-06,0.03,0.03
121.84738,21.819397,2.1457672119140625e-06,0.37,0.37
121.87741,21.819,3.606081008911133e-06,0.37,0.37
121.90747,21.818604,3.4868717193603516e-06,0.36,0.36
121.9375,21.81823,3.840774297714233e-06,0.03,0.03
121.96753,21.81781,3.4943222999572754e-06,0.03,0.03
121.99756,21.817406,7.320195436477661e-06,0.05,0.05
122.02759,21.816978,2.0265579223632812e-06,0.29,0.29
119.293884,21.857368,0.0008648037910461426,0.54,0.54
119.323944,21.857529,0.0007864236831665039,0.48,0.48
119.35397,21.857674,0.0008101761341094971,0.37,0.37
119.38403,21.857796,0.000850677490234375,0.38,0.38
119.41406,21.857918,0.000850677490234375,0.36,0.36
119.44412,21.858025,0.0007915496826171875,0.31,0.31
119.47418,21.858147,0.0006982982158660889,0.24,0.25
119.50421,21.858261,0.0005962103605270386,0.19,0.19
119.53427,21.858345,0.000931084156036377,0.68,0.68
119.5643,21.858452,0.001633763313293457,0.5,0.5
119.59436,21.858528,0.0007759332656860352,0.85,0.85
119.62439,21.858612,0.0008590221405029297,0.89,0.89
119.65445,21.858696,0.0008608102798461914,0.98,0.98
119.68451,21.858765,0.001071155071258545,0.69,0.69
119.71454,21.858826,0.000731348991394043,0.57,0.57
119.7446,21.85888,0.0008445978164672852,0.74,0.74
119.77466,21.858925,0.001076042652130127,0.17,0.17
119.80469,21.858963,0.001402541995048523,0.13,0.13
119.83472,21.859001,0.0013462305068969727,0.09,0.09
119.86478,21.859032,0.0010131597518920898,0.8,0.8
119.89484,21.859062,0.0014795660972595215,0.93,0.94
119.924866,21.859077,0.001714468002319336,0.81,0.81
119.954926,21.8591,0.002048492431640625,0.78,0.78
119.984985,21.8591,0.0011074542999267578,0.92,0.92
120.015015,21.8591,0.0019777268171310425,0.19,0.19
120.045074,21.8591,0.0017933249473571777,0.89,0.89
120.0751,21.859077,0.0030155181884765625,1.45,1.46
120.10516,21.859062,0.002480030059814453,0.6,0.6
120.13519,21.859032,0.001573115587234497,0.49,0.49
120.16525,21.859001,0.0020781755447387695,0.56,0.56
120.19531,21.858963,0.005032479763031006,0.61,0.62
120.22534,21.858925,0.0020446181297302246,0.62,0.62
120.2554,21.85888,0.0018541216850280762,0.62,0.62
120.28546,21.858826,0.0023505985736846924,0.16,0.17
120.31549,21.858765,0.0009889602661132812,2.05,2.05
120.34555,21.858696,0.0014271736145019531,0.88,0.88
120.37558,21.858612,0.0009338855743408203,0.54,0.54
120.40564,21.858528,0.0012295842170715332,0.26,0.27
120.43567,21.858452,0.006253719329833984,1.15,1.15
120.46573,21.858345,0.0008311271667480469,2.47,2.47
120.49579,21.858261,0.0018065571784973145,0.51,0.51
120.52582,21.858147,0.0007454156875610352,1.75,1.75
120.55588,21.858025,0.00067138671875,1.27,1.27
