,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-01-00,49.0,6.0,-999,-999,38.23,19.12,18.05,6.9
2019-01-01-01,51.06,6.0,2,2,37.7,12.21,16.99,6.37
2019-01-01-02,49.44,4.0,2,4,37.17,10.62,13.81,5.84
2019-01-01-03,43.94,3.5,2,5,36.11,10.09,13.81,5.84
2019-01-01-04,40.5,3.5,2,5,35.58,8.5,11.68,5.31
2019-01-01-05,40.17,4.5,2,3,31.33,9.03,11.15,4.78
2019-01-01-06,37.61,6.0,2,2,32.39,9.56,9.56,4.25
2019-01-01-07,40.44,7.5,3,2,31.86,12.21,11.15,7.43
2019-01-01-08,43.28,9.0,3,2,32.39,13.28,14.34,8.5
2019-01-01-09,37.44,10.0,4,3,28.67,14.34,15.4,10.09
2019-01-01-10,27.5,8.5,5,2,22.3,14.34,14.87,9.03
2019-01-01-11,21.83,8.5,7,1,15.93,13.81,14.87,7.97
2019-01-01-12,19.83,7.0,6,2,10.62,14.87,13.81,7.43
2019-01-01-13,16.33,7.0,4,2,8.5,14.87,10.62,6.9
2019-01-01-14,14.22,7.0,4,2,7.97,16.99,11.15,6.9
2019-01-01-15,15.28,7.5,5,1,8.5,18.05,10.09,7.43
2019-01-01-16,18.0,7.5,6,3,8.5,14.87,9.56,9.56
2019-01-01-17,22.72,8.0,13,3,11.15,14.34,12.21,11.68
2019-01-01-18,26.94,8.0,18,4,16.99,15.4,11.15,15.4
2019-01-01-19,26.61,7.5,29,2,18.58,15.4,10.62,15.4
2019-01-01-20,23.33,7.0,22,3,17.52,16.99,10.62,16.99
2019-01-01-21,20.22,7.0,25,2,17.52,21.24,9.56,13.81
2019-01-01-22,20.28,6.5,30,3,17.52,26.02,10.62,11.68
2019-01-01-23,22.94,5.0,35,2,19.65,26.02,10.09,11.68
2019-01-02-00,24.78,4.5,27,1,22.3,20.71,10.62,9.03
2019-01-02-01,24.39,4.0,12,-999,20.71,18.05,8.5,7.43
2019-01-02-02,25.78,4.5,10,1,22.83,16.99,7.97,5.84
2019-01-02-03,29.5,4.0,8,2,22.83,17.52,7.97,5.31
2019-01-02-04,36.67,4.0,9,5,21.24,16.99,7.97,4.25
2019-01-02-05,41.89,4.5,9,3,21.24,16.46,7.97,3.72
2019-01-02-06,47.39,8.0,7,1,19.12,19.65,7.97,4.78
2019-01-02-07,50.17,12.5,7,1,19.65,26.02,9.03,7.97
2019-01-02-08,47.44,15.5,12,3,23.36,31.33,10.62,12.74
2019-01-02-09,40.78,17.5,13,3,23.36,29.2,12.21,11.15
2019-01-02-10,33.17,16.0,10,2,20.71,25.49,15.4,11.15
2019-01-02-11,29.0,16.0,10,2,18.58,24.43,14.34,10.09
2019-01-02-12,27.59,13.0,9,1,18.05,22.3,13.81,9.03
2019-01-02-13,25.94,15.0,8,2,18.58,20.71,10.62,9.03
2019-01-02-14,25.0,14.0,8,1,21.24,20.18,15.4,9.56
2019-01-02-15,26.94,14.5,9,1,23.9,21.24,19.12,9.56
2019-01-02-16,29.82,15.0,13,2,30.8,20.71,16.99,10.09
2019-01-02-17,37.56,12.5,22,2,35.05,20.71,18.58,13.28
2019-01-02-18,43.0,16.5,21,3,38.76,22.83,20.71,13.81
2019-01-02-19,49.5,13.5,20,3,42.48,24.43,23.9,13.81
2019-01-02-20,54.28,12.5,22,4,44.6,23.9,20.18,14.87
2019-01-02-21,55.06,12.0,32,4,44.6,27.08,21.77,14.34
2019-01-02-22,49.0,11.0,31,4,47.26,30.8,20.18,12.74
2019-01-02-23,37.06,6.5,17,3,45.67,32.92,19.65,11.68
2019-01-03-00,36.33,4.5,16,2,45.14,37.17,16.99,9.56
2019-01-03-01,38.17,4.0,17,2,45.67,38.23,14.87,7.97
2019-01-03-02,38.44,3.5,17,4,46.73,33.98,13.81,7.97
2019-01-03-03,38.44,2.5,12,3,45.67,24.43,12.74,7.97
2019-01-03-04,38.94,3.0,11,3,44.07,25.49,12.74,7.97
2019-01-03-05,40.44,4.5,10,7,41.42,28.14,11.68,14.34
2019-01-03-06,45.72,9.0,9,10,37.7,31.33,12.21,11.15
2019-01-03-07,49.33,13.5,12,13,35.58,33.98,12.21,12.74
2019-01-03-08,50.78,19.5,13,18,35.05,36.11,14.87,20.18
2019-01-03-09,47.11,11.0,14,15,34.52,36.11,16.99,16.99
2019-01-03-10,46.82,10.5,19,2,36.11,32.39,16.99,19.65
2019-01-03-11,41.67,9.5,16,1,37.17,26.02,14.34,21.24
2019-01-03-12,35.76,6.5,14,3,39.29,21.77,12.21,14.87
2019-01-03-13,32.41,6.0,13,2,39.83,20.18,13.28,11.68
