,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-01-00,25.83,15.5,-999,-999,55.0,16.0,19.0,6.0
2019-01-01-01,27.72,14.0,-3,4,53.0,16.0,19.0,5.0
2019-01-01-02,29.67,17.0,-1,2,49.0,15.0,17.0,6.0
2019-01-01-03,28.94,15.0,3,3,54.0,16.0,17.0,5.0
2019-01-01-04,29.78,12.5,-1,3,54.0,15.0,15.0,4.0
2019-01-01-05,29.89,12.0,5,2,51.0,15.0,15.0,4.0
2019-01-01-06,28.56,12.5,-2,4,50.0,14.0,13.0,6.0
2019-01-01-07,28.12,13.5,1,3,49.0,16.0,12.0,5.0
2019-01-01-08,29.38,15.5,1,3,51.0,18.0,13.0,5.0
2019-01-01-09,28.89,15.0,0,6,54.0,23.0,14.0,6.0
2019-01-01-10,27.06,15.5,2,5,51.0,28.0,14.0,6.0
2019-01-01-11,25.78,13.0,5,2,39.0,28.0,14.0,7.0
2019-01-01-12,27.06,12.0,3,4,29.0,30.0,13.0,6.0
2019-01-01-13,28.0,15.5,4,2,23.0,33.0,11.0,11.0
2019-01-01-14,26.28,13.5,19,0,22.0,36.0,11.0,10.0
2019-01-01-15,22.72,16.0,10,2,19.0,36.0,10.0,10.0
2019-01-01-16,22.17,17.0,7,2,19.0,33.0,11.0,11.0
2019-01-01-17,21.83,16.5,0,3,16.0,31.0,12.0,13.0
2019-01-01-18,19.28,17.0,-3,4,19.0,26.0,12.0,14.0
2019-01-01-19,18.61,18.5,1,4,20.0,32.0,12.0,15.0
2019-01-01-20,17.22,21.0,6,3,20.0,37.0,12.0,16.0
2019-01-01-21,15.0,19.0,6,2,19.0,42.0,12.0,13.0
2019-01-01-22,14.61,25.0,7,5,17.0,47.0,15.0,11.0
2019-01-01-23,15.0,27.5,9,1,19.0,49.0,16.0,9.0
2019-01-02-00,16.06,28.0,6,2,19.0,44.0,16.0,8.0
2019-01-02-01,16.17,27.5,7,2,23.0,39.0,20.0,7.0
2019-01-02-02,16.17,28.0,4,2,22.0,43.0,20.0,8.0
2019-01-02-03,16.78,28.5,4,4,20.0,47.0,20.0,9.0
2019-01-02-04,16.22,27.5,0,3,18.0,53.0,23.0,8.0
2019-01-02-05,16.83,26.5,0,1,15.0,58.0,23.0,8.0
2019-01-02-06,19.89,23.0,1,0,12.0,63.0,23.0,8.0
2019-01-02-07,20.94,24.0,1,4,12.0,69.0,25.0,8.0
2019-01-02-08,26.29,26.0,-6,3,12.0,73.0,25.0,9.0
2019-01-02-09,24.22,30.0,6,5,17.0,77.0,26.0,10.0
2019-01-02-10,24.89,31.0,4,5,19.0,82.0,24.0,9.0
2019-01-02-11,22.78,24.0,8,3,22.0,79.0,22.0,10.0
2019-01-02-12,21.59,23.5,10,2,26.0,76.0,19.0,11.0
2019-01-02-13,20.29,24.0,10,2,32.0,76.0,16.0,11.0
2019-01-02-14,20.24,22.0,3,4,38.0,71.0,16.0,11.0
2019-01-02-15,20.31,20.0,18,3,44.0,68.0,21.0,11.0
2019-01-02-16,20.93,16.0,8,3,50.0,66.0,20.0,12.0
2019-01-02-17,22.39,16.5,8,3,57.0,63.0,20.0,12.0
2019-01-02-18,25.33,16.0,-2,1,66.0,60.0,20.0,13.0
2019-01-02-19,26.67,19.5,-5,1,84.0,63.0,22.0,14.0
2019-01-02-20,31.28,18.5,-2,3,112.0,65.0,19.0,12.0
2019-01-02-21,31.44,15.5,3,3,129.0,63.0,21.0,11.0
2019-01-02-22,29.28,13.5,16,3,149.0,65.0,21.0,10.0
2019-01-02-23,23.65,14.5,5,1,146.0,65.0,19.0,9.0
2019-01-03-00,19.44,15.5,7,4,145.0,66.0,15.0,9.0
2019-01-03-01,19.39,14.0,18,5,150.0,69.0,13.0,10.0
2019-01-03-02,20.44,14.5,7,3,163.0,69.0,14.0,9.0
2019-01-03-03,20.33,6.0,4,4,145.0,61.0,13.0,10.0
2019-01-03-04,19.72,11.5,2,2,118.0,56.0,12.0,8.0
2019-01-03-05,19.83,10.5,2,1,112.0,57.0,10.0,9.0
2019-01-03-06,20.56,11.5,4,3,89.0,57.0,12.0,11.0
2019-01-03-07,23.33,10.5,-1,1,69.0,58.0,12.0,9.0
2019-01-03-08,25.72,11.5,3,3,68.0,59.0,14.0,9.0
2019-01-03-09,26.72,14.5,2,7,66.0,58.0,18.0,9.0
2019-01-03-10,29.82,16.5,6,7,79.0,54.0,16.0,10.0
2019-01-03-11,30.06,17.0,7,7,92.0,48.0,15.0,12.0
2019-01-03-12,23.29,15.5,7,4,105.0,43.0,12.0,13.0
2019-01-03-13,17.76,16.0,10,4,118.0,40.0,10.0,15.0
2019-01-03-14,18.72,12.5,29,6,134.0,39.0,11.0,15.0
2019-01-03-15,18.5,12.0,17,6,127.0,38.0,15.0,15.0
2019-01-03-16,18.56,12.0,13,6,148.0,37.0,13.0,15.0
2019-01-03-17,20.82,14.5,1,4,144.0,39.0,12.0,15.0
2019-01-03-18,22.62,17.5,-2,3,153.0,40.0,13.0,17.0
2019-01-03-19,24.53,24.0,-5,6,153.0,41.0,14.0,18.0
2019-01-03-20,26.39,26.5,1,7,155.0,41.0,17.0,17.0
2019-01-03-21,24.12,16.0,10,6,145.0,39.0,17.0,14.0
2019-01-03-22,26.53,16.0,10,6,151.0,34.0,13.0,12.0
2019-01-03-23,28.56,11.0,14,4,145.0,25.0,12.0,12.0
2019-01-04-00,31.28,14.5,9,5,150.0,21.0,11.0,11.0
2019-01-04-01,32.83,15.0,9,6,109.0,15.0,16.0,12.0
2019-01-04-02,33.39,15.5,13,6,65.0,15.0,17.0,9.0
2019-01-04-03,33.67,13.0,7,7,40.0,11.0,17.0,7.0
2019-01-04-04,34.22,17.0,4,4,25.0,10.0,16.0,11.0
2019-01-04-05,33.33,16.5,2,6,16.0,9.0,13.0,11.0
2019-01-04-06,35.11,20.0,-3,4,11.0,9.0,11.0,14.0
2019-01-04-07,34.11,16.0,2,6,6.0,9.0,12.0,21.0
2019-01-04-08,36.17,21.0,0,7,6.0,11.0,14.0,24.0
2019-01-04-09,40.06,27.0,1,10,9.0,14.0,16.0,28.0
2019-01-04-10,46.06,23.0,-3,7,10.0,16.0,16.0,36.0
2019-01-04-11,46.67,25.5,5,6,10.0,20.0,11.0,41.0
2019-01-04-12,50.22,28.5,10,5,7.0,19.0,11.0,35.0
2019-01-04-13,47.83,21.0,7,5,7.0,19.0,10.0,25.0
2019-01-04-14,54.71,18.0,7,5,9.0,15.0,11.0,22.0
2019-01-04-15,52.18,21.0,8,6,7.0,14.0,12.0,22.0
2019-01-04-16,46.59,22.0,6,6,7.0,14.0,13.0,32.0
2019-01-04-17,40.06,22.5,-3,5,9.0,17.0,15.0,31.0
2019-01-04-18,39.94,20.0,2,5,10.0,21.0,21.0,25.0
2019-01-04-19,41.11,21.5,-1,8,13.0,26.0,26.0,27.0
2019-01-04-20,42.0,24.0,0,6,16.0,25.0,30.0,24.0
2019-01-04-21,46.83,16.5,-2,3,17.0,28.0,34.0,22.0
2019-01-04-22,52.39,18.0,2,2,15.0,31.0,35.0,22.0
2019-01-04-23,54.28,17.5,3,4,14.0,37.0,36.0,21.0
2019-01-05-00,63.0,11.5,15,2,11.0,37.0,35.0,16.0
2019-01-05-01,81.0,15.5,8,3,14.0,34.0,33.0,17.0
2019-01-05-02,103.28,21.0,-3,4,12.0,35.0,37.0,18.0
2019-01-05-03,96.44,20.0,5,4,10.0,31.0,39.0,20.0
2019-01-05-04,74.56,22.5,5,4,10.0,33.0,36.0,23.0
2019-01-05-05,59.67,28.0,2,4,9.0,33.0,41.0,27.0
2019-01-05-06,50.33,32.5,1,3,10.0,25.0,39.0,30.0
2019-01-05-07,42.67,35.0,1,6,9.0,18.0,32.0,36.0
2019-01-05-08,39.28,55.0,1,3,9.0,12.0,27.0,38.0
2019-01-05-09,35.06,73.0,-3,4,8.0,12.0,23.0,45.0
2019-01-05-10,34.06,86.0,0,7,9.0,11.0,18.0,37.0
2019-01-05-11,31.33,87.0,1,7,8.0,11.0,18.0,35.0
2019-01-05-12,23.83,84.0,4,3,10.0,11.0,15.0,44.0
2019-01-05-13,18.72,80.0,6,4,11.0,17.0,14.0,49.0
2019-01-05-14,14.76,72.5,14,7,11.0,21.0,11.0,50.0
2019-01-05-15,12.0,59.5,6,6,11.0,22.0,8.0,47.0
2019-01-05-16,12.5,43.0,3,6,14.0,26.0,6.0,43.0
2019-01-05-17,11.41,31.5,0,4,16.0,24.0,6.0,50.0
2019-01-05-18,12.33,29.0,-3,6,20.0,27.0,6.0,49.0
2019-01-05-19,14.44,29.5,-4,7,24.0,39.0,6.0,41.0
2019-01-05-20,15.0,33.0,-2,11,25.0,58.0,7.0,35.0
2019-01-05-21,16.18,22.5,3,9,25.0,76.0,8.0,34.0
2019-01-05-22,18.39,18.0,1,6,26.0,83.0,8.0,28.0
2019-01-05-23,21.18,14.0,0,8,35.0,71.0,8.0,26.0
2019-01-06-00,21.28,11.5,2,9,56.0,53.0,10.0,22.0
2019-01-06-01,21.5,11.0,3,8,47.0,49.0,12.0,16.0
2019-01-06-02,21.33,11.5,2,7,55.0,43.0,12.0,17.0
2019-01-06-03,20.67,10.5,7,9,63.0,38.0,11.0,18.0
2019-01-06-04,21.56,11.5,1,6,45.0,33.0,11.0,20.0
2019-01-06-05,21.72,12.5,1,6,40.0,23.0,12.0,17.0
2019-01-06-06,23.56,12.0,2,7,36.0,15.0,12.0,24.0
2019-01-06-07,24.33,12.0,3,9,33.0,12.0,13.0,27.0
2019-01-06-08,27.17,13.5,4,7,30.0,13.0,13.0,27.0
2019-01-06-09,28.94,14.5,1,8,34.0,16.0,16.0,27.0
2019-01-06-10,31.61,12.0,6,5,35.0,17.0,15.0,26.0
2019-01-06-11,32.28,14.0,7,3,41.0,16.0,15.0,22.0
2019-01-06-12,33.11,12.0,7,6,50.0,16.0,16.0,18.0
2019-01-06-13,31.39,14.0,9,3,64.0,20.0,16.0,18.0
2019-01-06-14,29.22,12.0,23,3,70.0,20.0,11.0,22.0
2019-01-06-15,25.39,14.5,15,3,80.0,23.0,11.0,21.0
2019-01-06-16,19.61,14.5,10,4,82.0,23.0,10.0,21.0
2019-01-06-17,15.61,14.0,-2,4,86.0,23.0,10.0,18.0
2019-01-06-18,16.0,16.0,-5,2,85.0,26.0,11.0,18.0
2019-01-06-19,16.72,14.5,-1,2,92.0,27.0,13.0,20.0
2019-01-06-20,17.06,16.0,0,3,95.0,29.0,13.0,18.0
2019-01-06-21,18.18,16.0,2,2,100.0,33.0,12.0,17.0
2019-01-06-22,20.89,14.5,4,1,93.0,32.0,12.0,14.0
2019-01-06-23,22.17,12.5,4,3,89.0,30.0,12.0,13.0
2019-01-07-00,23.33,15.0,-1,1,87.0,31.0,12.0,13.0
2019-01-07-01,22.94,13.5,9,3,87.0,27.0,14.0,11.0
2019-01-07-02,23.83,13.0,5,1,86.0,24.0,16.0,11.0
2019-01-07-03,23.22,11.5,1,2,86.0,24.0,21.0,11.0
2019-01-07-04,25.5,13.0,6,1,90.0,23.0,23.0,12.0
2019-01-07-05,24.67,11.0,7,3,79.0,23.0,21.0,10.0
2019-01-07-06,27.44,12.0,7,4,65.0,24.0,18.0,10.0
2019-01-07-07,29.61,13.0,0,6,50.0,25.0,16.0,10.0
2019-01-07-08,33.61,17.0,9,1,40.0,28.0,16.0,10.0
2019-01-07-09,37.56,18.5,3,3,31.0,30.0,17.0,9.0
2019-01-07-10,42.28,15.5,6,5,21.0,28.0,20.0,10.0
2019-01-07-11,36.44,14.5,10,4,15.0,30.0,16.0,10.0
2019-01-07-12,39.11,12.5,6,3,15.0,30.0,12.0,10.0
2019-01-07-13,40.56,14.5,16,3,11.0,29.0,12.0,11.0
2019-01-07-14,47.71,18.5,11,2,10.0,29.0,13.0,18.0
2019-01-07-15,48.17,21.5,17,1,9.0,29.0,16.0,25.0
2019-01-07-16,45.22,22.0,9,3,15.0,32.0,15.0,26.0
2019-01-07-17,39.67,18.5,12,1,11.0,35.0,14.0,24.0
2019-01-07-18,43.22,29.0,9,3,12.0,31.0,16.0,24.0
2019-01-07-19,47.28,48.0,13,4,14.0,31.0,23.0,26.0
2019-01-07-20,52.11,49.0,13,3,19.0,29.0,22.0,27.0
2019-01-07-21,50.35,45.5,17,5,16.0,24.0,24.0,30.0
2019-01-07-22,50.44,42.5,9,2,13.0,22.0,27.0,31.0
2019-01-07-23,43.89,38.0,7,2,10.0,23.0,29.0,32.0
2019-01-08-00,40.06,35.0,5,3,11.0,23.0,30.0,32.0
2019-01-08-01,32.72,37.0,7,3,9.0,23.0,30.0,34.0
2019-01-08-02,23.33,37.0,11,3,7.0,24.0,30.0,38.0
2019-01-08-03,16.33,34.0,10,4,6.0,22.0,32.0,38.0
2019-01-08-04,16.5,35.5,11,2,6.0,24.0,30.0,40.0
2019-01-08-05,16.61,31.0,13,6,7.0,25.0,30.0,42.0
2019-01-08-06,18.39,31.5,12,5,6.0,27.0,34.0,45.0
2019-01-08-07,20.67,31.0,17,6,6.0,29.0,35.0,52.0
2019-01-08-08,23.78,30.0,12,7,6.0,33.0,32.0,50.0
2019-01-08-09,22.94,31.5,13,8,7.0,36.0,32.0,41.0
2019-01-08-10,24.94,36.5,15,8,7.0,37.0,26.0,34.0
2019-01-08-11,23.0,40.5,-999,8,7.0,45.0,19.0,31.0
