,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-01-00,4.22,1.0,-999,-999,5.73,2.29,1.91,1.15
2019-01-01-01,4.11,1.0,0,-999,4.97,2.29,1.91,1.53
2019-01-01-02,4.17,1.0,1,1,3.82,2.29,1.91,1.15
2019-01-01-03,4.06,1.0,1,1,3.44,2.29,1.91,1.15
2019-01-01-04,3.83,1.0,1,2,3.44,2.29,1.91,1.15
2019-01-01-05,4.11,1.0,1,2,3.06,2.29,1.91,1.15
2019-01-01-06,4.11,1.0,0,1,2.67,2.29,1.53,1.15
2019-01-01-07,4.11,1.0,1,1,3.06,2.29,1.53,1.15
2019-01-01-08,4.11,1.5,1,1,3.82,2.29,1.53,1.53
2019-01-01-09,4.5,1.0,1,1,5.73,2.29,1.53,1.53
2019-01-01-10,4.61,1.0,1,1,6.11,2.29,1.91,1.15
2019-01-01-11,4.83,1.0,1,1,4.97,2.67,1.91,1.15
2019-01-01-12,4.61,1.0,1,1,3.82,2.67,1.91,1.15
2019-01-01-13,4.28,1.0,1,1,3.06,2.67,1.91,1.53
2019-01-01-14,4.22,1.0,1,0,3.06,3.06,1.91,1.91
2019-01-01-15,4.11,1.0,1,1,2.67,3.06,1.91,1.91
2019-01-01-16,4.06,1.5,1,1,2.29,2.29,1.91,1.91
2019-01-01-17,4.06,1.0,1,1,2.29,2.29,1.91,1.91
2019-01-01-18,4.17,1.5,1,2,2.67,2.29,1.91,1.53
2019-01-01-19,4.22,2.0,2,1,2.67,2.29,1.91,1.91
2019-01-01-20,4.28,2.0,1,1,2.67,2.67,1.91,2.67
2019-01-01-21,3.94,2.0,1,0,2.67,3.06,1.53,2.29
2019-01-01-22,4.22,3.0,1,1,3.06,3.44,1.53,1.15
2019-01-01-23,4.11,2.0,1,0,3.44,3.06,1.91,1.53
2019-01-02-00,4.44,2.0,1,1,3.06,3.06,1.91,1.15
2019-01-02-01,4.22,2.0,1,0,3.06,3.06,1.53,1.53
2019-01-02-02,4.28,2.0,1,1,3.06,3.44,1.53,1.15
2019-01-02-03,4.17,2.0,1,0,2.67,3.82,1.53,1.15
2019-01-02-04,4.11,2.0,1,0,2.29,4.58,1.91,1.15
2019-01-02-05,4.11,2.0,1,0,2.29,5.73,1.91,1.15
2019-01-02-06,4.28,2.0,1,0,1.53,6.11,1.53,1.15
2019-01-02-07,4.72,2.0,1,1,1.53,6.11,1.53,1.53
2019-01-02-08,4.94,2.0,1,1,1.53,6.49,1.53,1.15
2019-01-02-09,5.22,2.0,1,0,2.29,6.49,1.53,1.15
2019-01-02-10,5.17,2.0,1,0,2.67,6.11,1.53,1.15
2019-01-02-11,5.28,2.0,1,0,3.82,5.73,1.53,1.53
2019-01-02-12,4.76,2.0,1,0,4.2,5.35,1.53,1.53
2019-01-02-13,4.44,2.0,1,0,4.58,5.35,1.53,1.53
2019-01-02-14,4.39,2.0,1,0,4.2,4.97,1.53,1.53
2019-01-02-15,4.47,2.0,1,1,4.2,4.58,1.53,1.15
2019-01-02-16,4.47,1.5,1,1,4.58,4.2,1.53,1.53
2019-01-02-17,4.56,1.5,1,1,4.97,4.2,1.53,1.53
2019-01-02-18,4.67,1.5,1,1,4.97,4.2,1.53,1.53
2019-01-02-19,5.0,2.0,1,0,5.73,4.2,1.91,1.53
2019-01-02-20,5.56,2.0,1,0,7.26,4.2,1.53,1.15
2019-01-02-21,5.44,1.5,1,0,7.64,4.2,1.53,1.15
2019-01-02-22,4.83,1.5,1,1,8.4,4.2,1.53,1.15
2019-01-02-23,4.28,1.0,1,0,8.79,4.2,1.53,1.53
2019-01-03-00,4.22,1.0,1,0,9.93,3.82,1.53,1.15
2019-01-03-01,4.33,1.5,1,0,20.25,3.82,1.53,1.15
2019-01-03-02,4.11,1.5,1,1,13.75,3.44,1.53,1.15
2019-01-03-03,4.28,1.0,1,0,9.17,3.44,1.53,1.15
2019-01-03-04,4.33,1.0,1,0,6.88,3.44,1.53,1.53
2019-01-03-05,4.44,1.0,1,1,5.73,3.44,1.53,1.53
2019-01-03-06,4.61,1.0,1,0,5.35,3.44,1.53,1.15
2019-01-03-07,4.67,1.0,1,0,5.73,3.82,1.53,1.53
2019-01-03-08,4.83,2.0,1,0,4.58,3.82,1.53,1.53
2019-01-03-09,5.33,1.5,1,0,4.97,3.82,1.53,1.53
2019-01-03-10,5.24,4.0,1,0,6.49,3.82,1.53,1.53
2019-01-03-11,5.22,2.5,1,0,7.26,3.82,1.91,1.53
2019-01-03-12,4.71,2.0,1,1,8.02,3.44,1.53,1.53
2019-01-03-13,4.41,1.5,2,0,8.79,3.44,1.53,1.15
2019-01-03-14,4.61,2.0,2,1,9.93,3.06,1.53,1.91
2019-01-03-15,4.29,2.0,2,1,10.31,3.44,1.53,1.53
2019-01-03-16,4.5,2.0,2,1,9.93,3.06,1.53,1.53
2019-01-03-17,5.0,2.0,1,1,8.79,3.06,1.53,1.15
2019-01-03-18,5.76,2.0,1,1,8.02,3.06,1.53,1.91
2019-01-03-19,6.61,2.5,1,1,8.02,2.67,1.53,1.91
2019-01-03-20,6.39,2.0,1,0,6.88,2.67,1.53,1.91
2019-01-03-21,5.72,1.5,1,0,6.49,2.67,1.53,1.53
2019-01-03-22,5.78,1.0,1,0,6.49,2.67,1.53,1.53
2019-01-03-23,6.0,1.0,1,1,6.88,3.06,1.53,1.53
2019-01-04-00,5.78,1.0,1,0,7.64,3.06,1.53,1.15
2019-01-04-01,5.67,1.0,-999,0,5.73,2.67,1.53,1.53
2019-01-04-02,5.17,1.0,1,0,3.44,2.67,1.53,1.15
2019-01-04-03,5.61,1.0,1,0,2.67,2.29,1.53,1.15
2019-01-04-04,5.56,1.0,1,0,1.91,2.29,1.53,1.53
2019-01-04-05,5.39,1.0,1,1,1.53,2.29,1.53,1.15
2019-01-04-06,5.5,1.5,1,1,1.53,2.29,1.53,2.29
2019-01-04-07,5.67,2.0,1,0,1.15,2.29,1.53,3.06
2019-01-04-08,5.83,2.5,1,1,1.15,2.29,1.53,2.29
2019-01-04-09,6.17,2.5,1,1,1.53,2.29,1.53,2.67
2019-01-04-10,6.0,2.5,1,1,1.15,2.29,1.53,3.82
2019-01-04-11,6.11,3.5,1,1,1.15,2.29,1.53,3.44
2019-01-04-12,6.33,2.0,1,1,1.15,1.91,1.53,3.44
2019-01-04-13,7.06,2.5,1,1,1.15,1.91,1.91,2.67
2019-01-04-14,7.06,2.0,1,1,1.15,1.91,1.91,1.91
2019-01-04-15,6.53,2.0,1,0,1.15,2.29,1.91,1.91
2019-01-04-16,5.94,2.0,1,0,1.15,2.29,1.91,2.67
2019-01-04-17,5.83,2.0,1,0,1.53,2.29,1.91,2.67
2019-01-04-18,6.0,2.0,1,1,1.53,2.29,1.91,2.29
2019-01-04-19,5.83,2.0,1,0,2.29,2.29,1.91,2.29
2019-01-04-20,6.11,1.0,1,0,2.29,2.29,1.91,2.29
2019-01-04-21,6.0,1.0,1,0,2.67,2.67,2.29,2.29
2019-01-04-22,5.83,1.0,1,0,2.29,2.67,2.67,2.29
2019-01-04-23,5.72,1.0,1,0,1.91,2.67,2.29,2.29
2019-01-05-00,5.56,1.0,1,0,2.29,2.67,2.29,1.91
2019-01-05-01,5.11,1.0,1,0,11.08,2.67,2.29,1.91
2019-01-05-02,5.28,1.0,1,1,14.9,2.29,2.29,3.06
2019-01-05-03,5.5,1.0,1,1,3.06,2.29,1.91,5.35
2019-01-05-04,5.33,1.5,1,0,1.91,2.29,2.29,5.73
2019-01-05-05,5.61,2.0,1,0,1.91,2.29,1.91,5.35
2019-01-05-06,5.61,2.0,1,1,2.29,2.29,1.91,4.58
2019-01-05-07,5.56,2.5,1,1,1.91,2.29,1.91,4.2
2019-01-05-08,5.33,3.0,1,0,1.91,2.29,1.91,3.06
