,首爾,濟州,東京,沖繩,北京,上海,福州,廈門
2019-01-01-00,3.28,41.0,-999,-999,2.04,24.43,11.2,24.94
2019-01-01-01,2.39,41.5,36,39,2.04,31.05,12.72,25.45
2019-01-01-02,2.67,42.5,36,37,2.04,32.07,15.78,25.96
2019-01-01-03,4.33,42.5,36,35,2.04,32.07,14.25,24.94
2019-01-01-04,4.61,42.5,36,36,1.53,33.59,18.32,26.47
2019-01-01-05,4.56,41.5,36,38,3.56,33.59,18.83,25.96
2019-01-01-06,5.94,40.5,35,40,3.05,32.58,19.85,25.45
2019-01-01-07,5.22,37.5,35,40,2.54,31.05,17.82,24.94
2019-01-01-08,4.56,36.5,34,40,2.04,29.01,13.23,23.41
2019-01-01-09,9.89,36.5,34,38,3.05,28.5,12.22,21.38
2019-01-01-10,17.5,37.0,33,41,6.62,29.52,13.74,24.43
2019-01-01-11,21.94,37.0,33,42,12.22,30.54,14.76,26.98
2019-01-01-12,23.0,39.0,35,42,18.32,30.54,18.32,29.52
2019-01-01-13,26.39,38.5,38,41,22.9,31.56,25.45,31.56
2019-01-01-14,29.94,39.5,38,42,25.45,31.05,26.98,34.1
2019-01-01-15,30.0,40.0,37,42,26.47,33.08,30.03,35.63
2019-01-01-16,28.28,42.0,36,39,26.47,37.16,31.05,34.1
2019-01-01-17,24.22,41.0,27,40,23.92,37.16,30.03,32.07
2019-01-01-18,19.39,41.0,23,38,17.82,36.14,28.5,29.52
2019-01-01-19,18.17,42.0,14,39,15.78,36.14,29.01,25.96
2019-01-01-20,19.72,41.5,14,39,15.78,33.08,29.52,23.41
2019-01-01-21,22.56,42.0,11,40,16.29,29.52,31.56,24.43
2019-01-01-22,22.11,42.0,6,40,15.27,24.43,30.03,25.96
2019-01-01-23,19.83,43.5,3,40,12.72,24.43,28.0,24.43
2019-01-02-00,18.06,44.0,10,40,11.2,28.5,27.49,26.98
2019-01-02-01,17.67,42.5,21,41,12.22,29.52,30.03,26.98
2019-01-02-02,16.11,42.0,21,39,10.69,29.52,30.54,28.5
2019-01-02-03,12.78,43.0,22,36,10.69,29.01,30.54,28.0
2019-01-02-04,7.56,43.0,20,32,11.71,28.5,29.52,28.0
2019-01-02-05,4.56,41.5,19,35,11.71,28.0,27.49,28.0
2019-01-02-06,2.94,38.0,20,39,13.74,24.43,27.49,26.98
2019-01-02-07,2.44,33.0,20,39,13.23,17.31,25.45,25.45
2019-01-02-08,4.72,30.5,20,34,10.18,12.72,24.94,21.38
2019-01-02-09,9.0,28.0,21,34,9.16,14.76,23.41,22.4
2019-01-02-10,13.94,29.0,24,39,12.22,20.36,19.85,22.4
2019-01-02-11,17.17,29.0,24,40,13.74,24.43,21.38,24.94
2019-01-02-12,18.82,33.5,26,40,16.8,28.5,23.41,26.98
2019-01-02-13,21.69,32.0,29,42,17.82,32.58,25.96,27.49
2019-01-02-14,22.33,33.5,31,42,16.29,34.61,24.94,28.5
2019-01-02-15,22.12,35.0,32,42,14.76,35.63,21.38,29.01
2019-01-02-16,19.18,35.0,29,41,10.18,36.14,21.38,30.54
2019-01-02-17,12.5,37.0,16,39,6.62,36.65,19.34,29.01
2019-01-02-18,8.39,33.0,10,37,3.05,34.61,16.8,25.96
2019-01-02-19,4.89,35.5,10,37,2.04,32.58,14.25,25.45
2019-01-02-20,2.78,36.5,9,35,2.54,33.08,16.8,24.94
2019-01-02-21,2.72,35.5,2,35,2.54,30.03,13.23,23.41
2019-01-02-22,4.61,36.5,7,34,3.05,24.43,13.23,23.41
2019-01-02-23,9.67,40.0,17,36,3.05,20.36,14.25,24.43
2019-01-03-00,8.78,41.0,15,36,3.05,15.27,16.8,23.92
2019-01-03-01,6.22,42.5,12,-999,3.05,12.22,18.32,24.43
2019-01-03-02,6.06,42.0,12,32,3.05,15.78,19.34,24.94
2019-01-03-03,5.72,43.0,13,31,2.54,23.41,18.83,24.94
2019-01-03-04,5.17,43.5,14,31,4.58,21.38,19.34,24.43
2019-01-03-05,4.44,41.5,14,24,3.05,17.82,18.83,19.34
2019-01-03-06,2.44,38.5,15,23,2.54,13.23,17.31,19.85
2019-01-03-07,2.11,34.5,15,18,2.54,10.69,19.85,21.38
2019-01-03-08,2.89,30.0,14,14,2.04,9.67,18.32,14.76
2019-01-03-09,6.06,35.5,17,20,2.04,11.2,15.78,17.31
2019-01-03-10,7.94,36.5,14,38,2.54,14.76,17.82,15.78
2019-01-03-11,11.11,38.0,18,41,4.07,22.4,21.38,15.27
2019-01-03-12,15.12,42.0,22,41,5.09,28.0,22.4,20.87
2019-01-03-13,17.76,44.0,27,44,6.11,30.03,23.92,23.92
2019-01-03-14,16.33,44.5,32,44,7.64,31.05,22.4,27.49
2019-01-03-15,14.82,43.0,27,42,7.13,31.05,20.87,22.9
2019-01-03-16,10.06,40.0,21,42,5.6,29.01,22.4,24.43
2019-01-03-17,4.12,33.0,18,42,4.07,26.47,22.4,21.89
2019-01-03-18,2.35,10.5,15,37,2.54,22.9,22.4,19.85
2019-01-03-19,2.17,9.5,11,34,2.04,16.8,22.4,19.34
2019-01-03-20,2.39,19.0,6,31,2.54,16.8,21.89,20.36
2019-01-03-21,2.39,23.5,1,31,2.54,15.78,20.36,22.4
2019-01-03-22,2.17,26.0,1,34,2.54,13.23,21.38,20.87
2019-01-03-23,2.06,28.5,1,32,4.07,11.71,20.36,22.4
2019-01-04-00,2.0,28.5,2,31,2.54,13.74,18.83,23.41
2019-01-04-01,2.06,29.0,-999,31,4.07,18.83,13.74,24.94
2019-01-04-02,2.06,28.0,17,25,13.23,22.9,11.71,24.94
2019-01-04-03,1.94,28.0,18,14,18.32,29.01,12.72,18.32
2019-01-04-04,2.06,30.5,20,14,22.9,30.54,15.27,15.27
2019-01-04-05,2.06,24.0,26,16,24.43,30.03,16.29,11.2
2019-01-04-06,2.0,21.5,28,12,26.98,26.98,15.27,9.67
2019-01-04-07,2.0,14.0,27,12,27.49,20.36,12.72,8.65
2019-01-04-08,2.33,8.5,26,12,27.49,12.72,11.71,6.62
2019-01-04-09,2.83,11.0,27,18,26.47,11.71,11.71,6.11
2019-01-04-10,3.28,16.0,31,35,28.0,10.18,13.74,7.13
2019-01-04-11,3.28,15.5,35,41,30.54,11.2,17.31,8.14
2019-01-04-12,3.72,25.0,36,43,32.07,13.23,19.85,12.72
2019-01-04-13,5.56,29.5,36,43,33.08,15.27,22.4,14.25
2019-01-04-14,8.82,31.5,36,43,34.1,16.29,21.38,20.87
2019-01-04-15,11.0,26.0,37,43,34.1,14.25,20.36,20.87
2019-01-04-16,7.33,23.5,35,43,31.56,10.18,15.78,14.25
2019-01-04-17,4.11,25.0,34,43,28.5,5.09,9.16,11.2
2019-01-04-18,2.5,22.0,28,40,21.89,3.56,5.09,7.64
2019-01-04-19,2.33,13.5,22,38,18.83,3.05,3.56,8.14
2019-01-04-20,2.29,23.0,16,37,17.31,3.05,4.07,10.18
2019-01-04-21,2.17,24.5,14,37,14.25,3.05,3.56,11.2
2019-01-04-22,2.17,26.0,17,39,15.27,3.05,4.58,12.22
2019-01-04-23,2.39,28.5,8,39,19.85,3.05,4.58,11.2
2019-01-05-00,2.94,33.5,26,40,18.32,2.54,4.07,15.78
2019-01-05-01,9.11,38.0,29,40,16.8,3.05,4.58,17.31
2019-01-05-02,17.72,38.5,26,41,17.82,2.54,3.56,15.78
2019-01-05-03,22.39,46.0,25,41,19.85,2.54,5.09,14.76
2019-01-05-04,21.56,47.0,23,41,18.83,3.05,5.09,13.23
2019-01-05-05,17.17,44.0,25,40,18.83,3.05,7.64,12.72
