,MFB,MFE,R
竹東,-0.647,0.647,0.811
新竹,-0.535,0.535,0.83
頭份,-0.064,0.183,0.794
苗栗,-0.293,0.308,0.668
三義,-0.114,0.232,0.547
豐原,-0.8,0.8,0.694
沙鹿,-0.34,0.344,0.854
大里,-0.326,0.334,0.794
忠明,-0.297,0.299,0.884
西屯,-0.229,0.233,0.881
彰化,-0.235,0.261,0.841
線西,-0.273,0.281,0.808
二林,-0.33,0.33,0.784
南投,-0.336,0.336,0.788
斗六,-0.537,0.541,0.558
崙背,-0.523,0.523,0.489
新港,-0.66,0.66,0.587
朴子,-0.672,0.672,0.386
台西,0.173,0.257,0.726
嘉義,-0.548,0.548,0.546
竹山,-0.488,0.488,0.474
埔里,-0.923,0.923,0.198
overal,-0.408,0.442,0.74
Criteria,-0.65/0.65,0/0.85,0.45
合格率,81%,95%,90%
合格站數,18,21,20
