,MFB,MFE,R
竹東,-0.236,0.359,0.748
新竹,-0.407,0.511,0.663
頭份,-0.017,0.342,0.687
苗栗,-0.301,0.441,0.7
三義,0.067,0.315,0.843
豐原,-0.011,0.4,0.639
沙鹿,-0.047,0.331,0.666
大里,0.346,0.411,0.687
忠明,0.054,0.342,0.668
西屯,-0.012,0.332,0.684
彰化,-0.109,0.329,0.652
線西,-0.203,0.363,0.663
二林,-0.193,0.352,0.641
南投,0.001,0.314,0.711
斗六,-0.238,0.343,0.672
崙背,-0.477,0.535,0.629
新港,-0.358,0.418,0.636
朴子,-0.331,0.394,0.581
台西,-0.408,0.486,0.652
嘉義,-0.271,0.363,0.666
竹山,-0.083,0.442,0.212
埔里,-0.11,0.383,0.516
overal,-0.152,0.387,0.61
Criteria,-0.35/0.35,0/0.55,0.5
合格率,81%,100%,95%
合格站數,18,22,21
