,MFB,MFE,R
竹東,-1.002,1.002,0.567
新竹,-0.514,0.532,0.523
頭份,0.169,0.28,0.79
苗栗,-0.282,0.302,0.552
三義,-0.783,0.819,0.329
豐原,-0.624,0.634,0.32
沙鹿,-0.392,0.473,0.418
大里,-0.595,0.595,0.662
忠明,-0.35,0.434,0.35
西屯,-0.349,0.435,0.217
彰化,-0.493,0.587,0.62
線西,0.07,0.212,0.68
二林,-0.133,0.228,0.509
南投,-0.421,0.511,0.07
斗六,-0.525,0.558,0.599
崙背,-0.093,0.251,0.251
新港,-0.214,0.311,0.304
朴子,-0.229,0.326,0.355
台西,-0.22,0.334,0.629
嘉義,-0.675,0.675,0.621
竹山,-0.711,0.711,0.325
埔里,-0.842,0.87,-0.054
overal,-0.418,0.502,0.619
Criteria,-0.65/0.65,0/0.85,0.45
合格率,77%,90%,50%
合格站數,17,20,11
