,MNB,MNE,R
基隆,0.243,0.555,0.406
汐止,--,--,--
萬里,--,--,--
新店,--,--,--
土城,0.107,0.387,0.573
板橋,0.195,0.463,0.637
新莊,--,--,--
菜寮,--,--,--
林口,--,--,--
淡水,--,--,--
士林,--,--,--
中山,-0.339,0.405,0.482
萬華,--,--,--
古亭,0.125,0.414,0.447
松山,-0.243,0.361,0.625
桃園,-0.057,0.268,0.768
大園,--,--,--
觀音,--,--,--
平鎮,--,--,--
龍潭,--,--,--
湖口,--,--,--
竹東,--,--,--
新竹,-0.086,0.316,0.58
頭份,0.322,0.467,0.605
苗栗,--,--,--
三義,--,--,--
豐原,-0.054,0.429,0.494
陽明,--,--,--
宜蘭,--,--,--
冬山,--,--,--
富貴角,0.669,0.798,0.504
overal,0.08,0.442,0.602
Criteria,-0.4/0.5,0/0.8,0.35
合格率,90%,100%,100%
合格站數,10,11,11
