,MFB,MFE,R
基隆,-0.834,0.834,0.497
汐止,-0.967,0.967,0.727
萬里,-0.464,0.503,0.736
新店,-0.629,0.629,0.723
土城,-0.478,0.478,0.95
板橋,-0.59,0.59,0.877
新莊,-0.619,0.619,0.828
菜寮,-0.494,0.494,0.854
林口,-0.794,0.794,0.887
淡水,-0.65,0.655,0.859
士林,-1.033,1.033,0.754
中山,-0.985,0.985,0.692
萬華,-0.734,0.734,0.765
古亭,-0.705,0.705,0.782
松山,-1.011,1.011,0.847
桃園,-0.572,0.572,0.906
大園,-0.526,0.526,0.81
觀音,-0.516,0.516,0.928
平鎮,-0.517,0.517,0.837
龍潭,-0.687,0.687,0.757
湖口,-0.53,0.53,0.857
竹東,-0.647,0.647,0.811
新竹,-0.535,0.535,0.83
頭份,-0.064,0.183,0.794
苗栗,-0.293,0.308,0.668
三義,-0.114,0.232,0.547
豐原,-0.8,0.8,0.694
陽明,-0.278,0.457,0.609
宜蘭,-0.725,0.737,0.587
冬山,-0.758,0.758,0.589
富貴角,-0.683,0.683,0.849
overal,-0.621,0.636,0.766
Criteria,-0.65/0.65,0/0.85,0.45
合格率,58%,87%,100%
合格站數,18,27,31
