,MB,MNB,MNE,R
朴子,0.077,0.086,0.138,0.646
嘉義,0.06,0.117,0.168,0.518
新營,0.189,0.209,0.228,0.564
善化,0.04,0.068,0.137,0.6
安南,-0.043,-0.001,0.117,0.707
台南,-0.022,0.037,0.12,0.656
美濃,0.199,0.185,0.225,0.606
橋頭,0.145,0.162,0.184,0.61
仁武,-0.034,-0.007,0.164,0.577
大寮,0.025,0.016,0.196,0.461
林園,-0.111,-0.132,0.214,0.59
楠梓,0.024,0.071,0.159,0.614
左營,-0.077,-0.032,0.167,0.619
前金,-0.082,-0.05,0.15,0.61
前鎮,-0.01,-0.011,0.148,0.598
小港,-0.164,-0.198,0.235,0.6
屏東,0.019,0.066,0.155,0.717
潮州,-0.025,0.032,0.174,0.618
恆春,-0.003,-0.011,0.089,0.549
overal,0.01,0.023,0.16,0.585
Criteria,-0.1/0.1,-0.15/0.15,0.0/0.35,0.45
合格率,73%,78%,100%,100%
合格站數,14,15,19,19
