,MFB,MFE,R
朴子,-0.672,0.672,0.386
嘉義,-0.548,0.548,0.546
新營,-0.588,0.588,0.651
善化,-0.613,0.613,0.638
安南,-0.646,0.646,0.674
台南,-0.677,0.677,0.721
美濃,-0.696,0.696,0.633
橋頭,-0.663,0.663,0.689
仁武,-0.441,0.441,0.745
大寮,-0.365,0.384,0.39
林園,0.012,0.203,0.126
楠梓,-0.56,0.56,0.762
左營,-0.486,0.486,0.567
前金,-0.305,0.305,0.494
前鎮,-0.209,0.211,0.787
小港,0.187,0.213,0.411
屏東,-0.566,0.566,0.454
潮州,-0.559,0.559,0.447
恆春,-1.192,1.192,0.082
overal,-0.504,0.538,0.811
Criteria,-0.65/0.65,0/0.85,0.45
合格率,73%,94%,68%
合格站數,14,18,13
