,MFB,MFE,R
朴子,-0.764,0.764,0.564
嘉義,-0.528,0.533,0.671
新營,-0.599,0.603,0.574
善化,-0.697,0.697,0.583
安南,-0.602,0.605,0.533
台南,-0.546,0.561,0.585
美濃,-0.534,0.534,0.426
橋頭,-0.583,0.583,0.58
仁武,-0.451,0.458,0.537
大寮,-0.486,0.489,0.467
林園,-0.539,0.539,0.3
楠梓,-0.485,0.486,0.568
左營,-0.473,0.483,0.531
前金,-0.469,0.482,0.451
前鎮,-0.477,0.489,0.449
小港,-0.322,0.361,0.423
屏東,-0.446,0.461,0.251
潮州,-0.42,0.428,0.254
恆春,-0.241,0.326,0.865
overal,-0.51,0.521,0.6
Criteria,-0.35/0.35,0/0.55,0.5
合格率,10%,68%,57%
合格站數,2,13,11
