,MFB,MFE,R
朴子,-0.229,0.326,0.355
嘉義,-0.675,0.675,0.621
新營,-0.296,0.323,0.469
善化,-0.244,0.359,0.474
安南,-0.253,0.298,0.552
台南,-0.443,0.443,0.717
美濃,-0.191,0.416,0.269
橋頭,-0.437,0.45,0.285
仁武,-0.356,0.375,0.284
大寮,-0.018,0.307,0.384
林園,0.246,0.325,0.163
楠梓,-0.191,0.26,0.407
左營,-0.161,0.24,0.432
前金,-0.078,0.245,0.298
前鎮,0.23,0.293,0.601
小港,1.118,1.118,0.122
屏東,-0.225,0.464,0.133
潮州,-0.142,0.372,0.11
恆春,-1.286,1.289,0.253
overal,-0.189,0.45,0.513
Criteria,-0.65/0.65,0/0.85,0.45
合格率,84%,89%,31%
合格站數,16,17,6
