,MB,MNB,MNE,R
彰化,0.083,0.055,0.138,0.505
線西,0.059,-0.033,0.156,0.417
二林,0.228,0.146,0.166,0.578
南投,0.334,0.343,0.349,0.487
斗六,0.013,0.06,0.168,0.372
崙背,0.063,0.034,0.115,0.684
新港,0.136,0.139,0.165,0.676
朴子,0.077,0.086,0.138,0.646
台西,-0.067,-0.115,0.16,0.528
嘉義,0.06,0.117,0.168,0.518
新營,0.189,0.209,0.228,0.564
善化,0.04,0.068,0.137,0.6
安南,-0.043,-0.001,0.117,0.707
台南,-0.022,0.037,0.12,0.656
美濃,0.199,0.185,0.225,0.606
竹山,0.039,0.116,0.164,0.626
埔里,0.144,0.229,0.26,0.625
麥寮,0.191,0.127,0.158,0.598
overal,0.09,0.074,0.167,0.552
Criteria,-0.1/0.1,-0.15/0.15,0.0/0.35,0.45
合格率,61%,77%,100%,88%
合格站數,11,14,18,16
