,基隆,汐止,萬里,新店,土城,板橋,新莊,菜寮,林口,淡水,士林,中山,萬華,古亭,松山,桃園,大園,觀音,平鎮,龍潭,陽明,富貴角,豐原,沙鹿,大里,忠明,西屯,彰化,線西,二林,南投,竹山,埔里,湖口,竹東,新竹,頭份,苗栗,三義,斗六,崙背,新港,朴子,台西,嘉義,新營,善化,安南,台南,麥寮,美濃,橋頭,仁武,大寮,林園,楠梓,左營,前金,前鎮,小港,屏東,潮州,恆春,宜蘭,冬山,台東,花蓮,關山,金門,馬公,馬祖
2019-01-01-00,2.0,7.0,7.0,5.0,2.0,9.0,4.0,1.0,1.0,7.0,7.0,7.0,8.0,10.0,1.0,1.0,11.0,13.0,11.0,12.0,1,10.0,7,12.0,6.0,3.0,1.0,18,9.0,7.0,13.0,24.0,28.0,8.0,7.0,13.0,2.0,4.0,41.0,20.0,12.0,4.0,6.0,15.0,18.0,8.0,2.0,1.0,17.0,5.0,23.0,15.0,10.0,28.0,30.0,26.0,18.0,25.0,27.0,27.0,26.0,37.0,6.0,5.0,1.0,7.0,1.0,4.0,10.0,6.0,18.0
2019-01-01-01,1.0,3.0,6.0,3.0,8.0,7.0,2.0,1.0,3.0,3.0,1.0,7.0,13.0,4.0,1.0,1.0,7.0,11.0,16.0,8.0,1,5.0,3,12.0,7.0,1.0,1.0,-999,7.0,7.0,14.0,25.0,28.0,9.0,5.0,11.0,2.0,6.0,44.0,16.0,14.0,3.0,9.0,21.0,16.0,11.0,13.0,9.0,20.0,4.0,21.0,20.0,15.0,28.0,32.0,23.0,18.0,25.0,27.0,20.0,29.0,36.0,7.0,7.0,1.0,5.0,1.0,7.0,12.0,4.0,17.0
2019-01-01-02,1.0,1.0,10.0,1.0,7.0,4.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,9.0,4.0,11.0,10.0,8.0,1,3.0,5,3.0,6.0,1.0,8.0,-999,5.0,7.0,10.0,21.0,28.0,12.0,7.0,6.0,3.0,9.0,1.0,15.0,12.0,7.0,9.0,20.0,13.0,9.0,13.0,5.0,14.0,4.0,22.0,20.0,16.0,28.0,30.0,26.0,6.0,23.0,23.0,24.0,42.0,32.0,8.0,5.0,1.0,1.0,1.0,7.0,12.0,8.0,15.0
2019-01-01-03,1.0,2.0,9.0,3.0,4.0,4.0,1.0,4.0,1.0,2.0,1.0,4.0,5.0,6.0,1.0,9.0,2.0,10.0,3.0,1.0,1,5.0,11,3.0,2.0,1.0,8.0,-999,6.0,7.0,8.0,20.0,26.0,10.0,5.0,8.0,3.0,8.0,6.0,12.0,10.0,8.0,4.0,19.0,10.0,9.0,17.0,8.0,15.0,3.0,15.0,18.0,19.0,24.0,29.0,19.0,10.0,23.0,23.0,21.0,44.0,30.0,8.0,3.0,1.0,5.0,1.0,4.0,13.0,8.0,15.0
2019-01-01-04,2.0,2.0,7.0,1.0,1.0,3.0,1.0,4.0,1.0,2.0,4.0,1.0,2.0,5.0,1.0,6.0,5.0,13.0,3.0,3.0,1,7.0,11,2.0,1.0,2.0,7.0,12,6.0,9.0,11.0,13.0,22.0,6.0,3.0,8.0,2.0,6.0,10.0,16.0,11.0,13.0,7.0,9.0,10.0,8.0,13.0,1.0,10.0,6.0,15.0,14.0,23.0,23.0,25.0,23.0,10.0,32.0,19.0,26.0,46.0,26.0,8.0,5.0,1.0,15.0,1.0,7.0,12.0,6.0,16.0
2019-01-01-05,2.0,1.0,7.0,1.0,5.0,3.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,3.0,2.0,1.0,5.0,13.0,6.0,3.0,1,5.0,8,2.0,5.0,2.0,2.0,9,6.0,9.0,11.0,12.0,22.0,6.0,4.0,4.0,1.0,5.0,2.0,18.0,10.0,9.0,7.0,5.0,14.0,11.0,9.0,6.0,15.0,7.0,19.0,17.0,29.0,26.0,24.0,17.0,15.0,22.0,25.0,20.0,35.0,23.0,7.0,5.0,1.0,8.0,1.0,7.0,10.0,8.0,16.0
2019-01-01-06,5.0,1.0,10.0,1.0,9.0,4.0,2.0,1.0,1.0,1.0,6.0,4.0,1.0,3.0,2.0,1.0,7.0,12.0,6.0,2.0,3,8.0,7,2.0,11.0,5.0,3.0,4,7.0,10.0,15.0,17.0,21.0,6.0,6.0,4.0,3.0,4.0,2.0,16.0,9.0,11.0,8.0,5.0,14.0,10.0,10.0,5.0,15.0,5.0,22.0,22.0,32.0,25.0,27.0,18.0,15.0,18.0,21.0,22.0,27.0,20.0,7.0,2.0,1.0,7.0,1.0,6.0,10.0,10.0,14.0
2019-01-01-07,5.0,2.0,9.0,2.0,7.0,4.0,4.0,1.0,1.0,1.0,1.0,7.0,3.0,3.0,3.0,9.0,5.0,8.0,3.0,1.0,3,9.0,7,3.0,11.0,1.0,1.0,3,7.0,13.0,17.0,22.0,21.0,5.0,10.0,8.0,4.0,5.0,5.0,12.0,10.0,9.0,5.0,6.0,15.0,9.0,19.0,8.0,14.0,6.0,17.0,25.0,35.0,24.0,25.0,25.0,20.0,14.0,28.0,26.0,22.0,23.0,8.0,3.0,2.0,5.0,1.0,5.0,10.0,9.0,14.0
2019-01-01-08,4.0,4.0,7.0,2.0,7.0,4.0,4.0,1.0,1.0,2.0,1.0,4.0,3.0,3.0,6.0,9.0,5.0,12.0,9.0,2.0,2,9.0,12,4.0,14.0,3.0,4.0,3,4.0,10.0,13.0,19.0,23.0,1.0,5.0,8.0,4.0,8.0,3.0,22.0,14.0,9.0,7.0,5.0,11.0,6.0,20.0,6.0,13.0,8.0,26.0,24.0,27.0,29.0,35.0,27.0,21.0,26.0,28.0,27.0,26.0,20.0,8.0,4.0,6.0,2.0,3.0,7.0,10.0,4.0,15.0
2019-01-01-09,5.0,2.0,10.0,1.0,7.0,6.0,1.0,3.0,2.0,3.0,1.0,4.0,4.0,3.0,7.0,9.0,9.0,12.0,16.0,1.0,1,7.0,8,2.0,7.0,1.0,8.0,1,4.0,10.0,12.0,19.0,25.0,1.0,2.0,7.0,2.0,10.0,1.0,19.0,13.0,15.0,2.0,7.0,22.0,10.0,20.0,6.0,9.0,10.0,21.0,23.0,28.0,33.0,36.0,27.0,22.0,34.0,34.0,32.0,34.0,27.0,8.0,4.0,1.0,2.0,1.0,11.0,11.0,4.0,13.0
2019-01-01-10,4.0,2.0,11.0,3.0,8.0,6.0,1.0,2.0,1.0,1.0,1.0,7.0,2.0,5.0,8.0,1.0,5.0,12.0,19.0,6.0,1,10.0,8,6.0,7.0,4.0,7.0,1,6.0,5.0,13.0,20.0,21.0,4.0,4.0,9.0,2.0,5.0,2.0,19.0,11.0,13.0,3.0,17.0,12.0,6.0,10.0,5.0,13.0,7.0,22.0,32.0,32.0,37.0,44.0,26.0,27.0,38.0,35.0,41.0,36.0,23.0,7.0,2.0,1.0,5.0,1.0,11.0,11.0,7.0,14.0
2019-01-01-11,2.0,6.0,8.0,4.0,7.0,5.0,2.0,3.0,3.0,1.0,1.0,4.0,1.0,6.0,4.0,1.0,6.0,13.0,10.0,6.0,1,8.0,5,7.0,3.0,11.0,4.0,6,9.0,10.0,12.0,20.0,14.0,4.0,4.0,6.0,3.0,4.0,4.0,15.0,14.0,16.0,3.0,16.0,10.0,11.0,5.0,5.0,12.0,9.0,19.0,31.0,43.0,44.0,45.0,34.0,35.0,35.0,37.0,37.0,31.0,28.0,6.0,1.0,1.0,3.0,1.0,10.0,8.0,7.0,15.0
2019-01-01-12,2.0,5.0,8.0,1.0,8.0,9.0,2.0,4.0,4.0,6.0,1.0,1.0,1.0,6.0,3.0,1.0,1.0,10.0,3.0,6.0,3,6.0,2,5.0,1.0,11.0,1.0,15,11.0,7.0,12.0,25.0,11.0,4.0,3.0,8.0,1.0,10.0,5.0,22.0,19.0,10.0,11.0,9.0,7.0,11.0,8.0,9.0,15.0,10.0,24.0,28.0,42.0,48.0,60.0,40.0,34.0,34.0,37.0,45.0,31.0,30.0,8.0,5.0,1.0,3.0,1.0,11.0,8.0,10.0,16.0
2019-01-01-13,5.0,4.0,11.0,1.0,3.0,2.0,2.0,3.0,3.0,7.0,1.0,1.0,1.0,6.0,7.0,4.0,2.0,10.0,1.0,2.0,-999,6.0,2,12.0,1.0,5.0,5.0,11,13.0,13.0,12.0,28.0,11.0,6.0,4.0,11.0,1.0,11.0,4.0,24.0,22.0,15.0,13.0,12.0,13.0,15.0,13.0,13.0,14.0,10.0,31.0,31.0,40.0,48.0,48.0,39.0,28.0,30.0,46.0,36.0,43.0,39.0,8.0,9.0,1.0,6.0,1.0,9.0,11.0,14.0,15.0
2019-01-01-14,4.0,3.0,10.0,1.0,3.0,1.0,2.0,1.0,3.0,6.0,1.0,1.0,7.0,4.0,7.0,7.0,1.0,14.0,1.0,1.0,1,5.0,2,14.0,1.0,5.0,3.0,10,15.0,8.0,15.0,29.0,8.0,6.0,9.0,12.0,1.0,8.0,7.0,22.0,21.0,14.0,22.0,9.0,17.0,21.0,23.0,19.0,23.0,12.0,20.0,24.0,37.0,48.0,41.0,31.0,26.0,30.0,38.0,44.0,50.0,45.0,7.0,5.0,1.0,9.0,1.0,7.0,12.0,11.0,15.0
2019-01-01-15,4.0,1.0,9.0,1.0,7.0,1.0,1.0,1.0,3.0,3.0,1.0,7.0,11.0,2.0,8.0,6.0,1.0,9.0,1.0,3.0,1,4.0,4,8.0,3.0,5.0,7.0,9,21.0,13.0,14.0,27.0,10.0,9.0,7.0,11.0,1.0,4.0,9.0,12.0,22.0,21.0,13.0,8.0,15.0,18.0,21.0,19.0,26.0,13.0,13.0,26.0,35.0,42.0,38.0,33.0,27.0,31.0,34.0,34.0,44.0,47.0,7.0,5.0,1.0,8.0,1.0,5.0,10.0,6.0,13.0
2019-01-01-16,4.0,4.0,10.0,2.0,3.0,7.0,1.0,1.0,3.0,4.0,1.0,5.0,9.0,4.0,4.0,9.0,4.0,9.0,1.0,1.0,1,5.0,4,9.0,7.0,7.0,8.0,15,20.0,13.0,12.0,27.0,14.0,8.0,4.0,8.0,3.0,3.0,3.0,9.0,21.0,20.0,13.0,7.0,19.0,16.0,21.0,23.0,25.0,8.0,8.0,27.0,31.0,37.0,35.0,39.0,32.0,36.0,34.0,31.0,38.0,51.0,8.0,5.0,5.0,7.0,1.0,3.0,8.0,6.0,14.0
2019-01-01-17,4.0,1.0,7.0,6.0,5.0,10.0,2.0,1.0,1.0,5.0,1.0,8.0,7.0,3.0,10.0,6.0,3.0,11.0,1.0,6.0,1,7.0,17,11.0,8.0,1.0,13.0,14,11.0,12.0,11.0,25.0,16.0,5.0,6.0,11.0,5.0,5.0,2.0,1.0,20.0,24.0,12.0,3.0,24.0,20.0,15.0,17.0,18.0,7.0,21.0,27.0,28.0,36.0,36.0,38.0,28.0,32.0,19.0,29.0,30.0,53.0,8.0,3.0,7.0,4.0,1.0,3.0,9.0,9.0,19.0
2019-01-01-18,4.0,2.0,8.0,3.0,8.0,9.0,1.0,3.0,1.0,3.0,3.0,8.0,1.0,1.0,5.0,6.0,6.0,10.0,1.0,6.0,1,5.0,15,10.0,4.0,4.0,13.0,14,10.0,13.0,9.0,25.0,18.0,7.0,7.0,9.0,5.0,7.0,3.0,18.0,21.0,20.0,11.0,5.0,20.0,10.0,20.0,19.0,15.0,7.0,17.0,21.0,31.0,34.0,30.0,32.0,27.0,32.0,27.0,25.0,34.0,54.0,7.0,4.0,1.0,4.0,5.0,3.0,8.0,8.0,22.0
