stID,en_name,ch_name,lat,lon
1,Keelung,基隆,25.12917,121.76006
2,Sijhih,汐止,25.06567,121.6408
3,Wanli,萬里,25.17967,121.68988
4,Sindian,新店,24.97722,121.53778
5,Tucheng,土城,24.98253,121.45186
6,Banciao,板橋,25.01297,121.45867
7,Sinjhuang,新莊,25.03797,121.4325
8,Cailiao,菜寮,25.06895,121.48103
9,Linkou,林口,25.07857,121.3657
10,Danshuei,淡水,25.1645,121.44924
11,Shihlin,士林,25.10592,121.5145
12,Jhongshan,中山,25.06236,121.52653
13,Wanhua,萬華,25.0465,121.50797
14,Gutin,古亭,25.02061,121.52956
15,Songshan,松山,25.05,121.57861
16,Datong,大同,25.0632,121.51331
17,Taoyuan,桃園,24.99567,121.30442
18,Dayuan,大園,25.06034,121.20181
19,Guanyin,觀音,25.0355,121.08276
20,Pingzhen,平鎮,24.95421,121.20498
21,Longtan,龍潭,24.86387,121.21635
22,Hukou,湖口,24.90014,121.03865
23,Jhudong,竹東,24.74064,121.0889
24,Hsinchu,新竹,24.80562,120.97208
25,Toufen,頭份,24.69697,120.89857
26,Miaoli,苗栗,24.56527,120.8202
27,Sanyi,三義,24.38294,120.75883
28,Fongyuan,豐原,24.25659,120.74171
29,Shalu,沙鹿,24.22563,120.56879
30,Dali,大里,24.09961,120.67769
31,Jhongming,忠明,24.15196,120.64109
32,Situn,西屯,24.1622,120.61692
33,Changhua,彰化,24.066,120.54152
34,Siansi,線西,24.13167,120.46906
35,Erlin,二林,23.92517,120.40965
36,Nantou,南投,23.913,120.68531
37,Douliou,斗六,23.71185,120.54499
38,Lunbei,崙背,23.75755,120.34874
39,Singang,新港,23.55484,120.34553
40,Puzih,朴子,23.46531,120.24735
41,Taisi,台西,23.71753,120.20284
42,Chiayi,嘉義,23.46278,120.44083
43,Sinying,新營,23.30563,120.31725
44,Chanhua,善化,23.1151,120.29714
45,Annan,安南,23.04833,120.21833
46,Tainan,台南,22.98458,120.20262
47,Meinong,美濃,22.88358,120.53054
48,Ciaotou,橋頭,22.75751,120.30569
49,Renwu,仁武,22.68906,120.33263
50,Fongshan,鳳山,22.62739,120.35808
51,Daliao,大寮,22.56414,120.42531
52,Linyuan,林園,22.4795,120.41175
53,Nanzih,楠梓,22.73367,120.32829
54,Zuoying,左營,22.67486,120.29292
56,Cianjin,前金,22.63257,120.28809
57,Cianjhen,前鎮,22.60539,120.30756
58,Siaogang,小港,22.56583,120.33774
59,Pingtung,屏東,22.67308,120.48803
60,Chaojhou,潮州,22.52311,120.56118
61,Hengchun,恆春,21.95807,120.78893
62,Taitung,台東,22.75536,121.15045
63,Hualien,花蓮,23.97131,121.59977
64,Yangming,陽明,25.18272,121.52958
65,Yilan,宜蘭,24.74792,121.74639
66,Dongshan,冬山,24.6322,121.79293
67,Sanchong,三重,25.07261,121.49381
68,Jhongli,中壢,24.95328,121.22167
69,Jhushan,竹山,23.75639,120.67731
70,Yonghe,永和,25.017,121.51631
71,Fusing,復興,22.60871,120.31202
72,Puli,埔里,23.96884,120.9679
74,Magong,馬公,23.56903,119.56616
75,Guanshan,關山,23.04508,121.16193
77,Kinmen,金門,24.43213,118.31226
78,Matsu,馬祖,26.15361,119.9525
79,Mailao,麥寮,23.75351,120.25182
100,Fugui,富貴角,25.29744,121.53798
