,O3,NO2,SO2,NMHC,PM25,PM10
竹東,0.03%,0.08%,0.06%,0.05%,0.06%,0.05%
新竹,0.07%,0.05%,0.06%,0.04%,0.04%,0.03%
頭份,0.41%,0.68%,0.7%,0.56%,0.38%,0.35%
苗栗,0.41%,1.14%,0.43%,0.8%,0.56%,0.51%
三義,0.12%,0.43%,0.32%,0.26%,0.29%,0.25%
豐原,0.06%,0.39%,0.18%,0.2%,0.23%,0.19%
沙鹿,0.13%,0.37%,0.26%,0.24%,0.24%,0.21%
大里,0.21%,0.19%,0.14%,0.13%,0.19%,0.15%
忠明,0.16%,0.27%,0.24%,0.21%,0.25%,0.21%
西屯,0.15%,0.32%,0.25%,0.22%,0.28%,0.24%
彰化,0.12%,0.19%,0.23%,0.17%,0.19%,0.15%
線西,0.08%,0.14%,0.04%,0.15%,0.13%,0.1%
二林,0.05%,0.13%,0.04%,0.12%,0.11%,0.08%
南投,0.17%,0.17%,0.14%,0.13%,0.18%,0.15%
斗六,0.1%,0.19%,0.13%,0.14%,0.18%,0.14%
崙背,0.04%,0.1%,0.03%,0.1%,0.09%,0.06%
新港,0.05%,0.14%,0.06%,0.12%,0.12%,0.09%
朴子,0.03%,0.09%,0.04%,0.07%,0.08%,0.05%
台西,0.01%,0.01%,0.01%,0.02%,0.04%,0.02%
嘉義,0.09%,0.11%,0.09%,0.11%,0.15%,0.12%
竹山,0.08%,0.13%,0.1%,0.11%,0.16%,0.13%
埔里,0.03%,0.07%,0.09%,0.1%,0.16%,0.14%
Max,0.41%,1.14%,0.7%,0.8%,0.56%,0.51%
Criteria,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%
