,O3,NO2,SO2,NMHC,PM25,PM10
基隆,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
汐止,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
萬里,0.0%,0.0%,0.0%,0.0%,0.01%,0.01%
新店,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
土城,0.0%,0.0%,0.02%,0.0%,0.02%,0.01%
板橋,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
新莊,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
菜寮,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
林口,0.0%,0.0%,0.01%,0.01%,0.02%,0.01%
淡水,0.0%,0.0%,0.0%,0.0%,0.01%,0.01%
士林,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
中山,0.0%,0.0%,0.0%,0.0%,0.01%,0.01%
萬華,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
古亭,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
松山,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
桃園,0.01%,0.0%,0.01%,0.0%,0.02%,0.01%
大園,0.0%,0.01%,0.0%,0.01%,0.02%,0.01%
觀音,0.01%,0.01%,0.01%,0.01%,0.02%,0.01%
平鎮,0.01%,0.01%,0.05%,0.01%,0.03%,0.02%
龍潭,0.01%,0.04%,0.08%,0.02%,0.04%,0.03%
湖口,0.02%,0.03%,0.03%,0.02%,0.03%,0.02%
竹東,0.03%,0.08%,0.06%,0.05%,0.06%,0.05%
新竹,0.07%,0.05%,0.06%,0.04%,0.04%,0.03%
頭份,0.41%,0.68%,0.7%,0.56%,0.38%,0.35%
苗栗,0.41%,1.14%,0.43%,0.8%,0.56%,0.51%
三義,0.12%,0.43%,0.32%,0.26%,0.29%,0.25%
豐原,0.06%,0.39%,0.18%,0.2%,0.23%,0.19%
陽明,0.0%,0.0%,0.01%,0.01%,0.02%,0.02%
宜蘭,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
冬山,0.0%,0.0%,0.01%,0.0%,0.01%,0.01%
富貴角,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%
Max,0.41%,1.14%,0.7%,0.8%,0.56%,0.51%
Criteria,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%
