,O3,NO2,SO2,NMHC,PM25,PM10
朴子,0.03%,0.09%,0.04%,0.07%,0.08%,0.05%
嘉義,0.09%,0.11%,0.09%,0.11%,0.15%,0.12%
新營,0.05%,0.1%,0.05%,0.1%,0.12%,0.09%
善化,0.05%,0.09%,0.04%,0.09%,0.11%,0.09%
安南,0.04%,0.07%,0.03%,0.07%,0.09%,0.07%
台南,0.04%,0.06%,0.03%,0.05%,0.08%,0.06%
美濃,0.03%,0.09%,0.06%,0.08%,0.11%,0.09%
橋頭,0.04%,0.06%,0.04%,0.07%,0.1%,0.08%
仁武,0.04%,0.04%,0.03%,0.06%,0.09%,0.08%
大寮,0.04%,0.04%,0.02%,0.07%,0.1%,0.08%
林園,0.05%,0.02%,0.01%,0.06%,0.09%,0.07%
楠梓,0.04%,0.05%,0.03%,0.06%,0.1%,0.08%
左營,0.04%,0.05%,0.03%,0.06%,0.09%,0.08%
前金,0.04%,0.04%,0.03%,0.05%,0.09%,0.07%
前鎮,0.04%,0.03%,0.03%,0.04%,0.09%,0.07%
小港,0.06%,0.01%,0.0%,0.05%,0.07%,0.06%
屏東,0.04%,0.05%,0.04%,0.06%,0.1%,0.08%
潮州,0.03%,0.04%,0.03%,0.06%,0.1%,0.08%
恆春,0.0%,0.0%,0.0%,0.0%,0.01%,0.0%
Max,0.09%,0.11%,0.09%,0.11%,0.15%,0.12%
Criteria,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%
