,O3,NO2,SO2,NMHC,PM25,PM10
彰化,0.12%,0.19%,0.23%,0.17%,0.19%,0.15%
線西,0.08%,0.14%,0.04%,0.15%,0.13%,0.1%
二林,0.05%,0.13%,0.04%,0.12%,0.11%,0.08%
南投,0.17%,0.17%,0.14%,0.13%,0.18%,0.15%
斗六,0.1%,0.19%,0.13%,0.14%,0.18%,0.14%
崙背,0.04%,0.1%,0.03%,0.1%,0.09%,0.06%
新港,0.05%,0.14%,0.06%,0.12%,0.12%,0.09%
朴子,0.03%,0.09%,0.04%,0.07%,0.08%,0.05%
台西,0.01%,0.01%,0.01%,0.02%,0.04%,0.02%
嘉義,0.09%,0.11%,0.09%,0.11%,0.15%,0.12%
新營,0.05%,0.1%,0.05%,0.1%,0.12%,0.09%
善化,0.05%,0.09%,0.04%,0.09%,0.11%,0.09%
安南,0.04%,0.07%,0.03%,0.07%,0.09%,0.07%
台南,0.04%,0.06%,0.03%,0.05%,0.08%,0.06%
美濃,0.03%,0.09%,0.06%,0.08%,0.11%,0.09%
竹山,0.08%,0.13%,0.1%,0.11%,0.16%,0.13%
埔里,0.03%,0.07%,0.09%,0.1%,0.16%,0.14%
麥寮,0.01%,0.05%,0.03%,0.05%,0.05%,0.03%
Max,0.17%,0.19%,0.23%,0.17%,0.19%,0.15%
Criteria,0.5%,0.5%,0.5%,0.5%,0.5%,0.5%
