,stID,en_name,ch_name,lat,lon
0,1,Keelung,基隆,25.12917,121.76006
1,2,Sijhih,汐止,25.06567,121.6408
2,3,Wanli,萬里,25.17967,121.68988
3,4,Sindian,新店,24.97722,121.53778
4,5,Tucheng,土城,24.98253,121.45186
5,6,Banciao,板橋,25.01297,121.45867
6,7,Sinjhuang,新莊,25.03797,121.4325
7,8,Cailiao,菜寮,25.06895,121.48103
8,9,Linkou,林口,25.07857,121.3657
9,10,Danshuei,淡水,25.1645,121.44924
10,11,Shihlin,士林,25.10592,121.5145
11,12,Jhongshan,中山,25.06236,121.52653
12,13,Wanhua,萬華,25.0465,121.50797
13,14,Gutin,古亭,25.02061,121.52956
14,15,Songshan,松山,25.05,121.57861
15,16,Datong,大同,25.0632,121.51331
16,17,Taoyuan,桃園,24.99567,121.30442
17,18,Dayuan,大園,25.06034,121.20181
18,19,Guanyin,觀音,25.0355,121.08276
19,20,Pingzhen,平鎮,24.95421,121.20498
20,21,Longtan,龍潭,24.86387,121.21635
21,22,Hukou,湖口,24.90014,121.03865
22,23,Jhudong,竹東,24.74064,121.0889
23,24,Hsinchu,新竹,24.80562,120.97208
24,25,Toufen,頭份,24.69697,120.89857
25,26,Miaoli,苗栗,24.56527,120.8202
26,27,Sanyi,三義,24.38294,120.75883
27,28,Fongyuan,豐原,24.25659,120.74171
28,29,Shalu,沙鹿,24.22563,120.56879
29,30,Dali,大里,24.09961,120.67769
30,31,Jhongming,忠明,24.15196,120.64109
31,32,Situn,西屯,24.1622,120.61692
32,33,Changhua,彰化,24.066,120.54152
33,34,Siansi,線西,24.13167,120.46906
34,35,Erlin,二林,23.92517,120.40965
35,36,Nantou,南投,23.913,120.68531
36,37,Douliou,斗六,23.71185,120.54499
37,38,Lunbei,崙背,23.75755,120.34874
38,39,Singang,新港,23.55484,120.34553
39,40,Puzih,朴子,23.46531,120.24735
40,41,Taisi,台西,23.71753,120.20284
41,42,Chiayi,嘉義,23.46278,120.44083
42,43,Sinying,新營,23.30563,120.31725
43,44,Chanhua,善化,23.1151,120.29714
44,45,Annan,安南,23.04833,120.21833
45,46,Tainan,台南,22.98458,120.20262
46,47,Meinong,美濃,22.88358,120.53054
47,48,Ciaotou,橋頭,22.75751,120.30569
48,49,Renwu,仁武,22.68906,120.33263
49,50,Fongshan,鳳山,22.62739,120.35808
50,51,Daliao,大寮,22.56414,120.42531
51,52,Linyuan,林園,22.4795,120.41175
52,53,Nanzih,楠梓,22.73367,120.32829
53,54,Zuoying,左營,22.67486,120.29292
54,55,Sanmin,三民,22.64656,22.64656
55,56,Cianjin,前金,22.63257,120.28809
56,57,Cianjhen,前鎮,22.60539,120.30756
57,58,Siaogang,小港,22.56583,120.33774
58,59,Pingtung,屏東,22.67308,120.48803
59,60,Chaojhou,潮州,22.52311,120.56118
60,61,Hengchun,恆春,21.95807,120.78893
61,62,Taitung,台東,22.75536,121.15045
62,63,Hualien,花蓮,23.97131,121.59977
63,64,Yangming,陽明,25.18272,121.52958
64,65,Yilan,宜蘭,24.74792,121.74639
65,66,Dongshan,冬山,24.6322,121.79293
66,67,Sanchong,三重,25.07261,121.49381
67,68,Jhongli,中壢,24.95328,121.22167
68,69,Jhushan,竹山,23.75639,120.67731
69,70,Yonghe,永和,25.017,121.51631
70,71,Fusing,復興,22.60871,120.31202
71,72,Puli,埔里,23.96884,120.9679
72,73,Chonglun,崇倫,24.13261,120.65794
73,74,Magong,馬公,23.56903,119.56616
74,75,Guanshan,關山,23.04508,121.16193
75,76,Taishan,泰山,25.06198,121.41508
76,77,Kinmen,金門,24.43213,118.31226
77,78,Matsu,馬祖,26.15361,119.9525
78,79,Mailao,麥寮,23.75351,120.25182
79,80,FPG_Mailiao,FPG麥寮,23.75922,120.25114
80,81,FPG_Taisi,FPG台西,23.70234,120.19291
81,82,FPG_Tuku,FPG土庫,23.68664,120.34917
82,83,,FPG許厝,23.79784,120.24398
83,84,,FPG褒忠,23.72215,120.30827
84,85,,FPG大城,23.84855,120.28463
85,86,,FPG四湖,23.62984,120.19493
86,87,,FPG東勢,23.67517,120.25262
87,88,,FPG崙背,23.79136,120.31094
88,89,,FPGI棟,23.76084,120.18315
89,90,,FPG東石,23.46182,120.17319
90,100,Fugui,富貴角,25.29744,121.53798
