,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-12-13-00,12.9,18.2,14.7,19.0,19.3,19.3,16.5,17.0,18.5,19.5,16.9,16.4,17.9,13.4,9.0,16.0,6.4,20.7,17.0,17.3,19.3,19.6,19.4,22.3
2019-12-13-01,13.2,19.7,15.8,19.7,21.6,20.8,18.8,19.2,19.9,20.0,19.3,19.3,20.0,15.6,11.7,19.5,8.2,22.0,19.7,19.7,21.6,21.7,23.6,23.4
2019-12-13-02,15.2,21.6,17.0,20.3,22.6,20.5,21.4,21.5,20.9,21.6,20.1,21.7,23.0,18.3,13.4,22.7,7.2,23.7,22.4,22.0,24.1,24.3,24.2,25.0
2019-12-13-03,16.6,22.5,17.8,20.8,23.6,21.8,22.7,22.4,23.0,21.7,20.9,23.6,23.6,16.6,13.7,24.8,10.1,23.5,24.7,24.1,24.3,25.8,24.3,25.2
2019-12-13-04,15.9,22,18.2,20.8,23.8,21,23.0,22.6,23.6,21.4,21.0,23.5,23.9,19.6,13.9,25.3,12.5,24.9,25.4,25.0,24.5,26.7,25.1,25.5
2019-12-13-05,15.4,22.5,18.7,20.7,23.6,21.2,23.3,22.6,24.4,21.6,21.2,23.6,24.0,20.3,13.9,25.1,13.0,25.0,25.4,25.5,24.5,27.1,25.0,25.5
2019-12-13-06,14.8,21.8,18.0,20.9,23.6,21.4,23.0,22.2,22.8,21.6,21.0,24.3,23.5,20.5,14.0,25.4,12.5,23.1,25.0,25.0,24.6,27.1,25.3,25.5
2019-12-13-07,14.6,22.8,17.3,20.8,22.5,20.7,22.8,21.8,22.0,21.2,20.7,23.4,23.0,19.0,12.4,24.1,10.0,22.7,24.4,25.1,23.8,26.1,24.6,24.9
2019-12-13-08,13.7,21.6,17.2,20.8,21.7,20.2,21.6,21.1,21.6,20.9,20.1,21.8,22.6,16.9,10.4,23.1,7.5,22.1,23.0,23.9,22.8,25.6,23.8,24.2
2019-12-13-09,13.4,20.2,15.5,20.3,21.0,19.4,20.9,20.2,21.2,20.6,19.5,20.8,22.2,15.0,7.8,20.9,5.2,21.6,21.5,22.2,22.3,24.7,23.0,22.9
2019-12-13-10,13.6,18.7,15.3,20.0,20.5,19.3,20.3,19.5,21.0,20.6,19.3,20.0,21.8,13.9,11.4,19.5,3.7,21.5,19.8,20.4,22.1,23.6,23.0,22.5
2019-12-13-11,13.9,17.1,15.6,20.0,20.2,19.3,20.1,19.0,20.6,19.5,19.3,19.1,21.4,13.4,11.8,18.9,3.9,21.2,18.7,19.4,22.1,22.7,23.1,22.4
2019-12-13-12,14.0,17.2,15.6,20.1,20.0,19.3,20.0,18.6,20.6,19.1,19.5,18.6,21.5,13.9,10.1,18.2,4.4,21.1,18.1,18.8,21.6,21.8,23.0,22.3
2019-12-13-13,14.0,16.4,15.5,20.1,19.9,19.1,19.7,18.6,19.8,18.6,18.5,17.9,21.4,12.9,11.2,17.5,4.3,20.8,17.8,18.5,21.3,21.1,22.5,22.4
2019-12-13-14,13.9,16.3,15.4,20.0,19.8,19.1,19.7,18.1,19.2,18.2,17.9,17.2,21.2,13.4,9.7,17.0,4.6,19.6,17.7,18.4,20.9,20.6,22.3,22.2
2019-12-13-15,13.9,16.2,15.6,20.2,19.7,19.1,19.6,17.0,19.2,17.9,17.5,16.6,20.3,12.8,8.7,15.8,4.3,19.5,17.5,18.2,20.4,20.2,22.3,22.2
2019-12-13-16,14.0,16.4,15.6,20.0,19.5,19,19.6,16.3,18.8,18.0,17.2,16.3,20.1,13.8,9.3,15.1,4.1,19.0,17.1,17.8,20.0,20.4,22.2,22.1
2019-12-13-17,13.9,16.3,15.5,20.0,19.6,18.9,19.7,15.7,18.9,17.8,17.1,15.9,20.0,13.4,11.5,14.4,3.6,18.4,16.9,17.8,19.7,20.3,21.9,22.4
2019-12-13-18,14.0,16.6,15.5,19.8,19.4,18.9,19.3,15.4,19.0,17.9,16.9,15.5,19.4,13.7,11.4,15.5,3.3,18.4,16.9,17.8,19.5,20.3,21.5,22.6
2019-12-13-19,14.1,16,15.4,19.7,19.5,18.9,19.3,15.0,18.9,18.1,16.8,15.2,19.3,12.4,11.5,15.8,3.0,18.6,16.6,17.7,19.3,19.7,21.7,22.5
2019-12-13-20,14.0,16.3,15.4,20.1,19.5,18.9,19.1,14.8,18.2,18.3,16.9,15.0,19.4,13.9,11.5,14.6,3.8,18.2,16.5,17.1,19.1,19.2,19.5,22.7
2019-12-13-21,13.9,16,15.3,19.6,19.5,18.7,18.7,14.6,18.8,18.4,16.5,14.6,18.9,14.5,10.3,13.7,2.8,18.1,16.3,16.8,19.3,19.3,18.8,22.8
2019-12-13-22,14.1,16.2,15.5,19.9,19.6,18.8,17.7,14.4,18.5,18.4,16.3,14.7,19.1,13.1,10.6,13.5,2.9,17.9,15.8,16.7,19.0,19.4,18.3,22.0
2019-12-13-23,14.0,17,15.3,19.9,19.8,19.2,19.2,14.5,18.3,18.6,15.2,14.2,18.1,13.2,10.4,13.6,3.3,18.2,15.2,16.6,19.1,19.0,19.1,22.3
