,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-04-06-00,190,350,-999,-999,230,70,-999,-999,300,310,140,170,250,170,270,110,260,50,340,340,10,290,-999,-999
2019-04-06-01,180,270,220,40,110,30,90,330,60,250,140,190,190,270,290,180,240,30,200,320,80,280,60,290
2019-04-06-02,160,270,250,50,340,310,230,300,50,100,170,200,180,340,210,210,250,100,250,200,90,270,120,310
2019-04-06-03,330,290,210,40,260,330,250,290,150,150,290,240,170,320,280,270,250,130,270,220,100,270,70,300
2019-04-06-04,320,280,290,360,350,330,340,300,140,150,300,220,160,280,-999,220,260,140,260,270,110,260,110,310
2019-04-06-05,10,310,270,350,290,320,250,270,120,150,300,250,170,300,310,300,250,140,240,250,110,280,100,330
2019-04-06-06,10,310,250,30,-999,330,270,290,110,140,340,220,170,280,320,270,250,-999,270,260,100,300,120,290
2019-04-06-07,330,310,320,20,240,300,230,270,100,160,300,220,170,290,230,290,220,200,280,280,130,300,120,280
2019-04-06-08,30,-999,300,40,250,220,230,170,100,160,310,210,180,320,180,290,250,180,310,280,110,310,80,300
2019-04-06-09,160,-999,-999,40,250,260,220,170,40,170,260,230,160,-999,290,270,240,-999,300,270,170,320,40,300
2019-04-06-10,140,300,-999,20,250,230,230,170,20,180,250,230,220,190,280,290,230,330,270,290,110,310,30,310
2019-04-06-11,160,160,20,-999,220,230,200,160,10,260,240,200,290,200,250,280,230,330,300,270,360,300,360,280
2019-04-06-12,150,150,340,220,210,180,200,110,10,250,240,170,280,180,260,310,240,320,310,300,340,310,270,280
2019-04-06-13,120,140,340,220,180,200,180,120,240,240,130,170,290,110,280,-999,250,330,280,300,340,320,310,280
2019-04-06-14,150,160,360,230,180,-999,290,140,280,250,120,140,260,130,250,90,240,330,330,330,300,320,190,330
2019-04-06-15,80,140,10,240,180,270,230,10,300,260,150,220,260,140,270,-999,250,330,-999,350,320,330,260,290
2019-04-06-16,90,150,30,250,140,170,190,100,330,260,150,150,280,10,260,-999,250,320,-999,-999,320,350,300,300
2019-04-06-17,60,70,20,230,230,240,190,100,280,270,160,140,240,360,240,120,240,330,-999,190,350,310,310,320
2019-04-06-18,150,150,320,200,160,230,230,110,270,270,170,230,250,-999,260,-999,250,300,130,150,300,320,300,280
2019-04-06-19,110,160,290,250,170,170,-999,110,290,260,150,140,250,270,230,80,260,330,130,150,320,-999,310,330
2019-04-06-20,360,140,330,200,170,120,190,120,270,260,170,-999,250,250,280,130,250,330,-999,-999,300,330,300,340
2019-04-06-21,-999,150,300,180,190,190,210,120,300,250,140,-999,260,250,290,-999,240,320,80,-999,300,-999,260,340
2019-04-06-22,150,150,310,140,190,210,220,120,250,250,140,90,280,210,250,90,250,330,90,-999,310,50,300,320
2019-04-06-23,20,120,310,-999,220,210,-999,110,300,250,130,150,270,200,260,130,230,320,-999,60,300,80,290,330
