,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-03-01-00,13.06396484375,18.20745849609375,14.805267333984375,17.658966064453125,18.70220947265625,18.58917236328125,18.9847412109375,18.7178955078125,18.46917724609375,18.3404541015625,18.653076171875,19.906890869140625,20.10247802734375,19.992431640625,11.67987060546875,20.5728759765625,3.960205078125,21.266815185546875,21.2755126953125,21.303741455078125,22.102447509765625,22.458740234375,22.029327392578125,23.548126220703125
2019-03-01-01,14.427947998046875,19.8897705078125,17.827392578125,18.098968505859375,19.321014404296875,18.88763427734375,19.365081787109375,20.808135986328125,19.405914306640625,18.540313720703125,20.33148193359375,21.814544677734375,21.556610107421875,21.30389404296875,12.467987060546875,22.64599609375,6.894195556640625,21.99078369140625,23.056060791015625,23.072509765625,22.893035888671875,24.278594970703125,22.62841796875,25.123931884765625
2019-03-01-02,15.73675537109375,21.360870361328125,18.70672607421875,18.6241455078125,20.38861083984375,19.352325439453125,20.48052978515625,22.05255126953125,20.259765625,18.6837158203125,21.18096923828125,23.545074462890625,22.014404296875,21.99658203125,14.567718505859375,24.4151611328125,8.05877685546875,21.428558349609375,25.18585205078125,25.15850830078125,24.144439697265625,25.40728759765625,23.284759521484375,25.879730224609375
2019-03-01-03,15.94659423828125,22.12872314453125,19.90985107421875,18.8607177734375,21.5694580078125,20.77264404296875,21.770294189453125,23.469635009765625,20.471466064453125,19.17791748046875,22.256866455078125,25.2137451171875,22.973358154296875,24.29254150390625,14.35723876953125,25.949462890625,11.35467529296875,22.441650390625,26.874908447265625,26.59423828125,24.73974609375,25.2686767578125,23.893829345703125,26.93231201171875
2019-03-01-04,15.21875,23.004974365234375,20.24407958984375,18.93499755859375,22.277496337890625,20.882232666015625,22.5426025390625,24.846160888671875,20.674591064453125,20.394927978515625,23.0533447265625,26.52545166015625,23.154815673828125,24.13531494140625,14.130859375,27.10931396484375,9.71270751953125,22.744171142578125,27.90496826171875,27.388092041015625,24.969696044921875,26.160919189453125,23.9290771484375,26.84613037109375
2019-03-01-05,17.593719482421875,23.71575927734375,17.96923828125,19.34283447265625,22.56646728515625,20.983734130859375,23.246856689453125,24.86114501953125,21.287017822265625,20.984375,21.950439453125,27.783416748046875,23.316497802734375,24.17254638671875,14.028564453125,27.886505126953125,12.00006103515625,23.08563232421875,27.8250732421875,26.918304443359375,24.925323486328125,26.18792724609375,24.025848388671875,27.32537841796875
2019-03-01-06,17.718231201171875,23.713043212890625,20.375091552734375,19.370025634765625,22.329803466796875,20.8040771484375,22.310943603515625,24.261627197265625,21.960968017578125,21.29986572265625,21.87255859375,27.728363037109375,23.295379638671875,23.9063720703125,12.62823486328125,27.712249755859375,11.620208740234375,22.87890625,27.470916748046875,26.350128173828125,24.900115966796875,26.2467041015625,23.851898193359375,26.965972900390625
2019-03-01-07,17.051483154296875,21.352142333984375,19.481414794921875,19.251708984375,21.745697021484375,19.391937255859375,21.590118408203125,23.6480712890625,22.51165771484375,20.7779541015625,19.46929931640625,26.180755615234375,22.93975830078125,22.489471435546875,12.23419189453125,26.974822998046875,10.646087646484375,22.7281494140625,26.5528564453125,25.413177490234375,24.51922607421875,26.04608154296875,23.67596435546875,25.490203857421875
2019-03-01-08,15.5552978515625,20.354156494140625,18.663665771484375,18.881591796875,20.714508056640625,19.0711669921875,20.62628173828125,23.03704833984375,22.128204345703125,20.920684814453125,19.71514892578125,25.377288818359375,22.576629638671875,21.83648681640625,11.711578369140625,26.43658447265625,8.2003173828125,22.2191162109375,25.6883544921875,24.465057373046875,24.070526123046875,25.51446533203125,23.108673095703125,25.38189697265625
2019-03-01-09,14.744537353515625,20.157958984375,17.61688232421875,18.28228759765625,20.02630615234375,18.9039306640625,20.055206298828125,21.9886474609375,21.4874267578125,19.808013916015625,19.8040771484375,24.000518798828125,21.783203125,20.526580810546875,11.07720947265625,25.21282958984375,4.0992431640625,21.89300537109375,24.883453369140625,23.598724365234375,23.393280029296875,24.804901123046875,22.84185791015625,24.357757568359375
