,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2019-03-05-00,114.95906296680138,140.01603113672104,89.88086123442434,134.622054077311,91.18341048945877,96.36717852246937,88.46653675255334,90.08124600592652,252.93312719771376,188.7774058422106,251.5084017709031,254.1423343223768,355.66747198387077,234.24434592563546,89.17148174211769,308.4328341486566,142.29500148442222,20.09897686444063,75.5175679521295,80.67840031170894,307.7484912934578,92.842521860192,30.013962613141416,65.22128373546519
2019-03-05-01,137.90589602464433,148.24014684649774,110.28109113496274,107.52578851465441,113.09931775962445,100.07181646960171,91.18400563574602,236.76335440672779,330.7296977077965,9.412329777816183,281.65865515758486,276.0278983634506,40.92730882583581,295.72519022251623,27.485171448359466,54.30067664026487,344.4558221269677,21.70534050741287,236.70947912602438,229.21712887548765,129.29000063618705,184.50970105971635,36.30079524935411,61.041641510290304
2019-03-05-02,154.46335040560803,150.5363988108516,158.80062507593448,130.76465807903054,131.28087643894114,103.13399963952207,102.99366891966437,247.3399577938392,357.60197153524564,183.71168454792513,289.136095390278,219.4921879764602,282.98454250967745,310.95459298732277,88.73708268229342,288.9377418792497,304.3786687812706,56.53153353505951,219.363530777614,219.363530777614,88.81504412886432,219.75377107019634,41.48318297510892,64.97241606024375
2019-03-05-03,159.73655611851586,150.77519395151995,156.4904773300243,123.11355177595001,119.29897032584694,250.2528687783147,104.69293852464574,269.3103078847648,127.49653955498303,143.6077349435633,261.5149926131499,220.73052586174362,119.51592781380921,266.0026834438487,156.14912742705178,240.6300917178932,246.54129933052442,98.97013647876238,243.6889133351419,245.59074525814816,94.81951931461336,184.36318472240646,45.26147997143161,71.47904304734325
2019-03-05-04,201.14085590737125,152.9451736310773,169.1075730417814,164.75375917867763,151.11143056541349,271.0111512023902,106.11674725035229,276.64480151148314,76.92434883348704,154.930645210042,287.61420346686634,243.2540030960509,157.03852997358658,257.74355111024187,181.31990504458184,239.83912735632873,250.0621199890524,169.42644431760306,244.19965039644143,244.19965039644143,102.3315912233941,220.9691605539213,50.63149910540491,80.01454935936087
2019-03-05-05,188.1382853682353,153.9576590819692,188.1382853682353,143.7729752204085,139.52516926822344,272.85772876430366,113.9727882007478,267.08646237863155,134.04146954765682,177.8862099725916,307.01521737606913,263.42964508261963,146.86242989291455,293.9657696539095,183.80355566447278,240.04704658993657,231.25887362762379,175.002615352578,269.31671629143574,270.14907628904285,127.60500105808603,156.06672617044535,37.26117343710263,89.33006670950923
2019-03-05-06,178.4950791628115,161.25570637184146,190.6540203006587,170.22586948273008,126.98335916349896,267.0139596857472,128.24973185150552,268.9592857672395,129.13178255544045,178.86220160755497,296.054467010989,266.38387217095374,164.07246021131135,258.00456674176615,178.14214672739217,278.8035192935909,227.9355699456281,202.6864304335573,276.46135674230754,294.0742100515997,125.86536359296383,153.8257279749541,48.050930980797915,90.7758283434951
2019-03-05-07,189.89766654856044,164.10840560483,200.4493716138711,170.48099361454473,143.47049756425753,277.9786650710794,258.41277440650043,269.10944172217336,94.07923676778321,179.0207635149933,301.6140427575598,271.20814312577926,173.47739115575308,320.08002113898175,172.8805122003509,279.8047341966052,316.1884042430662,192.7021307073744,234.03142589302482,234.03142589302482,139.4443649135297,159.51311889363188,74.41864861057866,79.96599137080432
2019-03-05-08,217.75132617830724,286.28451602902106,206.66823041889924,160.0613190386644,170.74150089560624,283.8600294693016,288.2238499890618,276.35326780567476,90.77948096452687,168.0104499978039,329.2894146762898,269.99515156764534,177.1163313955975,288.50816879257883,306.7332308425654,289.6309719190614,136.91824497619356,189.89964056073126,245.16634903554393,190.48074729258266,186.32174699851294,149.86678102817888,51.811174880000806,85.03164757019454
2019-03-05-09,304.5023805712077,295.3356092530901,299.88406686452333,159.47857595515723,296.79324809502987,302.72572050630356,263.7196608988682,299.9700835820679,92.37709514676587,188.48162355217642,340.09371736328944,289.04789286799627,184.8506864947181,51.26541599308811,147.93995422666364,285.31851852253834,134.14973661492792,190.87537278940414,163.52335492712405,181.06052383151567,159.65349229286267,156.12832302031944,57.026226984111815,84.89978995448186
