,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-07-09-00,25.2,23.2,20.0,28.4,26.1,23.7,28.0,28.2
2019-07-09-01,-999.0,-999.0,20.0,28.8,-999.0,-999.0,-999.0,-999.0
2019-07-09-02,-999.0,-999.0,20.2,28.8,-999.0,-999.0,-999.0,-999.0
2019-07-09-03,28.5,22.4,20.6,28.8,25.8,23.1,30.0,30.9
2019-07-09-04,-999.0,-999.0,20.6,29.6,-999.0,-999.0,-999.0,-999.0
2019-07-09-05,-999.0,-999.0,21.1,29.9,-999.0,-999.0,-999.0,-999.0
2019-07-09-06,29.7,22.0,20.6,29.4,26.1,23.2,31.2,30.4
2019-07-09-07,-999.0,-999.0,21.0,29.4,-999.0,-999.0,-999.0,-999.0
2019-07-09-08,-999.0,-999.0,20.6,29.3,-999.0,-999.0,-999.0,-999.0
2019-07-09-09,28.2,21.8,20.5,29.0,25.3,22.5,29.4,28.8
2019-07-09-10,-999.0,-999.0,20.2,28.7,-999.0,-999.0,-999.0,-999.0
2019-07-09-11,-999.0,-999.0,19.9,28.5,-999.0,-999.0,-999.0,-999.0
2019-07-09-12,25.0,22.0,19.5,28.4,24.4,23.0,26.9,28.1
2019-07-09-13,-999.0,-999.0,19.0,28.3,-999.0,-999.0,-999.0,-999.0
2019-07-09-14,-999.0,-999.0,18.6,28.3,-999.0,-999.0,-999.0,-999.0
2019-07-09-15,22.7,21.7,18.6,28.1,23.7,21.7,27.8,27.9
2019-07-09-16,-999.0,-999.0,18.7,28.1,-999.0,-999.0,-999.0,-999.0
2019-07-09-17,-999.0,-999.0,18.7,28.0,-999.0,-999.0,-999.0,-999.0
2019-07-09-18,21.1,21.7,18.8,28.0,21.7,21.5,28.0,27.8
2019-07-09-19,-999.0,-999.0,18.6,28.0,-999.0,-999.0,-999.0,-999.0
2019-07-09-20,-999.0,-999.0,18.7,28.2,-999.0,-999.0,-999.0,-999.0
2019-07-09-21,21.1,21.6,18.8,28.1,21.9,21.5,27.8,27.7
2019-07-09-22,-999.0,-999.0,19.2,28.6,-999.0,-999.0,-999.0,-999.0
2019-07-09-23,-999.0,-999.0,20.0,29.0,-999.0,-999.0,-999.0,-999.0
