,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-07-07-00,97.0,110.0,340.0,160.0,20.0,290.0,320.0,220.0
2019-07-07-01,-999.0,-999.0,340.0,150.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-02,-999.0,-999.0,330.0,220.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-03,96.0,90.0,340.0,190.0,40.0,290.0,180.0,220.0
2019-07-07-04,-999.0,-999.0,340.0,300.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-05,-999.0,-999.0,340.0,350.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-06,77.0,90.0,340.0,30.0,70.0,290.0,290.0,180.0
2019-07-07-07,-999.0,-999.0,350.0,30.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-08,-999.0,-999.0,340.0,130.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-09,56.0,70.0,330.0,160.0,250.0,270.0,270.0,180.0
2019-07-07-10,-999.0,-999.0,330.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-11,-999.0,-999.0,330.0,170.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-12,71.0,90.0,340.0,170.0,200.0,270.0,180.0,180.0
2019-07-07-13,-999.0,-999.0,330.0,160.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-14,-999.0,-999.0,330.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-15,93.0,90.0,340.0,210.0,340.0,290.0,140.0,200.0
2019-07-07-16,-999.0,-999.0,330.0,180.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-17,-999.0,-999.0,340.0,170.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-18,88.0,70.0,340.0,170.0,70.0,270.0,200.0,200.0
2019-07-07-19,-999.0,-999.0,350.0,190.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-20,-999.0,-999.0,10.0,220.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-21,73.0,70.0,350.0,240.0,360.0,270.0,270.0,200.0
2019-07-07-22,-999.0,-999.0,360.0,240.0,-999.0,-999.0,-999.0,-999.0
2019-07-07-23,-999.0,-999.0,10.0,230.0,-999.0,-999.0,-999.0,-999.0
