,首爾,濟州,東京,那霸機場,北京,上海,福州,廈門
2019-09-20-00,1.6,4.5,2.6,9.8,1.0,2.0,3.0,5.0
2019-09-20-01,-999.0,-999.0,3.1,8.8,-999.0,-999.0,-999.0,-999.0
2019-09-20-02,-999.0,-999.0,2.1,8.8,-999.0,-999.0,-999.0,-999.0
2019-09-20-03,2.4,5.7,2.1,8.8,2.0,3.0,2.0,5.0
2019-09-20-04,-999.0,-999.0,2.6,9.3,-999.0,-999.0,-999.0,-999.0
2019-09-20-05,-999.0,-999.0,1.5,10.8,-999.0,-999.0,-999.0,-999.0
2019-09-20-06,3.2,5.5,1.5,11.3,2.0,5.0,1.0,1.0
2019-09-20-07,-999.0,-999.0,2.1,11.3,-999.0,-999.0,-999.0,-999.0
2019-09-20-08,-999.0,-999.0,4.1,11.8,-999.0,-999.0,-999.0,-999.0
2019-09-20-09,2.8,5.1,2.6,12.9,3.0,3.0,3.0,4.0
2019-09-20-10,-999.0,-999.0,3.6,11.8,-999.0,-999.0,-999.0,-999.0
2019-09-20-11,-999.0,-999.0,2.1,13.9,-999.0,-999.0,-999.0,-999.0
2019-09-20-12,2.0,4.0,3.1,13.4,1.0,4.0,2.0,3.0
2019-09-20-13,-999.0,-999.0,3.1,12.9,-999.0,-999.0,-999.0,-999.0
2019-09-20-14,-999.0,-999.0,1.5,16.0,-999.0,-999.0,-999.0,-999.0
2019-09-20-15,2.4,4.6,1.5,15.4,1.0,4.0,1.0,3.0
2019-09-20-16,-999.0,-999.0,1.5,14.9,-999.0,-999.0,-999.0,-999.0
2019-09-20-17,-999.0,-999.0,1.5,17.0,-999.0,-999.0,-999.0,-999.0
2019-09-20-18,2.4,3.0,3.1,16.0,1.0,5.0,3.0,3.0
2019-09-20-19,-999.0,-999.0,2.1,24.2,-999.0,-999.0,-999.0,-999.0
2019-09-20-20,-999.0,-999.0,2.6,21.1,-999.0,-999.0,-999.0,-999.0
2019-09-20-21,1.9,5.1,1.5,24.7,1.0,4.0,7.0,2.0
2019-09-20-22,-999.0,-999.0,1.5,24.7,-999.0,-999.0,-999.0,-999.0
2019-09-20-23,-999.0,-999.0,2.6,21.1,-999.0,-999.0,-999.0,-999.0
