UTC,濟州,那霸機場,上海,福州,廈門
2019-11-30-00,10.156036376953125,19.08746337890625,13.082122802734375,15.653839111328125,17.246551513671875
2019-11-30-01,11.639923095703125,18.8272705078125,13.336029052734375,16.49298095703125,18.74664306640625
2019-11-30-02,12.599639892578125,20.602874755859375,13.26348876953125,17.085174560546875,19.96875
2019-11-30-03,13.161865234375,20.40948486328125,13.516876220703125,17.441070556640625,21.255615234375
2019-11-30-04,13.464599609375,20.94183349609375,13.683624267578125,17.897247314453125,22.225311279296875
2019-11-30-05,13.187896728515625,21.13702392578125,13.3109130859375,18.266143798828125,22.9927978515625
2019-11-30-06,13.0242919921875,20.8382568359375,13.23211669921875,18.611175537109375,23.314788818359375
2019-11-30-07,12.930877685546875,19.58306884765625,12.683868408203125,19.094757080078125,23.394622802734375
2019-11-30-08,12.4727783203125,19.833587646484375,12.60577392578125,19.0963134765625,22.970672607421875
2019-11-30-09,12.25006103515625,19.371856689453125,13.042755126953125,18.696990966796875,22.078948974609375
2019-11-30-10,12.237091064453125,18.92791748046875,13.264923095703125,18.2091064453125,20.841552734375
2019-11-30-11,11.51300048828125,18.3382568359375,13.246368408203125,17.891754150390625,20.120086669921875
2019-11-30-12,11.107147216796875,18.048187255859375,12.75079345703125,17.535491943359375,19.522918701171875
2019-11-30-13,10.715289306640626,18.405714111328123,12.732033691406249,17.37843017578125,19.482955322265624
2019-11-30-14,10.378375854492187,18.279144592285157,12.773298339843748,17.233955993652344,19.127113342285156
2019-11-30-15,10.809852600097656,18.200302124023438,12.833717346191406,17.161117553710938,18.45507049560547
2019-11-30-16,10.960796508789063,18.427219238281253,13.007884216308595,16.72589111328125,18.054085998535157
2019-11-30-17,10.826943359375,18.30191711425781,13.148476562499999,17.03709716796875,17.844159545898435
2019-11-30-18,10.556915283203125,18.751419067382812,13.200637817382812,17.183212280273438,17.687911987304688
2019-11-30-19,10.048240356445312,18.9504833984375,13.255487670898436,16.930013427734373,17.432147216796874
2019-11-30-20,9.98935546875,19.058191223144533,13.246298217773438,17.075780334472658,17.506461181640624
2019-11-30-21,9.953475952148438,18.927536010742188,12.960693359375,16.65575408935547,17.183982849121094
2019-11-30-22,9.961477966308593,19.16083129882812,12.263426208496094,16.349691162109373,16.885526733398436
2019-11-30-23,10.082490234375,19.191306152343753,11.426815185546875,16.228216552734374,17.308892822265626
