UTC,濟州,那霸機場,上海,福州,廈門
2019-02-08-00,3.6576966542331335,2.645544239622533,4.89922177760265,3.645506768864994,6.3779769146050995
2019-02-08-01,4.232836886974674,3.320064566924309,4.887745305932504,3.8309161875230013,6.780394061209119
2019-02-08-02,3.644264144597582,3.3231368867165845,3.53271117940263,3.789669325780796,6.909737065159296
2019-02-08-03,4.001109070385803,3.443307811149369,4.001424810673377,3.2906501444611305,7.253716622512258
2019-02-08-04,3.565787663861966,4.461301016160111,4.761736671176405,2.922744878888108,6.9510444941832095
2019-02-08-05,4.474505298225441,4.901619416679788,4.180662161359161,2.9773665389078405,6.764474648736311
2019-02-08-06,3.799781026284099,4.611748220508262,4.714547180264775,2.9489428902800006,6.331878978059619
2019-02-08-07,4.329700467835199,4.818952120418685,5.140980854118083,2.8889683222017517,6.086994599600566
2019-02-08-08,2.7447171887678237,3.575727201272841,4.694310594592964,3.2795737889548104,5.91548175556693
2019-02-08-09,2.7754409119515917,3.5243738061708267,4.040489914215231,4.013040695335194,5.693472741226171
2019-02-08-10,2.2901887561939476,3.3494154544139785,3.937636986451524,3.6303664756324565,5.497269814416371
2019-02-08-11,2.8083433752464346,3.6737505786564797,4.408679548190929,3.0466525169868808,5.364053246785836
2019-02-08-12,3.4086048372593822,3.299460320393171,4.9172403390602515,2.9866682550855264,5.350052418829882
2019-02-08-13,3.164797019351564,3.1856079743138963,4.692230391821424,2.6129679425919865,5.283551105982647
2019-02-08-14,3.2441936589768776,2.639521669853811,4.778318563724091,2.4355196123901055,4.6796589466110525
2019-02-08-15,3.395386262786283,2.622106345799258,4.955066893710613,2.488372566367809,4.259902606988562
2019-02-08-16,3.7902506406350907,2.346783884504655,4.52507670206021,2.4746747838365084,4.428254030387177
2019-02-08-17,4.040998640218302,1.9127683317062678,4.781276844026406,2.0359375837284204,4.664088815521897
2019-02-08-18,3.933141532452581,1.4717259124055353,4.59046686513155,1.7198455547913387,4.569668677314866
2019-02-08-19,4.221576597832886,1.277214879000437,4.6497574974280536,1.9280975086142713,4.544238784485704
2019-02-08-20,4.120206963766563,1.4234891198487782,4.950136565326135,1.8450260516728034,4.476681698439525
2019-02-08-21,5.083072569519999,1.250296990353527,4.413913574761648,1.5937011221708992,4.276285754272676
2019-02-08-22,5.636514945255481,0.9759628035724542,4.691306439685158,1.425896522711011,4.250333698924637
2019-02-08-23,6.00241911035443,1.5649981588684492,5.077429005325387,1.4066559938199374,4.015640302205086
