,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-07-30-00,24.8,29.4,25.0,30.7,29.6,30.0,29.3,31.0,30.8,30.8,29.2,28.7,31.4,23.0,14.5,31.7,8.1,29.7,27.9,27.8,29.8,27.6,29.0,29.0
2021-07-30-01,24.7,30.9,25.3,31.7,31.6,30.8,31.4,32.2,31.7,31.9,30.9,30.7,31.7,24.0,15.2,31.1,10.2,30.4,25.7,26.2,30.7,27.2,29.8,30.1
2021-07-30-02,25.8,32.5,27.0,32.7,32.7,31.5,32.8,33.6,32.8,31.4,31.8,32.0,33.1,25.5,15.2,25.4,11.9,30.9,25.5,25.9,31.3,26.9,31.4,29.2
2021-07-30-03,25.9,31.6,27.3,33.3,33.9,31.4,34.2,33.4,33.5,31.4,30.7,30.1,33.7,25.7,17.9,26.1,16.0,33.5,26.1,26.3,32.6,26.8,30.0,28.6
2021-07-30-04,26.4,29.8,29.1,31.7,34.9,31.9,35.2,31.8,32.6,32.2,30.5,31.6,33.4,24.5,15.9,26.9,14.5,32.1,26.1,26.2,33.0,26.4,30.0,25.7
2021-07-30-05,23.9,27.0,27.2,30.6,31.9,31.0,33.5,32.2,31.8,32.4,30.3,31.4,33.3,25.7,15.2,29.4,12.6,29.8,26.3,26.4,30.5,26.0,29.5,25.6
2021-07-30-06,22.6,25.8,24.7,29.9,30.2,30.9,29.6,32.1,31.1,31.8,30.7,30.9,31.7,27.3,15.0,29.8,9.6,28.9,26.4,26.0,30.7,26.0,26.5,25.0
2021-07-30-07,22.5,26.3,24.3,30.5,28.7,30.1,28.1,29.3,31.3,32.0,31.5,30.8,30.1,26.1,15.1,29.5,9.3,27.6,26.2,25.9,31.0,26.0,26.2,25.5
2021-07-30-08,22.8,27.0,24.5,29.9,28.6,29.8,27.4,29.4,29.5,30.3,31.9,30.8,27.4,24.1,15.7,29.5,9.6,27.2,26.7,26.3,30.5,26.8,26.8,25.5
2021-07-30-09,22.6,27.6,24.3,29.7,28.7,30.8,27.8,30.2,28.1,30.6,31.7,31.1,28.0,24.8,15.5,29.6,9.5,27.7,27.1,27.0,29.0,27.3,27.0,25.5
2021-07-30-10,22.5,27.5,24.2,30.2,29.7,30.3,28.1,29.9,28.0,29.1,30.8,30.7,27.4,23.8,14.7,29.6,8.4,28.4,26.7,26.8,28.5,27.3,26.7,25.5
2021-07-30-11,22.3,27.2,23.6,29.9,29.5,29.7,28.2,29.9,27.7,28.5,30.2,30.0,26.9,23.0,14.2,28.8,7.3,27.7,26.8,26.7,28.6,27.3,26.5,26.0
2021-07-30-12,22.4,27.2,23.4,29.6,28.9,29.3,27.9,30.1,27.5,28.3,29.6,30.0,27.1,22.9,14.1,28.4,6.2,26.8,26.9,26.8,28.3,27.4,26.7,26.7
2021-07-30-13,22.6,27.1,23.5,29.3,28.6,29.4,27.5,29.9,27.2,27.8,29.1,29.5,27.3,22.6,14.2,28.6,6.1,26.3,26.2,26.5,28.2,25.8,26.8,26.8
2021-07-30-14,23.0,26.8,23.7,29.1,28.6,28.9,26.9,28.8,27.1,27.6,28.8,28.8,27.2,22.8,14.2,28.6,6.7,26.2,26.2,26.2,28.2,26.2,28.2,26.8
2021-07-30-15,22.3,26.8,23.4,29.1,28.3,28.7,26.8,28.1,27.0,27.5,28.8,29.2,26.8,22.7,14.2,27.6,6.8,26.2,26.2,26.1,28.4,26.9,27.8,26.8
2021-07-30-16,21.9,26.9,23.4,28.3,28.2,28.7,26.8,28.1,27.1,27.5,28.7,28.7,26.6,22.1,14.0,27.6,6.1,26.1,26.3,26.4,28.1,27.1,27.4,26.8
2021-07-30-17,22.2,26.6,23.4,28.2,28.0,28.7,26.8,28.5,27.0,27.4,28.5,28.5,26.7,21.8,13.7,28.0,6.0,26.0,26.2,26.2,28.1,26.8,27.1,26.7
2021-07-30-18,22.2,26.5,23.8,27.7,28.0,28.7,26.4,28.2,27.1,27.1,28.6,28.3,26.5,21.7,13.6,28.9,7.0,26.4,26.0,25.9,28.2,26.6,27.4,26.6
2021-07-30-19,22.2,26.3,23.6,27.8,28.0,28.4,26.6,28.6,26.8,27.0,27.7,28.2,26.4,21.7,13.6,27.1,6.3,26.7,26.0,25.8,28.3,26.6,26.5,27.2
2021-07-30-20,22.0,26.3,23.4,27.9,27.6,28.5,26.1,27.7,26.4,26.8,28.3,26.9,26.2,21.0,13.2,26.8,6.4,27.3,25.3,25.4,27.8,26.6,27.5,27.4
2021-07-30-21,21.5,26.2,22.8,27.6,27.4,28.8,26.1,27.5,26.5,26.7,27.6,27.5,26.1,21.2,13.7,27.4,7.0,26.3,25.5,25.5,28.0,25.8,27.8,28.0
2021-07-30-22,21.6,26.4,23.0,27.7,27.5,29.1,26.1,27.5,26.6,27.0,26.7,27.1,26.2,21.4,13.6,27.0,6.7,26.5,25.4,25.1,27.8,25.8,25.9,25.8
2021-07-30-23,22.1,27.0,24.1,28.6,27.8,29.4,27.0,28.1,27.2,27.4,26.8,27.5,27.7,22.1,14.2,27.0,6.7,27.9,25.7,25.5,28.9,25.6,25.9,26.1
