,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-07-20-00,130,340,80,40,90,60,60,80,260,280,100,100,240,360,290,80,80,40,360,360,350,350,280,70
2021-07-20-01,200,200,100,50,50,40,60,70,170,290,40,30,30,350,320,310,100,50,350,340,30,350,270,60
2021-07-20-02,220,110,70,30,80,40,60,30,120,300,360,360,60,310,340,360,90,30,310,310,60,320,40,350
2021-07-20-03,200,40,110,30,70,50,70,40,60,40,360,330,70,320,10,20,110,40,310,300,70,290,120,60
2021-07-20-04,190,20,160,50,30,40,60,50,80,40,360,350,80,320,310,260,60,50,320,300,80,290,60,50
2021-07-20-05,290,10,150,40,60,40,60,30,70,60,10,150,80,330,320,270,-999,50,320,300,80,360,120,280
2021-07-20-06,200,20,110,30,60,40,70,20,70,50,20,180,80,360,300,280,20,60,300,300,70,340,120,240
2021-07-20-07,320,30,170,40,70,40,70,30,70,40,20,200,50,310,340,280,340,60,300,280,70,330,110,350
2021-07-20-08,30,30,180,30,70,40,70,40,70,80,20,280,40,210,20,270,320,50,290,290,120,180,280,340
2021-07-20-09,180,60,70,30,70,40,70,30,50,20,20,350,60,270,310,330,10,20,290,280,110,290,310,340
2021-07-20-10,200,60,70,30,80,50,70,40,60,330,30,360,60,230,180,140,310,10,310,290,80,80,340,340
2021-07-20-11,180,10,100,40,90,50,70,30,60,10,40,160,50,220,250,140,-999,40,40,300,70,80,360,340
2021-07-20-12,150,20,110,30,80,60,70,30,320,10,40,180,260,200,150,240,280,300,280,290,260,90,80,50
2021-07-20-13,230,10,80,30,90,60,60,50,280,280,180,190,40,200,90,150,310,330,50,10,300,350,60,340
2021-07-20-14,200,20,160,20,100,60,80,20,280,280,170,190,10,200,290,190,320,350,120,290,310,-999,280,20
2021-07-20-15,230,20,100,20,130,60,70,20,300,250,170,120,220,180,220,200,280,360,160,360,310,70,340,350
2021-07-20-16,270,40,220,40,130,60,60,30,280,320,170,220,260,230,210,180,310,350,160,100,320,350,250,340
2021-07-20-17,20,50,110,20,150,50,60,40,280,240,160,110,240,60,50,170,350,340,140,120,310,90,130,320
2021-07-20-18,300,80,280,360,140,80,240,40,300,280,140,130,230,20,90,220,20,320,140,120,320,80,110,340
2021-07-20-19,310,70,270,10,170,70,50,40,270,260,30,360,240,20,10,60,10,330,160,130,300,80,270,270
2021-07-20-20,340,90,280,20,200,40,60,40,260,270,40,40,240,360,90,60,40,320,140,120,300,90,300,150
2021-07-20-21,320,20,280,10,80,80,70,70,280,250,50,120,250,360,110,40,40,340,140,110,310,90,300,30
2021-07-20-22,350,40,310,360,110,60,70,70,230,280,50,140,240,360,80,150,-999,340,120,130,340,10,260,260
2021-07-20-23,330,30,260,360,120,70,70,70,270,250,90,160,230,150,60,40,70,40,120,120,360,90,250,40
