,鞍部,淡水,竹子湖,基隆,台北,新屋,板橋,新竹,宜蘭,蘇澳,梧棲,台中,花蓮,日月潭,阿里山,嘉義,玉山,成功,永康,台南,台東,高雄,大武,恆春
2021-06-23-00,20.678466796875,25.02197265625,21.4017333984375,24.013031005859375,26.130767822265625,25.215118408203125,25.753570556640625,25.894927978515625,26.010406494140625,25.2972412109375,26.841217041015625,29.10211181640625,26.72235107421875,23.833221435546875,15.351776123046875,30.758819580078125,9.41748046875,26.4180908203125,28.42547607421875,28.278472900390625,27.69317626953125,25.3509521484375,26.561370849609375,25.26153564453125
2021-06-23-01,21.107696533203125,25.38739013671875,21.658477783203125,24.405792236328125,26.619049072265625,26.33453369140625,26.742462158203125,27.015228271484375,26.064239501953125,25.1142578125,26.166107177734375,30.0859375,27.87066650390625,24.546356201171875,14.932464599609375,31.116455078125,9.435333251953125,27.1798095703125,27.147735595703125,25.81707763671875,28.064300537109375,26.030731201171875,27.0718994140625,26.784576416015625
2021-06-23-02,21.556732177734375,26.434112548828125,22.654815673828125,24.804046630859375,27.235870361328125,27.235137939453125,27.591705322265625,28.58349609375,26.3438720703125,25.38507080078125,25.88409423828125,30.567596435546875,28.155914306640625,24.8572998046875,15.239501953125,30.80010986328125,10.524932861328125,27.061676025390625,27.22796630859375,27.096405029296875,28.37738037109375,27.0328369140625,27.64495849609375,25.6685791015625
2021-06-23-03,20.809844970703125,26.822967529296875,24.1981201171875,24.5670166015625,27.782012939453125,27.88165283203125,28.77978515625,29.4666748046875,27.310302734375,25.46807861328125,25.466583251953125,30.8568115234375,28.092926025390625,24.570220947265625,15.6783447265625,27.415374755859375,10.60577392578125,26.238861083984375,28.976715087890625,28.42279052734375,28.501617431640625,26.560699462890625,26.08990478515625,25.88092041015625
2021-06-23-04,21.336181640625,26.319366455078125,24.343048095703125,24.980255126953125,28.075531005859375,27.983367919921875,28.6463623046875,29.24603271484375,26.63067626953125,25.363433837890625,25.59600830078125,29.90118408203125,28.01910400390625,24.9354248046875,15.843719482421875,30.7421875,10.742431640625,25.8594970703125,29.54998779296875,27.76727294921875,28.389404296875,26.264892578125,26.340484619140625,26.242919921875
2021-06-23-05,20.8470458984375,26.679718017578125,22.6563720703125,25.682861328125,27.28057861328125,27.987152099609375,26.78033447265625,28.991241455078125,27.455535888671875,25.897918701171875,27.6280517578125,30.359954833984375,28.607330322265625,23.01055908203125,15.820220947265625,31.839324951171875,10.72509765625,26.05462646484375,30.029876708984375,28.72735595703125,27.75714111328125,26.402191162109375,28.559173583984375,26.9100341796875
2021-06-23-06,20.430389404296875,27.4654541015625,21.83795166015625,24.930694580078125,27.528228759765625,26.441314697265625,26.001953125,29.1519775390625,27.412567138671875,26.537139892578125,26.201507568359375,27.392547607421875,27.51177978515625,23.033050537109375,15.931365966796875,31.255584716796875,10.465362548828125,26.053802490234375,29.845245361328125,28.709381103515625,27.9599609375,28.7694091796875,29.1165771484375,26.826751708984375
2021-06-23-07,19.756591796875,26.50579833984375,21.057647705078125,24.93572998046875,27.18231201171875,25.796783447265625,26.71661376953125,29.414520263671875,26.636138916015625,25.936065673828125,26.328399658203125,27.526275634765625,27.065826416015625,23.91900634765625,15.68206787109375,28.706146240234375,10.573974609375,26.033050537109375,29.54876708984375,28.434722900390625,27.94891357421875,28.986053466796875,26.588836669921875,27.359283447265625
2021-06-23-08,20.53955078125,26.40203857421875,20.53955078125,24.97698974609375,27.1654052734375,26.33319091796875,26.29595947265625,29.618896484375,25.999664306640625,25.623199462890625,28.321929931640625,27.1160888671875,26.733428955078125,22.087738037109375,15.895111083984375,28.03851318359375,10.662017822265625,25.9686279296875,29.49066162109375,28.22509765625,27.53143310546875,29.228057861328125,26.23785400390625,27.343841552734375
2021-06-23-09,20.357208251953125,26.203338623046875,22.168212890625,26.091949462890625,27.4537353515625,26.54107666015625,25.72021484375,28.253662109375,25.628021240234375,24.331146240234375,27.586761474609375,27.356536865234375,25.852447509765625,21.983734130859375,16.07196044921875,27.5150146484375,10.320556640625,25.649749755859375,28.759307861328125,27.678253173828125,27.0267333984375,28.19195556640625,26.09136962890625,26.636749267578125
